i	chi2	alpha	As
0	1.852E+00	7.000E-01	5.000E+00
1	4.640E+00	7.000E-01	5.000E+00
2	2.970E+00	7.000E-01	5.000E+00
3	5.537E+00	7.000E-01	5.000E+00
4	5.973E+00	7.567E-01	5.000E+00
5	8.293E-01	7.000E-01	5.000E+00
6	2.233E-01	1.000E+00	5.366E-08
7	4.564E-02	1.000E+00	1.688E+00
8	1.577E+00	7.000E-01	5.000E+00
9	1.617E+00	7.000E-01	5.000E+00
10	1.869E-01	7.000E-01	5.000E+00
11	4.150E+00	7.000E-01	5.000E+00
12	4.634E-01	7.000E-01	5.000E+00
13	2.351E+00	7.000E-01	5.000E+00
14	1.318E+00	7.000E-01	5.000E+00
15	3.430E-01	7.000E-01	5.000E+00
16	8.334E+00	7.000E-01	5.000E+00
17	1.808E+00	1.000E+00	5.000E+00
18	3.326E+00	7.000E-01	5.000E+00
19	7.589E+00	1.000E+00	5.000E+00
20	6.249E+00	7.000E-01	5.000E+00
21	7.691E+00	1.000E+00	5.000E+00
22	4.340E+00	7.000E-01	5.000E+00
23	5.164E+00	7.000E-01	5.000E+00
24	6.041E+00	7.000E-01	5.000E+00
25	7.349E+00	7.000E-01	5.000E+00
26	4.725E+00	1.000E+00	2.402E-08
27	1.574E-01	7.000E-01	5.000E+00
28	7.336E+00	7.000E-01	5.000E+00
29	3.246E-01	7.000E-01	5.000E+00
30	6.768E-01	7.000E-01	5.000E+00
31	1.588E+00	7.000E-01	5.000E+00
32	2.860E-01	7.000E-01	4.260E+00
33	3.176E+00	7.000E-01	5.000E+00
34	1.725E+00	7.000E-01	5.000E+00
35	4.832E-01	7.000E-01	5.000E+00
36	1.189E+01	7.000E-01	5.000E+00
37	1.227E+00	7.000E-01	5.000E+00
38	4.405E+00	7.000E-01	5.000E+00
39	6.202E-01	7.000E-01	5.000E+00
40	5.298E+00	1.000E+00	5.000E+00
41	7.202E+00	1.000E+00	5.000E+00
42	3.022E+00	7.000E-01	5.000E+00
43	5.288E-01	7.000E-01	5.000E+00
44	4.402E-01	7.000E-01	5.000E+00
45	3.080E+00	7.000E-01	5.000E+00
46	1.937E+00	7.000E-01	5.000E+00
47	1.460E+00	7.000E-01	5.000E+00
48	1.491E-01	7.000E-01	5.000E+00
49	3.312E-02	7.000E-01	5.000E+00
50	4.271E-01	7.000E-01	5.000E+00
51	3.293E+00	1.000E+00	5.000E+00
52	1.952E+00	7.000E-01	5.000E+00
53	3.966E-01	9.685E-01	4.249E-07
54	5.637E-01	7.000E-01	5.000E+00
55	2.609E+00	7.000E-01	5.000E+00
56	4.101E+00	7.000E-01	5.000E+00
57	4.817E+00	7.000E-01	5.000E+00
58	6.951E-01	7.000E-01	5.000E+00
59	8.822E+00	7.000E-01	5.000E+00
60	6.585E+00	7.000E-01	5.000E+00
61	2.676E-01	7.000E-01	5.000E+00
62	6.278E+00	7.000E-01	5.000E+00
63	3.052E+00	7.000E-01	5.000E+00
64	1.568E+01	7.000E-01	5.000E+00
65	1.158E+01	7.000E-01	5.000E+00
66	1.689E-01	1.000E+00	2.414E+00
67	9.922E-01	1.000E+00	1.253E-12
68	4.479E-01	7.000E-01	5.000E+00
69	1.981E+00	7.000E-01	5.000E+00
70	1.559E+00	7.000E-01	5.000E+00
71	1.153E-01	7.000E-01	5.000E+00
72	1.731E+00	7.000E-01	5.000E+00
73	6.869E+00	7.000E-01	5.000E+00
74	1.630E+00	7.000E-01	5.000E+00
75	7.587E+00	7.000E-01	5.000E+00
76	1.150E+00	7.000E-01	5.000E+00
77	8.921E-01	7.000E-01	5.000E+00
78	3.542E-01	7.000E-01	5.000E+00
79	9.005E-01	7.000E-01	5.000E+00
80	1.510E+00	7.000E-01	5.000E+00
81	2.110E+00	7.000E-01	5.000E+00
82	4.451E-01	7.000E-01	5.000E+00
83	2.113E+00	7.000E-01	5.000E+00
84	3.298E+00	7.000E-01	5.000E+00
85	7.286E+00	7.000E-01	5.000E+00
86	4.943E+00	7.000E-01	5.000E+00
87	7.425E+00	7.000E-01	5.000E+00
88	3.179E-01	7.000E-01	5.000E+00
89	5.678E+00	7.000E-01	5.000E+00
90	2.150E+00	7.000E-01	5.000E+00
91	1.380E+00	7.000E-01	5.000E+00
92	2.213E+00	7.000E-01	5.000E+00
93	8.979E-01	7.000E-01	5.000E+00
94	1.399E+01	7.000E-01	5.000E+00
95	1.615E+00	7.000E-01	5.000E+00
96	2.471E-01	9.485E-01	7.996E-07
97	7.983E+00	7.000E-01	5.000E+00
98	1.989E+00	7.000E-01	5.000E+00
99	3.565E+00	7.000E-01	5.000E+00
100	5.999E+00	1.000E+00	7.899E-07
