i	chi2	alpha	As
0	1.369E-02	8.500E-01	4.212E+01
1	4.197E-02	8.500E-01	1.155E+02
2	6.965E-03	8.500E-01	6.941E+01
3	6.910E-02	8.500E-01	1.095E+02
4	5.230E-02	8.500E-01	7.392E+01
5	1.353E-02	8.500E-01	2.573E+01
6	2.541E-01	8.500E-01	8.900E-01
7	4.813E-02	8.500E-01	-1.247E+00
8	1.728E-02	8.500E-01	3.776E+01
9	3.182E-02	8.500E-01	3.984E+01
10	3.525E-02	8.500E-01	1.553E+01
11	2.676E-03	8.500E-01	7.632E+01
12	2.353E-02	8.500E-01	3.050E+01
13	1.199E-01	8.500E-01	4.156E+01
14	6.168E-02	8.500E-01	5.019E+01
15	1.670E-03	8.500E-01	2.064E+01
16	1.124E-02	8.500E-01	8.034E+01
17	1.940E+00	8.500E-01	9.835E+00
18	3.035E-02	8.500E-01	3.477E+01
19	7.251E-01	8.500E-01	1.345E+02
20	5.000E-03	8.500E-01	1.191E+02
21	3.252E-02	8.500E-01	1.294E+04
22	8.705E-02	8.500E-01	6.955E+01
23	3.199E-02	8.500E-01	4.865E+01
24	7.444E-02	8.500E-01	8.225E+01
25	9.404E-03	8.500E-01	9.936E+01
26	4.093E+00	8.500E-01	-9.919E+00
27	9.571E-03	8.500E-01	1.424E+01
28	6.228E-03	8.500E-01	1.387E+02
29	1.764E-03	8.500E-01	1.801E+01
30	4.860E-03	8.500E-01	2.621E+01
31	6.048E-03	8.500E-01	3.939E+01
32	2.949E-01	8.500E-01	7.688E+00
33	4.331E-02	8.500E-01	6.573E+01
34	3.846E-02	8.500E-01	2.894E+01
35	4.463E-03	8.500E-01	2.268E+01
36	3.852E-02	8.500E-01	7.851E+01
37	1.307E-02	8.500E-01	4.116E+01
38	1.336E-02	8.500E-01	6.761E+01
39	1.515E-02	8.500E-01	1.947E+01
40	3.149E-01	8.500E-01	1.178E+02
41	2.201E-02	8.500E-01	1.841E+02
42	2.280E-02	8.500E-01	5.135E+01
43	2.133E-02	8.500E-01	1.941E+01
44	4.700E-02	8.500E-01	1.527E+01
45	2.441E-02	8.500E-01	8.599E+01
46	9.335E-01	8.500E-01	2.061E+01
47	7.666E-02	8.500E-01	2.959E+01
48	4.859E-03	8.500E-01	1.519E+01
49	2.867E-02	8.500E-01	1.249E+01
50	2.438E-03	8.500E-01	2.960E+01
51	5.601E-02	8.500E-01	8.665E+01
52	1.847E-03	8.500E-01	4.306E+01
53	3.543E-01	8.500E-01	-3.352E+00
54	6.004E-03	8.500E-01	3.232E+01
55	5.126E-03	8.500E-01	4.656E+01
56	1.946E-02	8.500E-01	3.988E+01
57	1.460E-02	8.500E-01	5.238E+01
58	1.020E-01	8.500E-01	3.221E+01
59	4.625E-02	8.500E-01	6.687E+01
60	3.741E-02	8.500E-01	1.579E+02
61	1.055E-02	8.500E-01	1.527E+01
62	4.193E-02	8.500E-01	8.394E+01
63	2.561E-03	8.500E-01	7.410E+01
64	1.603E-01	8.500E-01	7.891E+01
65	1.259E-02	8.500E-01	1.237E+02
66	1.719E-01	8.500E-01	1.427E-01
67	8.054E-01	8.500E-01	-8.262E+00
68	3.295E-03	8.500E-01	2.551E+01
69	1.171E-02	8.500E-01	3.593E+01
70	1.195E-02	8.500E-01	3.279E+01
71	8.958E-02	8.500E-01	9.451E+00
72	1.596E-02	8.500E-01	3.610E+01
73	5.296E-03	8.500E-01	1.905E+02
74	1.976E-02	8.500E-01	4.175E+01
75	7.646E-02	8.500E-01	5.466E+01
76	1.885E-02	8.500E-01	3.291E+01
77	5.494E-03	8.500E-01	2.797E+01
78	8.574E-03	8.500E-01	1.954E+01
79	5.745E-03	8.500E-01	3.156E+01
80	3.197E-01	8.500E-01	2.122E+01
81	7.682E-03	8.500E-01	4.085E+01
82	3.844E-03	8.500E-01	3.102E+01
83	3.965E-02	8.500E-01	3.929E+01
84	1.339E-03	8.500E-01	4.374E+01
85	7.819E-02	8.500E-01	8.573E+01
86	3.227E-03	8.500E-01	1.051E+02
87	2.177E-03	8.500E-01	9.095E+01
88	1.931E-02	8.500E-01	3.157E+01
89	1.571E-02	8.500E-01	7.800E+01
90	1.366E-02	8.500E-01	5.492E+01
91	2.627E-02	8.500E-01	3.994E+01
92	5.057E-02	8.500E-01	4.788E+01
93	9.642E-03	8.500E-01	2.892E+01
94	3.279E-02	8.500E-01	1.807E+02
95	3.391E-02	8.500E-01	3.492E+01
96	2.398E-01	8.500E-01	-2.828E+00
97	1.278E-02	8.500E-01	4.478E+01
98	3.637E-02	8.500E-01	5.988E+01
99	2.022E-02	8.500E-01	5.163E+01
100	5.963E+00	8.500E-01	-1.559E+01
