CJ15nlo	 5.0
x	 xf(uv)	 dxf(uv)	 xf(dv)	 dxf(dv)	 xf(uv-dv)	 dxf(uv-dv)
5.000E-03	1.295E-01	2.449E-04	6.561E-02	3.231E-04	6.387E-02	3.432E-04
1.500E-02	2.343E-01	2.009E-04	1.441E-01	3.257E-04	9.023E-02	3.445E-04
2.500E-02	3.050E-01	4.196E-04	1.942E-01	5.550E-04	1.108E-01	6.810E-04
3.500E-02	3.592E-01	5.869E-04	2.274E-01	7.307E-04	1.317E-01	9.107E-04
4.500E-02	4.031E-01	7.018E-04	2.500E-01	8.149E-04	1.531E-01	1.029E-03
5.500E-02	4.400E-01	7.754E-04	2.655E-01	8.232E-04	1.744E-01	1.064E-03
6.500E-02	4.708E-01	8.175E-04	2.758E-01	7.888E-04	1.950E-01	1.050E-03
7.500E-02	4.972E-01	8.371E-04	2.829E-01	7.365E-04	2.143E-01	1.015E-03
8.500E-02	5.193E-01	8.384E-04	2.873E-01	6.857E-04	2.320E-01	9.739E-04
9.500E-02	5.380E-01	8.266E-04	2.900E-01	6.496E-04	2.480E-01	9.383E-04
1.050E-01	5.534E-01	8.058E-04	2.913E-01	6.339E-04	2.621E-01	9.128E-04
1.150E-01	5.659E-01	7.783E-04	2.915E-01	6.363E-04	2.744E-01	8.965E-04
1.250E-01	5.759E-01	7.467E-04	2.909E-01	6.517E-04	2.850E-01	8.872E-04
1.350E-01	5.835E-01	7.132E-04	2.896E-01	6.735E-04	2.938E-01	8.813E-04
1.450E-01	5.889E-01	6.788E-04	2.878E-01	6.963E-04	3.011E-01	8.755E-04
1.550E-01	5.922E-01	6.451E-04	2.854E-01	7.167E-04	3.068E-01	8.679E-04
1.650E-01	5.938E-01	6.131E-04	2.826E-01	7.324E-04	3.112E-01	8.569E-04
1.750E-01	5.937E-01	5.834E-04	2.793E-01	7.429E-04	3.144E-01	8.424E-04
1.850E-01	5.919E-01	5.565E-04	2.755E-01	7.480E-04	3.164E-01	8.246E-04
1.950E-01	5.888E-01	5.326E-04	2.713E-01	7.479E-04	3.174E-01	8.036E-04
