MMHT2014nlo68cl	 5.0
x	 xf(uv-dv) dxf(uv-dv)
5.000E-03	5.507E-02	9.324E-04
1.500E-02	9.841E-02	1.302E-03
2.500E-02	1.319E-01	2.033E-03
3.500E-02	1.602E-01	2.398E-03
4.500E-02	1.852E-01	2.529E-03
5.500E-02	2.069E-01	2.570E-03
6.500E-02	2.256E-01	2.560E-03
7.500E-02	2.421E-01	2.510E-03
8.500E-02	2.563E-01	2.452E-03
9.500E-02	2.686E-01	2.382E-03
1.050E-01	2.789E-01	2.308E-03
1.150E-01	2.878E-01	2.231E-03
1.250E-01	2.951E-01	2.156E-03
1.350E-01	3.011E-01	2.081E-03
1.450E-01	3.059E-01	2.009E-03
1.550E-01	3.096E-01	1.943E-03
1.650E-01	3.122E-01	1.883E-03
1.750E-01	3.139E-01	1.829E-03
1.850E-01	3.148E-01	1.781E-03
1.950E-01	3.149E-01	1.739E-03
2.050E-01	3.142E-01	1.703E-03
2.150E-01	3.129E-01	1.674E-03
2.250E-01	3.110E-01	1.650E-03
2.350E-01	3.086E-01	1.631E-03
2.450E-01	3.056E-01	1.616E-03
2.550E-01	3.022E-01	1.606E-03
2.650E-01	2.983E-01	1.599E-03
2.750E-01	2.940E-01	1.596E-03
2.850E-01	2.894E-01	1.596E-03
2.950E-01	2.844E-01	1.599E-03
3.050E-01	2.792E-01	1.603E-03
3.150E-01	2.736E-01	1.608E-03
3.250E-01	2.678E-01	1.614E-03
3.350E-01	2.617E-01	1.620E-03
3.450E-01	2.555E-01	1.624E-03
3.550E-01	2.490E-01	1.627E-03
3.650E-01	2.424E-01	1.628E-03
3.750E-01	2.357E-01	1.626E-03
3.850E-01	2.288E-01	1.620E-03
3.950E-01	2.218E-01	1.610E-03
4.050E-01	2.147E-01	1.597E-03
4.150E-01	2.076E-01	1.579E-03
4.250E-01	2.004E-01	1.556E-03
4.350E-01	1.931E-01	1.529E-03
4.450E-01	1.859E-01	1.498E-03
4.550E-01	1.786E-01	1.464E-03
4.650E-01	1.713E-01	1.425E-03
4.750E-01	1.641E-01	1.383E-03
4.850E-01	1.569E-01	1.339E-03
4.950E-01	1.498E-01	1.293E-03
5.050E-01	1.427E-01	1.245E-03
5.150E-01	1.357E-01	1.196E-03
5.250E-01	1.288E-01	1.147E-03
5.350E-01	1.220E-01	1.099E-03
5.450E-01	1.154E-01	1.051E-03
5.550E-01	1.088E-01	1.006E-03
5.650E-01	1.024E-01	9.615E-04
5.750E-01	9.619E-02	9.202E-04
5.850E-01	9.011E-02	8.819E-04
5.950E-01	8.419E-02	8.466E-04
6.050E-01	7.846E-02	8.144E-04
6.150E-01	7.291E-02	7.849E-04
6.250E-01	6.756E-02	7.580E-04
6.350E-01	6.241E-02	7.331E-04
6.450E-01	5.746E-02	7.099E-04
6.550E-01	5.273E-02	6.878E-04
6.650E-01	4.820E-02	6.664E-04
6.750E-01	4.390E-02	6.451E-04
6.850E-01	3.982E-02	6.233E-04
6.950E-01	3.595E-02	6.009E-04
7.050E-01	3.231E-02	5.775E-04
7.150E-01	2.890E-02	5.528E-04
7.250E-01	2.570E-02	5.271E-04
7.350E-01	2.273E-02	5.000E-04
7.450E-01	1.998E-02	4.718E-04
7.550E-01	1.743E-02	4.429E-04
7.650E-01	1.510E-02	4.131E-04
7.750E-01	1.298E-02	3.833E-04
7.850E-01	1.105E-02	3.535E-04
7.950E-01	9.317E-03	3.242E-04
8.050E-01	7.766E-03	2.963E-04
8.150E-01	6.396E-03	2.696E-04
8.250E-01	5.190E-03	2.449E-04
8.350E-01	4.145E-03	2.223E-04
8.450E-01	3.252E-03	2.017E-04
8.550E-01	2.489E-03	1.836E-04
8.650E-01	1.861E-03	1.672E-04
8.750E-01	1.344E-03	1.525E-04
8.850E-01	9.326E-04	1.387E-04
8.950E-01	6.182E-04	1.254E-04
9.050E-01	3.746E-04	1.122E-04
9.150E-01	2.085E-04	9.829E-05
9.250E-01	9.315E-05	8.416E-05
9.350E-01	2.239E-05	6.932E-05
9.450E-01	-9.260E-06	5.400E-05
9.550E-01	-2.582E-05	3.973E-05
9.650E-01	-2.120E-05	2.547E-05
9.750E-01	-1.234E-05	1.386E-05
9.850E-01	-7.738E-06	7.039E-06
9.950E-01	-2.524E-06	2.472E-06
