NNPDF30_nlo_as_0118	 5.0
x	 xf(uv)	 dxf(uv)	 xf(dv)	 dxf(dv)	 xf(uv-dv)	 dxf(uv-dv)
5.000E-03	1.301E-01	8.706E-03	6.916E-02	8.270E-03	6.096E-02	9.938E-03
1.500E-02	2.205E-01	1.053E-02	1.137E-01	1.109E-02	1.067E-01	7.195E-03
2.500E-02	2.828E-01	1.073E-02	1.489E-01	1.255E-02	1.339E-01	9.456E-03
3.500E-02	3.331E-01	1.138E-02	1.774E-01	1.387E-02	1.557E-01	1.095E-02
4.500E-02	3.753E-01	1.155E-02	2.001E-01	1.394E-02	1.752E-01	1.092E-02
5.500E-02	4.117E-01	1.096E-02	2.186E-01	1.311E-02	1.932E-01	1.038E-02
6.500E-02	4.427E-01	1.039E-02	2.333E-01	1.238E-02	2.094E-01	1.021E-02
7.500E-02	4.698E-01	9.952E-03	2.454E-01	1.193E-02	2.243E-01	1.043E-02
8.500E-02	4.930E-01	9.654E-03	2.550E-01	1.165E-02	2.380E-01	1.074E-02
9.500E-02	5.133E-01	9.273E-03	2.622E-01	1.128E-02	2.511E-01	1.091E-02
1.050E-01	5.310E-01	8.916E-03	2.675E-01	1.103E-02	2.635E-01	1.122E-02
1.150E-01	5.465E-01	8.721E-03	2.713E-01	1.114E-02	2.752E-01	1.188E-02
1.250E-01	5.590E-01	8.672E-03	2.735E-01	1.146E-02	2.856E-01	1.255E-02
1.350E-01	5.691E-01	8.697E-03	2.742E-01	1.186E-02	2.949E-01	1.313E-02
1.450E-01	5.767E-01	8.788E-03	2.738E-01	1.215E-02	3.030E-01	1.353E-02
1.550E-01	5.821E-01	9.033E-03	2.723E-01	1.235E-02	3.098E-01	1.389E-02
1.650E-01	5.853E-01	9.306E-03	2.701E-01	1.238E-02	3.152E-01	1.402E-02
1.750E-01	5.865E-01	9.514E-03	2.673E-01	1.224E-02	3.192E-01	1.387E-02
1.850E-01	5.858E-01	9.620E-03	2.640E-01	1.193E-02	3.219E-01	1.348E-02
1.950E-01	5.836E-01	9.672E-03	2.600E-01	1.163E-02	3.236E-01	1.313E-02
2.050E-01	5.798E-01	9.662E-03	2.554E-01	1.132E-02	3.244E-01	1.282E-02
2.150E-01	5.748E-01	9.562E-03	2.502E-01	1.097E-02	3.245E-01	1.248E-02
2.250E-01	5.685E-01	9.406E-03	2.445E-01	1.061E-02	3.240E-01	1.220E-02
2.350E-01	5.611E-01	9.276E-03	2.383E-01	1.026E-02	3.228E-01	1.202E-02
2.450E-01	5.527E-01	9.150E-03	2.317E-01	9.922E-03	3.210E-01	1.193E-02
2.550E-01	5.433E-01	9.034E-03	2.247E-01	9.590E-03	3.186E-01	1.192E-02
2.650E-01	5.331E-01	8.938E-03	2.174E-01	9.358E-03	3.156E-01	1.213E-02
2.750E-01	5.220E-01	8.776E-03	2.099E-01	9.177E-03	3.121E-01	1.230E-02
2.850E-01	5.102E-01	8.509E-03	2.022E-01	8.973E-03	3.080E-01	1.223E-02
2.950E-01	4.976E-01	8.103E-03	1.943E-01	8.669E-03	3.033E-01	1.174E-02
3.050E-01	4.846E-01	7.757E-03	1.863E-01	8.445E-03	2.982E-01	1.125E-02
3.150E-01	4.711E-01	7.469E-03	1.783E-01	8.322E-03	2.928E-01	1.084E-02
3.250E-01	4.573E-01	7.207E-03	1.701E-01	8.302E-03	2.872E-01	1.058E-02
