NNPDF30_nnlo_as_0118	 3.2
x	 x*uv	 dx*uv	 x*dv	 dx*dv	 x*(uv-dv)	 dx*(uv-dv)
5.000E-04	4.099E-02	5.273E-03	2.537E-02	6.860E-03	1.562E-02	5.877E-03
1.500E-03	6.712E-02	7.405E-03	3.852E-02	7.591E-03	2.861E-02	7.360E-03
2.500E-03	8.488E-02	8.783E-03	4.687E-02	8.538E-03	3.801E-02	8.100E-03
3.500E-03	9.921E-02	9.226E-03	5.355E-02	9.020E-03	4.567E-02	8.744E-03
4.500E-03	1.118E-01	9.327E-03	5.957E-02	9.394E-03	5.226E-02	9.235E-03
5.500E-03	1.234E-01	9.315E-03	6.530E-02	9.902E-03	5.814E-02	9.576E-03
6.500E-03	1.342E-01	9.467E-03	7.076E-02	1.060E-02	6.347E-02	9.777E-03
7.500E-03	1.442E-01	9.868E-03	7.590E-02	1.154E-02	6.835E-02	9.970E-03
8.500E-03	1.538E-01	1.031E-02	8.088E-02	1.242E-02	7.290E-02	1.000E-02
9.500E-03	1.630E-01	1.056E-02	8.580E-02	1.300E-02	7.721E-02	9.790E-03
1.050E-02	1.719E-01	1.069E-02	9.058E-02	1.342E-02	8.130E-02	9.487E-03
1.150E-02	1.804E-01	1.077E-02	9.522E-02	1.377E-02	8.518E-02	9.222E-03
1.250E-02	1.886E-01	1.084E-02	9.975E-02	1.411E-02	8.887E-02	9.052E-03
1.350E-02	1.965E-01	1.092E-02	1.042E-01	1.443E-02	9.239E-02	8.983E-03
1.450E-02	2.042E-01	1.101E-02	1.084E-01	1.476E-02	9.576E-02	9.028E-03
1.550E-02	2.115E-01	1.112E-02	1.125E-01	1.509E-02	9.899E-02	9.190E-03
1.650E-02	2.187E-01	1.125E-02	1.166E-01	1.542E-02	1.021E-01	9.437E-03
1.750E-02	2.257E-01	1.136E-02	1.206E-01	1.573E-02	1.051E-01	9.717E-03
1.850E-02	2.325E-01	1.143E-02	1.246E-01	1.599E-02	1.079E-01	9.980E-03
1.950E-02	2.392E-01	1.146E-02	1.285E-01	1.619E-02	1.107E-01	1.020E-02
2.050E-02	2.457E-01	1.146E-02	1.324E-01	1.636E-02	1.133E-01	1.040E-02
2.150E-02	2.521E-01	1.145E-02	1.363E-01	1.650E-02	1.158E-01	1.058E-02
2.250E-02	2.584E-01	1.144E-02	1.401E-01	1.663E-02	1.183E-01	1.074E-02
2.350E-02	2.645E-01	1.143E-02	1.438E-01	1.674E-02	1.206E-01	1.089E-02
2.450E-02	2.704E-01	1.144E-02	1.475E-01	1.684E-02	1.230E-01	1.104E-02
2.550E-02	2.762E-01	1.146E-02	1.510E-01	1.694E-02	1.252E-01	1.117E-02
2.650E-02	2.819E-01	1.149E-02	1.545E-01	1.703E-02	1.275E-01	1.130E-02
2.750E-02	2.875E-01	1.153E-02	1.578E-01	1.711E-02	1.297E-01	1.143E-02
2.850E-02	2.930E-01	1.158E-02	1.611E-01	1.719E-02	1.318E-01	1.155E-02
2.950E-02	2.983E-01	1.165E-02	1.644E-01	1.727E-02	1.339E-01	1.166E-02
