x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	
2.035000E-07	1.439964E+07	6.933044E+06	1.114490E+07	1.005402E+07	4.914005E-04	6.254010E+06	1.426384E+07	3.067704E+06	1.235611E+07	2.074930E+07	1.831919E+06	7.810509E+06	9.081841E+06	6.960164E+06	1.412438E+07	4.359972E+06	2.723623E+07	1.008935E+07	6.510283E+06	1.466261E+06	9.785794E+06	8.817718E+06	1.358918E+07	7.245472E+06	7.944422E+06	7.876160E+06	1.504450E+06	7.195835E+05	2.763387E+05	9.619551E+06	7.988400E+06	8.074362E+06	1.534661E+06	6.155018E+06	1.636212E+07	7.221011E+06	6.686095E+06	3.417190E+07	9.475509E+06	8.129082E+06	8.859132E+06	7.066658E+06	6.525040E+06	1.932517E+07	1.623956E+07	4.956904E+06	8.322801E+07	2.330797E+07	7.603029E+06	1.008071E+07	6.044246E+06	2.205734E+07	2.871082E+06	5.304166E+05	1.596531E+07	7.198706E+06	4.085891E+06	6.161934E+06	4.059349E+06	4.112343E+06	5.467304E+06	1.012852E+07	1.876537E+07	2.961149E+07	8.111785E+06	1.597152E+06	1.156591E+08	5.540693E+06	1.262140E+07	3.712825E+06	3.971678E+07	3.891171E+07	3.868372E+06	1.069947E+07	8.337847E+06	4.914005E-04	9.187249E+06	3.004571E+06	4.914005E-04	1.112968E+07	7.475309E+06	4.519991E+07	9.804304E+06	5.747029E+07	6.509341E+06	8.627309E+06	1.828787E+06	5.791526E+06	1.555786E+08	4.914005E-04	1.481666E+07	4.914005E-04	6.011693E+07	4.063391E+06	3.811220E+06	1.091466E+07	4.914005E-04	6.904259E+06	8.552616E+07	4.365430E+06	7.186505E+06	
2.066629E-07	1.412995E+07	6.813874E+06	1.094075E+07	9.862043E+06	4.838798E-04	6.153103E+06	1.400314E+07	3.020724E+06	1.214121E+07	2.038620E+07	1.798746E+06	7.671765E+06	8.914004E+06	6.840603E+06	1.385604E+07	4.283937E+06	2.678273E+07	9.902481E+06	6.397957E+06	1.448122E+06	9.602175E+06	8.653928E+06	1.334519E+07	7.137992E+06	7.806588E+06	7.733405E+06	1.488887E+06	7.138597E+05	2.809092E+05	9.446816E+06	7.850232E+06	7.933445E+06	1.524102E+06	6.053742E+06	1.612516E+07	7.093501E+06	6.556642E+06	3.355675E+07	9.308837E+06	7.980641E+06	8.701359E+06	6.939824E+06	6.407549E+06	1.897230E+07	1.593617E+07	4.878459E+06	8.120573E+07	2.286725E+07	7.464365E+06	9.899136E+06	5.943085E+06	2.163171E+07	2.832066E+06	5.292224E+05	1.568973E+07	7.067572E+06	4.010983E+06	6.052890E+06	3.999980E+06	4.040746E+06	5.370083E+06	9.939071E+06	1.842247E+07	2.906642E+07	7.967800E+06	1.576786E+06	1.135878E+08	5.451480E+06	1.237859E+07	3.659302E+06	3.901460E+07	3.807325E+07	3.820193E+06	1.051652E+07	8.190382E+06	4.838798E-04	9.021827E+06	2.955319E+06	4.838798E-04	1.092111E+07	7.344352E+06	4.416669E+07	9.636828E+06	5.625860E+07	6.404599E+06	8.473601E+06	1.814107E+06	5.683735E+06	1.525538E+08	4.838798E-04	1.453491E+07	2.156131E+04	5.895019E+07	3.995935E+06	3.758748E+06	1.071455E+07	4.838798E-04	6.783021E+06	8.398013E+07	4.290829E+06	7.060483E+06	
2.098750E-07	1.386523E+07	6.696757E+06	1.074033E+07	9.673751E+06	4.764741E-04	6.053800E+06	1.374721E+07	2.974493E+06	1.193005E+07	2.002950E+07	1.766175E+06	7.535495E+06	8.749283E+06	6.723094E+06	1.359267E+07	4.209225E+06	2.633677E+07	9.719095E+06	6.287570E+06	1.430152E+06	9.422019E+06	8.493171E+06	1.310551E+07	7.031986E+06	7.671143E+06	7.593212E+06	1.473381E+06	7.081067E+05	2.852107E+05	9.277180E+06	7.714416E+06	7.794986E+06	1.513422E+06	5.954095E+06	1.589151E+07	6.968242E+06	6.429667E+06	3.295272E+07	9.145101E+06	7.834926E+06	8.546398E+06	6.815267E+06	6.292170E+06	1.862586E+07	1.563838E+07	4.801240E+06	7.922717E+07	2.243458E+07	7.328258E+06	9.720831E+06	5.843629E+06	2.121398E+07	2.793483E+06	5.279038E+05	1.541871E+07	6.938827E+06	3.937409E+06	5.945772E+06	3.941427E+06	3.970390E+06	5.274585E+06	9.753153E+06	1.808584E+07	2.853141E+07	7.826377E+06	1.556636E+06	1.115534E+08	5.363678E+06	1.214045E+07	3.606500E+06	3.832484E+07	3.725265E+07	3.772495E+06	1.033673E+07	8.045523E+06	4.764741E-04	8.859397E+06	2.906874E+06	4.764741E-04	1.071646E+07	7.215683E+06	4.315643E+07	9.472215E+06	5.506719E+07	6.301531E+06	8.322628E+06	1.799334E+06	5.577947E+06	1.495856E+08	4.764741E-04	1.425852E+07	7.449535E+04	5.780570E+07	3.929607E+06	3.706922E+06	1.051811E+07	4.764741E-04	6.663901E+06	8.246203E+07	4.217506E+06	6.936670E+06	
2.131370E-07	1.360540E+07	6.581657E+06	1.054359E+07	9.489075E+06	4.691818E-04	5.956077E+06	1.349598E+07	2.928998E+06	1.172256E+07	1.967908E+07	1.734193E+06	7.401655E+06	8.587618E+06	6.607604E+06	1.333418E+07	4.135813E+06	2.589824E+07	9.539120E+06	6.179087E+06	1.412352E+06	9.245259E+06	8.335389E+06	1.287007E+07	6.927438E+06	7.538045E+06	7.455535E+06	1.457937E+06	7.023277E+05	2.892523E+05	9.110585E+06	7.580913E+06	7.658941E+06	1.502630E+06	5.856053E+06	1.566112E+07	6.845193E+06	6.305126E+06	3.235958E+07	8.984250E+06	7.691887E+06	8.394197E+06	6.692947E+06	6.178865E+06	1.828573E+07	1.534609E+07	4.725229E+06	7.729144E+07	2.200981E+07	7.194659E+06	9.545739E+06	5.745848E+06	2.080401E+07	2.755331E+06	5.264655E+05	1.515218E+07	6.812427E+06	3.865147E+06	5.840546E+06	3.883680E+06	3.901252E+06	5.180778E+06	9.570704E+06	1.775536E+07	2.800629E+07	7.687468E+06	1.536700E+06	1.095553E+08	5.277265E+06	1.190689E+07	3.554413E+06	3.764728E+07	3.644951E+07	3.725276E+06	1.016005E+07	7.903223E+06	4.691818E-04	8.699903E+06	2.859222E+06	4.691818E-04	1.051566E+07	7.089264E+06	4.216865E+07	9.310413E+06	5.389560E+07	6.200112E+06	8.174342E+06	1.784478E+06	5.474126E+06	1.466729E+08	4.691818E-04	1.398740E+07	1.252237E+05	5.668304E+07	3.864388E+06	3.655736E+06	1.032528E+07	4.691818E-04	6.546864E+06	8.097133E+07	4.145436E+06	6.815024E+06	
2.164497E-07	1.335035E+07	6.468540E+06	1.035044E+07	9.307945E+06	4.620011E-04	5.859908E+06	1.324934E+07	2.884227E+06	1.151869E+07	1.933483E+07	1.702791E+06	7.270200E+06	8.428953E+06	6.494097E+06	1.308047E+07	4.063679E+06	2.546701E+07	9.362491E+06	6.072476E+06	1.394722E+06	9.071830E+06	8.180528E+06	1.263877E+07	6.824334E+06	7.407253E+06	7.320330E+06	1.442558E+06	6.965260E+05	2.930426E+05	8.946976E+06	7.449684E+06	7.525268E+06	1.491733E+06	5.759591E+06	1.543391E+07	6.724314E+06	6.182971E+06	3.177715E+07	8.826232E+06	7.551474E+06	8.244708E+06	6.572822E+06	6.067596E+06	1.795180E+07	1.505920E+07	4.650406E+06	7.539766E+07	2.159279E+07	7.063519E+06	9.373801E+06	5.649712E+06	2.040165E+07	2.717610E+06	5.249125E+05	1.489007E+07	6.688329E+06	3.794172E+06	5.737177E+06	3.826731E+06	3.833312E+06	5.088633E+06	9.391659E+06	1.743093E+07	2.749085E+07	7.551029E+06	1.516977E+06	1.075929E+08	5.192222E+06	1.167782E+07	3.503030E+06	3.698168E+07	3.566346E+07	3.678536E+06	9.986420E+06	7.763437E+06	4.620011E-04	8.543292E+06	2.812351E+06	4.620011E-04	1.031864E+07	6.965053E+06	4.120285E+07	9.151377E+06	5.274337E+07	6.100315E+06	8.028694E+06	1.769549E+06	5.372233E+06	1.438143E+08	4.620011E-04	1.372144E+07	1.738237E+05	5.558178E+07	3.800259E+06	3.605186E+06	1.013599E+07	4.620011E-04	6.431872E+06	7.950755E+07	4.074599E+06	6.695509E+06	
2.198139E-07	1.310000E+07	6.357371E+06	1.016083E+07	9.130291E+06	4.549304E-04	5.765269E+06	1.300722E+07	2.840165E+06	1.131837E+07	1.899663E+07	1.671958E+06	7.141088E+06	8.273230E+06	6.382540E+06	1.283146E+07	3.992800E+06	2.504295E+07	9.189144E+06	5.967705E+06	1.377262E+06	8.901668E+06	8.028533E+06	1.241156E+07	6.722655E+06	7.278726E+06	7.187553E+06	1.427247E+06	6.907047E+05	2.965902E+05	8.786301E+06	7.320692E+06	7.393926E+06	1.480740E+06	5.664685E+06	1.520981E+07	6.605569E+06	6.063159E+06	3.120522E+07	8.670998E+06	7.413637E+06	8.097881E+06	6.454852E+06	5.958327E+06	1.762395E+07	1.477761E+07	4.576754E+06	7.354496E+07	2.118338E+07	6.934794E+06	9.204959E+06	5.555189E+06	2.000677E+07	2.680318E+06	5.232493E+05	1.463233E+07	6.566490E+06	3.724462E+06	5.635632E+06	3.770569E+06	3.766549E+06	4.998120E+06	9.215952E+06	1.711242E+07	2.698492E+07	7.417014E+06	1.497467E+06	1.056655E+08	5.108526E+06	1.145315E+07	3.452345E+06	3.632785E+07	3.489413E+07	3.632273E+06	9.815786E+06	7.626121E+06	4.549304E-04	8.389509E+06	2.766249E+06	4.549304E-04	1.012531E+07	6.843013E+06	4.025856E+07	8.995056E+06	5.161006E+07	6.002115E+06	7.885637E+06	1.754556E+06	5.272232E+06	1.410088E+08	4.549304E-04	1.346055E+07	2.203701E+05	5.450149E+07	3.737201E+06	3.555265E+06	9.950165E+06	4.549304E-04	6.318891E+06	7.807017E+07	4.004973E+06	6.578087E+06	
2.232303E-07	1.285425E+07	6.248117E+06	9.974683E+06	8.956044E+06	4.479678E-04	5.672137E+06	1.276954E+07	2.796800E+06	1.112154E+07	1.866438E+07	1.641682E+06	7.014276E+06	8.120394E+06	6.272898E+06	1.258707E+07	3.923155E+06	2.462596E+07	9.019017E+06	5.864740E+06	1.359973E+06	8.734709E+06	7.879350E+06	1.218834E+07	6.622387E+06	7.152426E+06	7.057159E+06	1.412008E+06	6.848666E+05	2.999033E+05	8.628505E+06	7.193899E+06	7.264874E+06	1.469658E+06	5.571310E+06	1.498878E+07	6.488918E+06	5.945643E+06	3.064360E+07	8.518496E+06	7.278329E+06	7.953669E+06	6.338999E+06	5.851021E+06	1.730207E+07	1.450121E+07	4.504255E+06	7.173251E+07	2.078144E+07	6.808437E+06	9.039158E+06	5.462252E+06	1.961924E+07	2.643452E+06	5.214804E+05	1.437888E+07	6.446869E+06	3.655994E+06	5.535880E+06	3.715185E+06	3.700943E+06	4.909211E+06	9.043523E+06	1.679972E+07	2.648831E+07	7.285382E+06	1.478169E+06	1.037725E+08	5.026157E+06	1.123280E+07	3.402349E+06	3.568557E+07	3.414116E+07	3.586484E+06	9.648095E+06	7.491230E+06	4.479678E-04	8.238503E+06	2.720901E+06	4.479678E-04	9.935616E+06	6.723105E+06	3.933531E+07	8.841406E+06	5.049524E+07	5.905487E+06	7.745126E+06	1.739508E+06	5.174087E+06	1.382552E+08	4.479678E-04	1.320462E+07	2.649355E+05	5.344176E+07	3.675197E+06	3.505968E+06	9.767752E+06	4.479678E-04	6.207884E+06	7.665872E+07	3.936538E+06	6.462721E+06	
2.266999E-07	1.261303E+07	6.140743E+06	9.791941E+06	8.785136E+06	4.411118E-04	5.580487E+06	1.253620E+07	2.754120E+06	1.092813E+07	1.833797E+07	1.611955E+06	6.889723E+06	7.970390E+06	6.165138E+06	1.234720E+07	3.854721E+06	2.421591E+07	8.852048E+06	5.763552E+06	1.342855E+06	8.570893E+06	7.732927E+06	1.196905E+07	6.523514E+06	7.028314E+06	6.929107E+06	1.396844E+06	6.790147E+05	3.029898E+05	8.473538E+06	7.069270E+06	7.138071E+06	1.458496E+06	5.479443E+06	1.477074E+07	6.374324E+06	5.830383E+06	3.009211E+07	8.368680E+06	7.145501E+06	7.812024E+06	6.225225E+06	5.745644E+06	1.698605E+07	1.422992E+07	4.432891E+06	6.995947E+07	2.038683E+07	6.684404E+06	8.876342E+06	5.370872E+06	1.923892E+07	2.607012E+06	5.196101E+05	1.412965E+07	6.329424E+06	3.588745E+06	5.437888E+06	3.660569E+06	3.636474E+06	4.821876E+06	8.874307E+06	1.649274E+07	2.600086E+07	7.156088E+06	1.459081E+06	1.019133E+08	4.945094E+06	1.101668E+07	3.353034E+06	3.505464E+07	3.340419E+07	3.541167E+06	9.483294E+06	7.358721E+06	4.411118E-04	8.090222E+06	2.676297E+06	4.411118E-04	9.749479E+06	6.605292E+06	3.843266E+07	8.690380E+06	4.939851E+07	5.810405E+06	7.607113E+06	1.724413E+06	5.077765E+06	1.355524E+08	4.411118E-04	1.295357E+07	3.075901E+05	5.240221E+07	3.614229E+06	3.457289E+06	9.588683E+06	4.411118E-04	6.098817E+06	7.527272E+07	3.869271E+06	6.349375E+06	
2.302234E-07	1.237625E+07	6.035217E+06	9.612540E+06	8.617502E+06	4.343607E-04	5.490298E+06	1.230713E+07	2.712113E+06	1.073809E+07	1.801731E+07	1.582766E+06	6.767387E+06	7.823165E+06	6.059229E+06	1.211177E+07	3.787479E+06	2.381268E+07	8.688178E+06	5.664109E+06	1.325907E+06	8.410158E+06	7.589212E+06	1.175362E+07	6.426019E+06	6.906352E+06	6.803354E+06	1.381757E+06	6.731516E+05	3.058576E+05	8.321348E+06	6.946767E+06	7.013479E+06	1.447260E+06	5.389060E+06	1.455564E+07	6.261752E+06	5.717334E+06	2.955055E+07	8.221501E+06	7.015108E+06	7.672902E+06	6.113490E+06	5.642160E+06	1.667578E+07	1.396365E+07	4.362644E+06	6.822505E+07	1.999942E+07	6.562651E+06	8.716457E+06	5.281020E+06	1.886568E+07	2.570995E+06	5.176427E+05	1.388460E+07	6.214117E+06	3.522694E+06	5.341624E+06	3.606713E+06	3.573122E+06	4.736088E+06	8.708247E+06	1.619135E+07	2.552238E+07	7.029091E+06	1.440204E+06	1.000872E+08	4.865319E+06	1.080471E+07	3.304392E+06	3.443485E+07	3.268288E+07	3.496320E+06	9.321332E+06	7.228553E+06	4.343607E-04	7.944615E+06	2.632424E+06	4.343607E-04	9.566833E+06	6.489538E+06	3.755016E+07	8.541933E+06	4.831945E+07	5.716845E+06	7.471556E+06	1.709279E+06	4.983229E+06	1.328992E+08	4.343607E-04	1.270730E+07	3.484020E+05	5.138242E+07	3.554279E+06	3.409224E+06	9.412897E+06	4.343607E-04	5.991657E+06	7.391170E+07	3.803154E+06	6.238013E+06	
2.338017E-07	1.214383E+07	5.931508E+06	9.436418E+06	8.453079E+06	4.277129E-04	5.401545E+06	1.208225E+07	2.670766E+06	1.055135E+07	1.770227E+07	1.554105E+06	6.647230E+06	7.678667E+06	5.955138E+06	1.188070E+07	3.721407E+06	2.341616E+07	8.527346E+06	5.566382E+06	1.309129E+06	8.252446E+06	7.448156E+06	1.154197E+07	6.329888E+06	6.786502E+06	6.679859E+06	1.366751E+06	6.672801E+05	3.085142E+05	8.171884E+06	6.826356E+06	6.891059E+06	1.435958E+06	5.300138E+06	1.434342E+07	6.151166E+06	5.606454E+06	2.901875E+07	8.076913E+06	6.887103E+06	7.536257E+06	6.003760E+06	5.540534E+06	1.637115E+07	1.370229E+07	4.293498E+06	6.652844E+07	1.961907E+07	6.443135E+06	8.559449E+06	5.192670E+06	1.849940E+07	2.535400E+06	5.155824E+05	1.364364E+07	6.100906E+06	3.457820E+06	5.247058E+06	3.553607E+06	3.510868E+06	4.651820E+06	8.545281E+06	1.589547E+07	2.505272E+07	6.904350E+06	1.421535E+06	9.829370E+07	4.786811E+06	1.059681E+07	3.256416E+06	3.382601E+07	3.197689E+07	3.451942E+06	9.162157E+06	7.100683E+06	4.277129E-04	7.801634E+06	2.589269E+06	1.552683E+04	9.387612E+06	6.375805E+06	3.668737E+07	8.396021E+06	4.725769E+07	5.624783E+06	7.338408E+06	1.694114E+06	4.890447E+06	1.302947E+08	4.277129E-04	1.246572E+07	3.874370E+05	5.038202E+07	3.495331E+06	3.361766E+06	9.240332E+06	4.277129E-04	5.886369E+06	7.257521E+07	3.738167E+06	6.128601E+06	
