x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
2.035000E-07	-3.610026E+03	-3.806394E+03	-1.974949E+04	-6.470815E+02	0.000000E+00	1.246669E+04	-1.926871E+04	-1.216754E+04	6.275775E+03	-1.097868E+03	-3.896657E+03	6.537738E+03	-3.431700E+04	1.303544E+04	1.215973E+04	-2.961853E+03	-9.667837E+03	-3.363525E+03	5.968293E+03	1.862535E+03	-5.666982E+03	-8.580633E+03	1.554427E+04	-1.126523E+04	9.392259E+03	-9.693539E+03	-4.618418E+03	-9.718409E+02	5.505117E+03	5.854866E+03	1.068854E+04	2.130601E+04	6.017728E+00	1.190285E+04	-7.438385E+03	1.035203E+03	2.284258E+04	4.813477E+04	2.930068E+04	-6.655164E+03	1.446545E+03	-3.425133E+03	1.575432E+04	1.854010E+03	-5.336298E+03	-3.767609E+04	3.739936E+02	1.988565E+04	4.627299E+02	-1.436867E+04	-1.852472E+04	-9.686158E+03	-1.874178E+04	-2.212926E+04	1.591527E+02	-2.335151E+04	1.124888E+03	-2.915118E+04	4.834746E+03	-2.423260E+03	-6.247929E+04	1.630070E+03	1.150040E+03	-1.851257E+04	-1.222825E+04	-1.510772E+04	3.803085E+03	-2.641136E+03	-2.024671E+03	-4.185737E+04	9.728163E+03	1.460978E+04	1.085291E+04	-4.177068E+04	-1.345045E+04	0.000000E+00	-3.817903E+04	-5.413687E+03	0.000000E+00	-5.835660E+03	-5.494445E+03	-1.339199E+04	2.804594E+03	-5.934088E+03	-7.219871E+04	-1.676754E+02	-2.921254E+03	8.040185E+03	-4.804228E+03	0.000000E+00	-9.030531E+03	0.000000E+00	1.454797E+04	-9.821676E+03	1.624668E+04	-1.635306E+04	0.000000E+00	1.934433E+04	4.053560E+03	3.518604E+03	-1.118794E+03	
2.066629E-07	-3.582181E+03	-3.777877E+03	-1.950668E+04	-6.328747E+02	0.000000E+00	1.232113E+04	-1.906776E+04	-1.200372E+04	6.218454E+03	-1.094036E+03	-3.869159E+03	6.442057E+03	-3.388364E+04	1.286607E+04	1.202435E+04	-2.931489E+03	-9.534103E+03	-3.354088E+03	5.955933E+03	1.852097E+03	-5.635197E+03	-8.459442E+03	1.533752E+04	-1.112245E+04	9.245181E+03	-9.579688E+03	-4.542436E+03	-9.613666E+02	5.398915E+03	5.790208E+03	1.054587E+04	2.103303E+04	4.188732E+00	1.173696E+04	-7.368793E+03	1.021920E+03	2.252647E+04	4.757698E+04	2.903012E+04	-6.599995E+03	1.430305E+03	-3.382042E+03	1.560556E+04	1.841695E+03	-5.262328E+03	-3.719265E+04	3.696671E+02	1.962259E+04	4.566794E+02	-1.416962E+04	-1.827024E+04	-9.559756E+03	-1.855453E+04	-2.193810E+04	1.563938E+02	-2.308626E+04	1.109809E+03	-2.878456E+04	4.757822E+03	-2.398016E+03	-6.181802E+04	1.609138E+03	1.135892E+03	-1.827581E+04	-1.206886E+04	-1.491798E+04	3.752835E+03	-2.605690E+03	-2.008916E+03	-4.145053E+04	9.613406E+03	1.442964E+04	1.068475E+04	-4.134660E+04	-1.327353E+04	0.000000E+00	-3.780052E+04	-5.355640E+03	0.000000E+00	-5.790775E+03	-5.436176E+03	-1.320785E+04	2.772342E+03	-5.866607E+03	-7.122628E+04	-1.607804E+02	-2.884193E+03	7.972089E+03	-4.748775E+03	0.000000E+00	-8.924849E+03	-7.906990E+02	1.437851E+04	-9.716256E+03	1.605477E+04	-1.617955E+04	0.000000E+00	1.909257E+04	4.005202E+03	3.455537E+03	-1.101790E+03	
2.098750E-07	-3.554972E+03	-3.749504E+03	-1.926680E+04	-6.189039E+02	0.000000E+00	1.217721E+04	-1.886888E+04	-1.184205E+04	6.161646E+03	-1.090151E+03	-3.841810E+03	6.347721E+03	-3.345571E+04	1.269883E+04	1.189046E+04	-2.901428E+03	-9.402162E+03	-3.344468E+03	5.943030E+03	1.841643E+03	-5.603436E+03	-8.339918E+03	1.513344E+04	-1.098143E+04	9.100182E+03	-9.467127E+03	-4.467546E+03	-9.509953E+02	5.294419E+03	5.726254E+03	1.040506E+04	2.076348E+04	2.394833E+00	1.157329E+04	-7.299839E+03	1.008800E+03	2.221455E+04	4.702540E+04	2.876190E+04	-6.545266E+03	1.414239E+03	-3.339487E+03	1.545815E+04	1.829420E+03	-5.189314E+03	-3.671530E+04	3.653746E+02	1.936297E+04	4.507015E+02	-1.397320E+04	-1.801914E+04	-9.434935E+03	-1.836911E+04	-2.174848E+04	1.536638E+02	-2.282399E+04	1.094921E+03	-2.842249E+04	4.682036E+03	-2.373030E+03	-6.116331E+04	1.588470E+03	1.121913E+03	-1.804201E+04	-1.191150E+04	-1.473059E+04	3.703249E+03	-2.570702E+03	-1.993278E+03	-4.104803E+04	9.499985E+03	1.425168E+04	1.051899E+04	-4.092662E+04	-1.309887E+04	0.000000E+00	-3.742558E+04	-5.298203E+03	0.000000E+00	-5.746188E+03	-5.378518E+03	-1.302616E+04	2.740461E+03	-5.799903E+03	-7.026648E+04	-1.540231E+02	-2.847559E+03	7.904555E+03	-4.693989E+03	0.000000E+00	-8.820390E+03	-7.826711E+02	1.421104E+04	-9.611952E+03	1.586508E+04	-1.600785E+04	0.000000E+00	1.884402E+04	3.957362E+03	3.393388E+03	-1.085029E+03	
2.131370E-07	-3.528268E+03	-3.721268E+03	-1.902984E+04	-6.051637E+02	0.000000E+00	1.203493E+04	-1.867203E+04	-1.168250E+04	6.105354E+03	-1.086219E+03	-3.814616E+03	6.254707E+03	-3.303315E+04	1.253372E+04	1.175806E+04	-2.871668E+03	-9.271988E+03	-3.334678E+03	5.929611E+03	1.831178E+03	-5.571715E+03	-8.222037E+03	1.493200E+04	-1.084216E+04	8.957223E+03	-9.355842E+03	-4.393725E+03	-9.407255E+02	5.191595E+03	5.662998E+03	1.026609E+04	2.049733E+04	6.349269E-01	1.141181E+04	-7.231521E+03	9.958406E+02	2.190678E+04	4.647994E+04	2.849602E+04	-6.490979E+03	1.398346E+03	-3.297460E+03	1.531211E+04	1.817188E+03	-5.117245E+03	-3.624395E+04	3.611229E+02	1.910672E+04	4.447960E+02	-1.377937E+04	-1.777137E+04	-9.311677E+03	-1.818551E+04	-2.156040E+04	1.509649E+02	-2.256466E+04	1.080220E+03	-2.806492E+04	4.607368E+03	-2.348300E+03	-6.051505E+04	1.568063E+03	1.108100E+03	-1.781114E+04	-1.175616E+04	-1.454551E+04	3.654319E+03	-2.536164E+03	-1.977757E+03	-4.064996E+04	9.387887E+03	1.407588E+04	1.035557E+04	-4.051068E+04	-1.292644E+04	0.000000E+00	-3.705422E+04	-5.241370E+03	0.000000E+00	-5.701905E+03	-5.321466E+03	-1.284689E+04	2.708946E+03	-5.733960E+03	-6.931913E+04	-1.474016E+02	-2.811346E+03	7.837592E+03	-4.639861E+03	0.000000E+00	-8.717141E+03	-7.747231E+02	1.404552E+04	-9.508756E+03	1.567760E+04	-1.583795E+04	0.000000E+00	1.859864E+04	3.910037E+03	3.332136E+03	-1.068507E+03	
2.164497E-07	-3.501948E+03	-3.693165E+03	-1.879574E+04	-5.916489E+02	0.000000E+00	1.189427E+04	-1.847722E+04	-1.152503E+04	6.049581E+03	-1.082247E+03	-3.787584E+03	6.162997E+03	-3.261589E+04	1.237069E+04	1.162712E+04	-2.842207E+03	-9.143555E+03	-3.324733E+03	5.915700E+03	1.820704E+03	-5.540048E+03	-8.105776E+03	1.473316E+04	-1.070461E+04	8.816265E+03	-9.245816E+03	-4.320954E+03	-9.305561E+02	5.090411E+03	5.600432E+03	1.012893E+04	2.023451E+04	-1.092042E+00	1.125249E+04	-7.163839E+03	9.830396E+02	2.160307E+04	4.594053E+04	2.823245E+04	-6.437133E+03	1.382623E+03	-3.255955E+03	1.516743E+04	1.804999E+03	-5.046110E+03	-3.577853E+04	3.569183E+02	1.885382E+04	4.389623E+02	-1.358810E+04	-1.752688E+04	-9.189966E+03	-1.800374E+04	-2.137389E+04	1.482988E+02	-2.230825E+04	1.065704E+03	-2.771180E+04	4.533802E+03	-2.323823E+03	-5.987318E+04	1.547912E+03	1.094451E+03	-1.758316E+04	-1.160279E+04	-1.436272E+04	3.606037E+03	-2.502070E+03	-1.962352E+03	-4.025642E+04	9.277096E+03	1.390222E+04	1.019446E+04	-4.009873E+04	-1.275622E+04	0.000000E+00	-3.668647E+04	-5.185136E+03	0.000000E+00	-5.657937E+03	-5.265016E+03	-1.267002E+04	2.677793E+03	-5.668766E+03	-6.838406E+04	-1.409140E+02	-2.775545E+03	7.771208E+03	-4.586376E+03	0.000000E+00	-8.615088E+03	-7.668548E+02	1.388192E+04	-9.406661E+03	1.549228E+04	-1.566984E+04	0.000000E+00	1.835639E+04	3.863224E+03	3.271761E+03	-1.052220E+03	
2.198139E-07	-3.475897E+03	-3.665188E+03	-1.856448E+04	-5.783544E+02	0.000000E+00	1.175521E+04	-1.828443E+04	-1.136964E+04	5.994332E+03	-1.078238E+03	-3.760721E+03	6.072571E+03	-3.220386E+04	1.220972E+04	1.149764E+04	-2.813043E+03	-9.016839E+03	-3.314648E+03	5.901321E+03	1.810225E+03	-5.508451E+03	-7.991111E+03	1.453687E+04	-1.056877E+04	8.677269E+03	-9.137034E+03	-4.249213E+03	-9.204860E+02	4.990834E+03	5.538549E+03	9.993560E+03	1.997500E+04	-2.787088E+00	1.109530E+04	-7.096789E+03	9.703942E+02	2.130338E+04	4.540708E+04	2.797120E+04	-6.383731E+03	1.367070E+03	-3.214964E+03	1.502410E+04	1.792855E+03	-4.975899E+03	-3.531896E+04	3.527667E+02	1.860422E+04	4.332000E+02	-1.339934E+04	-1.728563E+04	-9.069787E+03	-1.782379E+04	-2.118895E+04	1.456674E+02	-2.205471E+04	1.051368E+03	-2.736307E+04	4.461320E+03	-2.299598E+03	-5.923760E+04	1.528011E+03	1.080962E+03	-1.735803E+04	-1.145139E+04	-1.418219E+04	3.558395E+03	-2.468413E+03	-1.947065E+03	-3.986749E+04	9.167597E+03	1.373066E+04	1.003562E+04	-3.969071E+04	-1.258816E+04	0.000000E+00	-3.632232E+04	-5.129495E+03	0.000000E+00	-5.614289E+03	-5.209164E+03	-1.249551E+04	2.646999E+03	-5.604307E+03	-6.746108E+04	-1.345587E+02	-2.740152E+03	7.705411E+03	-4.533526E+03	0.000000E+00	-8.514217E+03	-7.590656E+02	1.372020E+04	-9.305657E+03	1.530912E+04	-1.550350E+04	0.000000E+00	1.811722E+04	3.816920E+03	3.212242E+03	-1.036166E+03	
2.232303E-07	-3.450007E+03	-3.637332E+03	-1.833602E+04	-5.652753E+02	0.000000E+00	1.161773E+04	-1.809364E+04	-1.121627E+04	5.939608E+03	-1.074198E+03	-3.734031E+03	5.983411E+03	-3.179700E+04	1.205079E+04	1.136960E+04	-2.784173E+03	-8.891814E+03	-3.304434E+03	5.886499E+03	1.799742E+03	-5.476936E+03	-7.878020E+03	1.434311E+04	-1.043460E+04	8.540200E+03	-9.029481E+03	-4.178481E+03	-9.105139E+02	4.892834E+03	5.477344E+03	9.859951E+03	1.971875E+04	-4.451185E+00	1.094020E+04	-7.030372E+03	9.579020E+02	2.100764E+04	4.487951E+04	2.771225E+04	-6.330772E+03	1.351684E+03	-3.174481E+03	1.488214E+04	1.780757E+03	-4.906601E+03	-3.486516E+04	3.486736E+02	1.835786E+04	4.275086E+02	-1.321306E+04	-1.704757E+04	-8.951122E+03	-1.764564E+04	-2.100558E+04	1.430724E+02	-2.180404E+04	1.037210E+03	-2.701868E+04	4.389905E+03	-2.275623E+03	-5.860824E+04	1.508357E+03	1.067631E+03	-1.713571E+04	-1.130191E+04	-1.400389E+04	3.511385E+03	-2.435189E+03	-1.931893E+03	-3.948325E+04	9.059375E+03	1.356119E+04	9.879011E+03	-3.928656E+04	-1.242225E+04	0.000000E+00	-3.596179E+04	-5.074444E+03	0.000000E+00	-5.570970E+03	-5.153905E+03	-1.232334E+04	2.616560E+03	-5.540571E+03	-6.655004E+04	-1.283336E+02	-2.705158E+03	7.640207E+03	-4.481297E+03	0.000000E+00	-8.414513E+03	-7.513552E+02	1.356035E+04	-9.205739E+03	1.512807E+04	-1.533892E+04	0.000000E+00	1.788109E+04	3.771121E+03	3.153561E+03	-1.020342E+03	
2.266999E-07	-3.424175E+03	-3.609592E+03	-1.811032E+04	-5.524067E+02	0.000000E+00	1.148182E+04	-1.790485E+04	-1.106492E+04	5.885412E+03	-1.070132E+03	-3.707521E+03	5.895497E+03	-3.139524E+04	1.189386E+04	1.124298E+04	-2.755595E+03	-8.768457E+03	-3.294105E+03	5.871256E+03	1.789259E+03	-5.445516E+03	-7.766482E+03	1.415183E+04	-1.030210E+04	8.405021E+03	-8.923142E+03	-4.108739E+03	-9.006387E+02	4.796382E+03	5.416809E+03	9.728080E+03	1.946571E+04	-6.085269E+00	1.078716E+04	-6.964585E+03	9.455606E+02	2.071580E+04	4.435773E+04	2.745558E+04	-6.278257E+03	1.336464E+03	-3.134498E+03	1.474153E+04	1.768706E+03	-4.838205E+03	-3.441706E+04	3.446443E+02	1.811472E+04	4.218876E+02	-1.302922E+04	-1.681265E+04	-8.833956E+03	-1.746930E+04	-2.082379E+04	1.405153E+02	-2.155618E+04	1.023226E+03	-2.667857E+04	4.319540E+03	-2.251895E+03	-5.798503E+04	1.488945E+03	1.054456E+03	-1.691617E+04	-1.115434E+04	-1.382779E+04	3.464999E+03	-2.402390E+03	-1.916838E+03	-3.910378E+04	8.952417E+03	1.339377E+04	9.724589E+03	-3.888625E+04	-1.225846E+04	0.000000E+00	-3.560486E+04	-5.019976E+03	0.000000E+00	-5.527986E+03	-5.099234E+03	-1.215348E+04	2.586473E+03	-5.477547E+03	-6.565076E+04	-1.222371E+02	-2.670559E+03	7.575603E+03	-4.429680E+03	0.000000E+00	-8.315965E+03	-7.437230E+02	1.340231E+04	-9.106897E+03	1.494912E+04	-1.517609E+04	0.000000E+00	1.764797E+04	3.725825E+03	3.095701E+03	-1.004744E+03	
2.302234E-07	-3.398306E+03	-3.581965E+03	-1.788734E+04	-5.397441E+02	0.000000E+00	1.134746E+04	-1.771805E+04	-1.091554E+04	5.831746E+03	-1.066045E+03	-3.681195E+03	5.808811E+03	-3.099854E+04	1.173891E+04	1.111777E+04	-2.727307E+03	-8.646744E+03	-3.283673E+03	5.855614E+03	1.778779E+03	-5.414204E+03	-7.656472E+03	1.396300E+04	-1.017124E+04	8.271699E+03	-8.818003E+03	-4.039970E+03	-8.908593E+02	4.701447E+03	5.356939E+03	9.597925E+03	1.921585E+04	-7.690234E+00	1.063616E+04	-6.899425E+03	9.333676E+02	2.042779E+04	4.384168E+04	2.720119E+04	-6.226186E+03	1.321409E+03	-3.095008E+03	1.460227E+04	1.756703E+03	-4.770701E+03	-3.397459E+04	3.406834E+02	1.787474E+04	4.163365E+02	-1.284779E+04	-1.658083E+04	-8.718273E+03	-1.729475E+04	-2.064360E+04	1.379975E+02	-2.131113E+04	1.009413E+03	-2.634269E+04	4.250210E+03	-2.228413E+03	-5.736788E+04	1.469771E+03	1.041434E+03	-1.669938E+04	-1.100865E+04	-1.365386E+04	3.419229E+03	-2.370010E+03	-1.901898E+03	-3.872912E+04	8.846707E+03	1.322838E+04	9.572320E+03	-3.848970E+04	-1.209675E+04	0.000000E+00	-3.525155E+04	-4.966086E+03	-1.568546E+04	-5.485342E+03	-5.045147E+03	-1.198590E+04	2.556732E+03	-5.415221E+03	-6.476307E+04	-1.162674E+02	-2.636347E+03	7.511604E+03	-4.378665E+03	0.000000E+00	-8.218557E+03	-7.361687E+02	1.324608E+04	-9.009124E+03	1.477225E+04	-1.501500E+04	0.000000E+00	1.741781E+04	3.681028E+03	3.038642E+03	-9.893703E+02	
2.338017E-07	-3.372310E+03	-3.554445E+03	-1.766706E+04	-5.272830E+02	0.000000E+00	1.121463E+04	-1.753321E+04	-1.076812E+04	5.778612E+03	-1.061939E+03	-3.655058E+03	5.723336E+03	-3.060681E+04	1.158591E+04	1.099396E+04	-2.699307E+03	-8.526651E+03	-3.273147E+03	5.839593E+03	1.768305E+03	-5.383011E+03	-7.547972E+03	1.377658E+04	-1.004199E+04	8.140198E+03	-8.714049E+03	-3.972155E+03	-8.811746E+02	4.608001E+03	5.297726E+03	9.469462E+03	1.896913E+04	-9.266941E+00	1.048716E+04	-6.834891E+03	9.213206E+02	2.014356E+04	4.333126E+04	2.694906E+04	-6.174559E+03	1.306516E+03	-3.056006E+03	1.446436E+04	1.744748E+03	-4.704078E+03	-3.353766E+04	3.367955E+02	1.763789E+04	4.108547E+02	-1.266873E+04	-1.635206E+04	-8.604056E+03	-1.712199E+04	-2.046500E+04	1.355204E+02	-2.106885E+04	9.957690E+02	-2.601099E+04	4.181898E+03	-2.205175E+03	-5.675672E+04	1.450831E+03	1.028562E+03	-1.648530E+04	-1.086481E+04	-1.348208E+04	3.374067E+03	-2.338045E+03	-1.887073E+03	-3.835933E+04	8.742232E+03	1.306499E+04	9.422167E+03	-3.809689E+04	-1.193711E+04	0.000000E+00	-3.490186E+04	-4.912770E+03	-2.113765E+04	-5.443044E+03	-4.991639E+03	-1.182058E+04	2.527335E+03	-5.353582E+03	-6.388682E+04	-1.104226E+02	-2.602517E+03	7.448215E+03	-4.328241E+03	0.000000E+00	-8.122278E+03	-7.286917E+02	1.309162E+04	-8.912410E+03	1.459743E+04	-1.485562E+04	0.000000E+00	1.719058E+04	3.636727E+03	2.982369E+03	-9.742172E+02	
