x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
5.150000E-08	-1.067352E+04	-8.484587E+03	-6.311667E+04	-3.149089E+03	-4.997224E+03	3.811950E+04	-5.510721E+04	-4.165802E+04	1.687202E+04	-1.813498E+03	-9.110158E+03	2.396866E+04	-1.125125E+05	4.326608E+04	3.638618E+04	-8.344722E+03	-3.382118E+04	-5.329882E+03	7.517234E+03	3.551251E+03	-1.174176E+04	-3.070354E+04	5.251301E+04	-3.669572E+04	3.515880E+04	-2.962558E+04	-1.779916E+04	-2.729644E+03	2.467292E+04	1.734240E+04	3.635863E+04	7.022907E+04	2.647941E+02	4.164204E+04	-2.005486E+04	3.369680E+03	7.926233E+04	1.454048E+05	7.696739E+04	-1.695197E+04	4.268592E+03	-1.114002E+04	4.267585E+04	3.955530E+03	-1.831051E+04	-1.242416E+05	1.217883E+03	6.752330E+04	1.498203E+03	-4.977542E+04	-6.419680E+04	-3.210440E+04	-5.240855E+04	-5.697562E+04	5.753839E+02	-7.046799E+04	3.730539E+03	-9.500349E+04	1.888627E+04	-6.907364E+03	-1.756029E+05	5.332754E+03	3.609933E+03	-6.082186E+04	-4.082636E+04	-4.906965E+04	1.267856E+04	-8.919302E+03	-4.981272E+03	-1.187361E+05	3.005582E+04	4.666821E+04	4.074154E+04	-1.146781E+05	-4.502743E+04	2.376173E+03	-1.028180E+05	-1.571190E+04	-5.491570E+04	-1.435583E+04	-1.592396E+04	-4.659432E+04	8.588691E+03	-1.796427E+04	-2.456209E+05	-1.527642E+03	-9.180262E+03	2.093368E+04	-1.472916E+04	8.113708E+03	-2.784518E+04	-2.249054E+03	4.483985E+04	-2.865522E+04	5.026061E+04	-4.732543E+04	3.205962E+04	6.451123E+04	1.265315E+04	1.412410E+04	-4.242775E+03	
5.237243E-08	-1.054972E+04	-8.419029E+03	-6.227978E+04	-3.089255E+03	-4.941061E+03	3.764167E+04	-5.448260E+04	-4.105925E+04	1.670132E+04	-1.817094E+03	-9.042398E+03	2.360048E+04	-1.109708E+05	4.266540E+04	3.594379E+04	-8.252112E+03	-3.332517E+04	-5.343513E+03	7.609322E+03	3.542985E+03	-1.168640E+04	-3.024188E+04	5.177138E+04	-3.619715E+04	3.460323E+04	-2.925546E+04	-1.751174E+04	-2.698592E+03	2.422827E+04	1.713308E+04	3.584064E+04	6.926335E+04	2.572692E+02	4.102995E+04	-1.985023E+04	3.322638E+03	7.810451E+04	1.436068E+05	7.619571E+04	-1.679386E+04	4.215724E+03	-1.099083E+04	4.223734E+04	3.932626E+03	-1.804743E+04	-1.225295E+05	1.210936E+03	6.656267E+04	1.477408E+03	-4.905102E+04	-6.326210E+04	-3.165856E+04	-5.183809E+04	-5.644114E+04	5.655954E+02	-6.960121E+04	3.677167E+03	-9.371109E+04	1.857904E+04	-6.830614E+03	-1.736296E+05	5.258742E+03	3.563429E+03	-5.998782E+04	-4.025668E+04	-4.840740E+04	1.249561E+04	-8.792738E+03	-4.937392E+03	-1.173804E+05	2.967675E+04	4.605076E+04	4.009918E+04	-1.134056E+05	-4.439630E+04	2.342224E+03	-1.017091E+05	-1.553013E+04	-5.447404E+04	-1.423692E+04	-1.573982E+04	-4.591645E+04	8.481990E+03	-1.773639E+04	-2.421209E+05	-1.491924E+03	-9.061824E+03	2.073645E+04	-1.453418E+04	7.966276E+03	-2.749240E+04	-2.224542E+03	4.427667E+04	-2.832128E+04	4.962031E+04	-4.677906E+04	3.157487E+04	6.361129E+04	1.249052E+04	1.388971E+04	-4.176191E+03	
5.325964E-08	-1.042734E+04	-8.353847E+03	-6.145386E+04	-3.030352E+03	-4.885512E+03	3.716973E+04	-5.386504E+04	-4.046889E+04	1.653246E+04	-1.820436E+03	-8.975143E+03	2.323772E+04	-1.094501E+05	4.207290E+04	3.550687E+04	-8.160550E+03	-3.283616E+04	-5.356285E+03	7.698067E+03	3.534377E+03	-1.163114E+04	-2.978694E+04	5.103985E+04	-3.570522E+04	3.405577E+04	-2.888979E+04	-1.722849E+04	-2.667917E+03	2.379069E+04	1.692632E+04	3.532985E+04	6.831060E+04	2.498675E+02	4.042654E+04	-1.964777E+04	3.276244E+03	7.696303E+04	1.418304E+05	7.543161E+04	-1.663727E+04	4.163589E+03	-1.084356E+04	4.180346E+04	3.909856E+03	-1.778786E+04	-1.208405E+05	1.203176E+03	6.561541E+04	1.456915E+03	-4.833664E+04	-6.234057E+04	-3.121876E+04	-5.127392E+04	-5.591181E+04	5.559831E+02	-6.874501E+04	3.624594E+03	-9.243615E+04	1.827650E+04	-6.754654E+03	-1.716772E+05	5.185847E+03	3.517530E+03	-5.916503E+04	-3.969475E+04	-4.775391E+04	1.231545E+04	-8.667926E+03	-4.894159E+03	-1.160418E+05	2.930232E+04	4.544131E+04	3.946625E+04	-1.121469E+05	-4.377383E+04	2.308700E+03	-1.006116E+05	-1.535044E+04	-5.403403E+04	-1.411900E+04	-1.555785E+04	-4.524802E+04	8.376566E+03	-1.751161E+04	-2.386690E+05	-1.456819E+03	-8.944804E+03	2.054129E+04	-1.434239E+04	7.821029E+03	-2.714404E+04	-2.200284E+03	4.372028E+04	-2.799124E+04	4.898807E+04	-4.623902E+04	3.109715E+04	6.272362E+04	1.232987E+04	1.365856E+04	-4.110556E+03	
5.416188E-08	-1.030634E+04	-8.289047E+03	-6.063878E+04	-2.972364E+03	-4.830568E+03	3.670362E+04	-5.325444E+04	-3.988683E+04	1.636544E+04	-1.823551E+03	-8.908413E+03	2.288027E+04	-1.079501E+05	4.148847E+04	3.507537E+04	-8.070034E+03	-3.235406E+04	-5.368233E+03	7.783576E+03	3.525439E+03	-1.157607E+04	-2.933862E+04	5.031826E+04	-3.521984E+04	3.351629E+04	-2.852849E+04	-1.694935E+04	-2.637621E+03	2.336004E+04	1.672211E+04	3.482615E+04	6.737061E+04	2.425839E+02	3.983170E+04	-1.944746E+04	3.230505E+03	7.583764E+04	1.400752E+05	7.467505E+04	-1.648219E+04	4.112195E+03	-1.069816E+04	4.137419E+04	3.887264E+03	-1.753175E+04	-1.191743E+05	1.194650E+03	6.468129E+04	1.436725E+03	-4.763212E+04	-6.143200E+04	-3.078491E+04	-5.071599E+04	-5.538763E+04	5.465535E+02	-6.789924E+04	3.572824E+03	-9.117845E+04	1.797859E+04	-6.679461E+03	-1.697458E+05	5.114062E+03	3.472225E+03	-5.835334E+04	-3.914048E+04	-4.710903E+04	1.213809E+04	-8.544846E+03	-4.851599E+03	-1.147200E+05	2.893246E+04	4.483973E+04	3.884263E+04	-1.109019E+05	-4.315990E+04	2.275593E+03	-9.952545E+04	-1.517280E+04	-5.359569E+04	-1.400210E+04	-1.537803E+04	-4.458887E+04	8.272395E+03	-1.728995E+04	-2.352646E+05	-1.422305E+03	-8.829187E+03	2.034819E+04	-1.415386E+04	7.677921E+03	-2.680007E+04	-2.176278E+03	4.317059E+04	-2.766505E+04	4.836382E+04	-4.570525E+04	3.062633E+04	6.184805E+04	1.217116E+04	1.343057E+04	-4.045846E+03	
5.507940E-08	-1.018670E+04	-8.224634E+03	-5.983440E+04	-2.915275E+03	-4.776221E+03	3.624329E+04	-5.265074E+04	-3.931294E+04	1.620026E+04	-1.826463E+03	-8.842225E+03	2.252804E+04	-1.064706E+05	4.091200E+04	3.464924E+04	-7.980561E+03	-3.187874E+04	-5.379392E+03	7.865954E+03	3.516183E+03	-1.152125E+04	-2.889683E+04	4.960645E+04	-3.474092E+04	3.298465E+04	-2.817150E+04	-1.667425E+04	-2.607708E+03	2.293620E+04	1.652043E+04	3.432942E+04	6.644321E+04	2.354137E+02	3.924529E+04	-1.924930E+04	3.185431E+03	7.472814E+04	1.383411E+05	7.392597E+04	-1.632861E+04	4.061547E+03	-1.055458E+04	4.094951E+04	3.864890E+03	-1.727904E+04	-1.175306E+05	1.185406E+03	6.376009E+04	1.416837E+03	-4.693730E+04	-6.053621E+04	-3.035696E+04	-5.016426E+04	-5.486861E+04	5.373124E+02	-6.706378E+04	3.521864E+03	-8.993774E+04	1.768524E+04	-6.605015E+03	-1.678349E+05	5.043381E+03	3.427507E+03	-5.755261E+04	-3.859374E+04	-4.647266E+04	1.196358E+04	-8.423475E+03	-4.809736E+03	-1.134151E+05	2.856710E+04	4.424593E+04	3.822815E+04	-1.096704E+05	-4.255441E+04	2.242896E+03	-9.845047E+04	-1.499718E+04	-5.315903E+04	-1.388622E+04	-1.520034E+04	-4.393884E+04	8.169454E+03	-1.707145E+04	-2.319071E+05	-1.388365E+03	-8.714960E+03	2.015717E+04	-1.396868E+04	7.536908E+03	-2.646044E+04	-2.152517E+03	4.262750E+04	-2.734269E+04	4.774745E+04	-4.517770E+04	3.016231E+04	6.098440E+04	1.201438E+04	1.320566E+04	-3.982036E+03	
5.601246E-08	-1.006840E+04	-8.160614E+03	-5.904055E+04	-2.859070E+03	-4.722464E+03	3.578868E+04	-5.205385E+04	-3.874710E+04	1.603691E+04	-1.829197E+03	-8.776598E+03	2.218095E+04	-1.050113E+05	4.034339E+04	3.422843E+04	-7.892130E+03	-3.141010E+04	-5.389796E+03	7.945302E+03	3.506619E+03	-1.146674E+04	-2.846147E+04	4.890427E+04	-3.426837E+04	3.246075E+04	-2.781877E+04	-1.640312E+04	-2.578180E+03	2.251905E+04	1.632127E+04	3.383956E+04	6.552821E+04	2.283524E+02	3.866721E+04	-1.905328E+04	3.141029E+03	7.363430E+04	1.366277E+05	7.318431E+04	-1.617651E+04	4.011652E+03	-1.041277E+04	4.052937E+04	3.842772E+03	-1.702970E+04	-1.159092E+05	1.175487E+03	6.285158E+04	1.397252E+03	-4.625200E+04	-5.965302E+04	-2.993483E+04	-4.961868E+04	-5.435474E+04	5.282653E+02	-6.623848E+04	3.471715E+03	-8.871381E+04	1.739636E+04	-6.531295E+03	-1.659445E+05	4.973795E+03	3.383367E+03	-5.676271E+04	-3.805442E+04	-4.584465E+04	1.179194E+04	-8.303794E+03	-4.768589E+03	-1.121269E+05	2.820616E+04	4.365979E+04	3.762270E+04	-1.084524E+05	-4.195726E+04	2.210601E+03	-9.738663E+04	-1.482358E+04	-5.272407E+04	-1.377138E+04	-1.502479E+04	-4.329780E+04	8.067720E+03	-1.685610E+04	-2.285956E+05	-1.354981E+03	-8.602107E+03	1.996822E+04	-1.378691E+04	7.397949E+03	-2.612511E+04	-2.129000E+03	4.209092E+04	-2.702409E+04	4.713888E+04	-4.465632E+04	2.970498E+04	6.013251E+04	1.185948E+04	1.298378E+04	-3.919104E+03	
5.696133E-08	-9.951400E+03	-8.096992E+03	-5.825712E+04	-2.803734E+03	-4.669289E+03	3.533972E+04	-5.146371E+04	-3.818921E+04	1.587539E+04	-1.831775E+03	-8.711547E+03	2.183890E+04	-1.035720E+05	3.978252E+04	3.381289E+04	-7.804737E+03	-3.094805E+04	-5.399477E+03	8.021714E+03	3.496758E+03	-1.141262E+04	-2.803246E+04	4.821157E+04	-3.380211E+04	3.194446E+04	-2.747023E+04	-1.613591E+04	-2.549039E+03	2.210848E+04	1.612462E+04	3.335645E+04	6.462542E+04	2.213957E+02	3.809732E+04	-1.885938E+04	3.097305E+03	7.255590E+04	1.349349E+05	7.245003E+04	-1.602589E+04	3.962513E+03	-1.027268E+04	4.011377E+04	3.820946E+03	-1.678367E+04	-1.143096E+05	1.164937E+03	6.195556E+04	1.377968E+03	-4.557609E+04	-5.878222E+04	-2.951846E+04	-4.907920E+04	-5.384602E+04	5.194169E+02	-6.542323E+04	3.422382E+03	-8.750643E+04	1.711189E+04	-6.458284E+03	-1.640743E+05	4.905298E+03	3.339796E+03	-5.598351E+04	-3.752241E+04	-4.522489E+04	1.162318E+04	-8.185782E+03	-4.728179E+03	-1.108553E+05	2.784957E+04	4.308122E+04	3.702613E+04	-1.072476E+05	-4.136834E+04	2.178701E+03	-9.633384E+04	-1.465195E+04	-5.229083E+04	-1.365759E+04	-1.485134E+04	-4.266558E+04	7.967170E+03	-1.664394E+04	-2.253296E+05	-1.322136E+03	-8.490615E+03	1.978135E+04	-1.360863E+04	7.261003E+03	-2.579404E+04	-2.105721E+03	4.156076E+04	-2.670923E+04	4.653802E+04	-4.414104E+04	2.925424E+04	5.929221E+04	1.170645E+04	1.276484E+04	-3.857027E+03	
5.792628E-08	-9.835690E+03	-8.033771E+03	-5.748396E+04	-2.749254E+03	-4.616690E+03	3.489636E+04	-5.088024E+04	-3.763916E+04	1.571571E+04	-1.834218E+03	-8.647085E+03	2.150181E+04	-1.021523E+05	3.922930E+04	3.340257E+04	-7.718379E+03	-3.049247E+04	-5.408463E+03	8.095286E+03	3.486610E+03	-1.135892E+04	-2.760969E+04	4.752820E+04	-3.334207E+04	3.143567E+04	-2.712583E+04	-1.587255E+04	-2.520287E+03	2.170436E+04	1.593046E+04	3.288000E+04	6.373467E+04	2.145395E+02	3.753552E+04	-1.866760E+04	3.054265E+03	7.149272E+04	1.332624E+05	7.172306E+04	-1.587672E+04	3.914133E+03	-1.013427E+04	3.970265E+04	3.799444E+03	-1.654090E+04	-1.127316E+05	1.153796E+03	6.107181E+04	1.358985E+03	-4.490940E+04	-5.792365E+04	-2.910777E+04	-4.854577E+04	-5.334244E+04	5.107714E+02	-6.461789E+04	3.373865E+03	-8.631538E+04	1.683176E+04	-6.385962E+03	-1.622241E+05	4.837881E+03	3.296786E+03	-5.521486E+04	-3.699761E+04	-4.461325E+04	1.145733E+04	-8.069417E+03	-4.688522E+03	-1.096002E+05	2.749727E+04	4.251010E+04	3.643831E+04	-1.060561E+05	-4.078754E+04	2.147190E+03	-9.529200E+04	-1.448229E+04	-5.185932E+04	-1.354486E+04	-1.467999E+04	-4.204204E+04	7.867784E+03	-1.643498E+04	-2.221085E+05	-1.289813E+03	-8.380469E+03	1.959656E+04	-1.343387E+04	7.126030E+03	-2.546718E+04	-2.082678E+03	4.103692E+04	-2.639807E+04	4.594478E+04	-4.363181E+04	2.880999E+04	5.846333E+04	1.155525E+04	1.254879E+04	-3.795783E+03	
5.890757E-08	-9.721242E+03	-7.970957E+03	-5.672094E+04	-2.695616E+03	-4.564659E+03	3.445855E+04	-5.030337E+04	-3.709682E+04	1.555785E+04	-1.836544E+03	-8.583226E+03	2.116960E+04	-1.007521E+05	3.868361E+04	3.299741E+04	-7.633053E+03	-3.004326E+04	-5.416785E+03	8.166106E+03	3.476186E+03	-1.130570E+04	-2.719308E+04	4.685401E+04	-3.288815E+04	3.093427E+04	-2.678552E+04	-1.561298E+04	-2.491926E+03	2.130659E+04	1.573878E+04	3.241011E+04	6.285578E+04	2.077800E+02	3.698170E+04	-1.847793E+04	3.011912E+03	7.044455E+04	1.316099E+05	7.100336E+04	-1.572900E+04	3.866516E+03	-9.997500E+03	3.929600E+04	3.778297E+03	-1.630136E+04	-1.111748E+05	1.142105E+03	6.020014E+04	1.340303E+03	-4.425179E+04	-5.707711E+04	-2.870271E+04	-4.801835E+04	-5.284398E+04	5.023327E+02	-6.382233E+04	3.326166E+03	-8.514045E+04	1.655590E+04	-6.314313E+03	-1.603939E+05	4.771536E+03	3.254329E+03	-5.445663E+04	-3.647991E+04	-4.400961E+04	1.129439E+04	-7.954680E+03	-4.649633E+03	-1.083614E+05	2.714920E+04	4.194633E+04	3.585911E+04	-1.048778E+05	-4.021478E+04	2.116060E+03	-9.426105E+04	-1.431456E+04	-5.142955E+04	-1.343320E+04	-1.451072E+04	-4.142705E+04	7.769540E+03	-1.622922E+04	-2.189315E+05	-1.257997E+03	-8.271655E+03	1.941384E+04	-1.326270E+04	6.992991E+03	-2.514449E+04	-2.059868E+03	4.051932E+04	-2.609056E+04	4.535907E+04	-4.312859E+04	2.837213E+04	5.764570E+04	1.140586E+04	1.233556E+04	-3.735354E+03	
5.990549E-08	-9.608033E+03	-7.908553E+03	-5.596792E+04	-2.642805E+03	-4.513190E+03	3.402621E+04	-4.973302E+04	-3.656210E+04	1.540181E+04	-1.838773E+03	-8.519982E+03	2.084218E+04	-9.937108E+04	3.814538E+04	3.259737E+04	-7.548753E+03	-2.960034E+04	-5.424469E+03	8.234260E+03	3.465495E+03	-1.125302E+04	-2.678254E+04	4.618886E+04	-3.244028E+04	3.044013E+04	-2.644922E+04	-1.535714E+04	-2.463955E+03	2.091505E+04	1.554957E+04	3.194666E+04	6.198858E+04	2.011135E+02	3.643573E+04	-1.829034E+04	2.970251E+03	6.941119E+04	1.299773E+05	7.029086E+04	-1.558272E+04	3.819662E+03	-9.862328E+03	3.889379E+04	3.757530E+03	-1.606499E+04	-1.096391E+05	1.129901E+03	5.934034E+04	1.321921E+03	-4.360311E+04	-5.624245E+04	-2.830321E+04	-4.749688E+04	-5.235063E+04	4.941040E+02	-6.303644E+04	3.279286E+03	-8.398141E+04	1.628425E+04	-6.243320E+03	-1.585833E+05	4.706253E+03	3.212417E+03	-5.370870E+04	-3.596921E+04	-4.341386E+04	1.113437E+04	-7.841549E+03	-4.611524E+03	-1.071387E+05	2.680529E+04	4.138982E+04	3.528840E+04	-1.037123E+05	-3.964994E+04	2.085305E+03	-9.324088E+04	-1.414875E+04	-5.100156E+04	-1.332262E+04	-1.434351E+04	-4.082048E+04	7.672420E+03	-1.602666E+04	-2.157981E+05	-1.226673E+03	-8.164159E+03	1.923319E+04	-1.309515E+04	6.861851E+03	-2.482593E+04	-2.037286E+03	4.000787E+04	-2.578666E+04	4.478081E+04	-4.263130E+04	2.794056E+04	5.683918E+04	1.125825E+04	1.212510E+04	-3.675718E+03	
