x 	 NNPDF3 	 MMHT14 	 CJ15 	 CT14
1.000000E-04 	 -1.855827E+01 	 -1.877700E+00 	 0.000000E+00 	 0.000000E+00
1.047371E-04 	 -1.772620E+01 	 -1.870759E+00 	 0.000000E+00 	 0.000000E+00
1.096986E-04 	 -1.692885E+01 	 -1.860763E+00 	 0.000000E+00 	 0.000000E+00
1.148951E-04 	 -1.616491E+01 	 -1.848460E+00 	 0.000000E+00 	 0.000000E+00
1.203378E-04 	 -1.543300E+01 	 -1.834496E+00 	 0.000000E+00 	 0.000000E+00
1.260383E-04 	 -1.473181E+01 	 -1.819424E+00 	 0.000000E+00 	 0.000000E+00
1.320088E-04 	 -1.406007E+01 	 -1.803715E+00 	 0.000000E+00 	 0.000000E+00
1.382622E-04 	 -1.341659E+01 	 -1.787764E+00 	 0.000000E+00 	 0.000000E+00
1.448118E-04 	 -1.280020E+01 	 -1.771903E+00 	 0.000000E+00 	 0.000000E+00
1.516717E-04 	 -1.221016E+01 	 -1.756403E+00 	 0.000000E+00 	 0.000000E+00
1.588565E-04 	 -1.164735E+01 	 -1.741483E+00 	 0.000000E+00 	 0.000000E+00
1.663817E-04 	 -1.110987E+01 	 -1.727317E+00 	 0.000000E+00 	 0.000000E+00
1.742633E-04 	 -1.059555E+01 	 -1.714040E+00 	 0.000000E+00 	 0.000000E+00
1.825183E-04 	 -1.010244E+01 	 -1.701749E+00 	 0.000000E+00 	 0.000000E+00
1.911644E-04 	 -9.628824E+00 	 -1.690513E+00 	 0.000000E+00 	 0.000000E+00
2.002200E-04 	 -9.173160E+00 	 -1.680371E+00 	 0.000000E+00 	 0.000000E+00
2.097046E-04 	 -8.734096E+00 	 -1.670401E+00 	 0.000000E+00 	 0.000000E+00
2.196385E-04 	 -8.310700E+00 	 -1.659804E+00 	 0.000000E+00 	 0.000000E+00
2.300430E-04 	 -7.904216E+00 	 -1.648657E+00 	 0.000000E+00 	 0.000000E+00
2.409404E-04 	 -7.514352E+00 	 -1.637028E+00 	 0.000000E+00 	 0.000000E+00
2.523539E-04 	 -7.140365E+00 	 -1.624975E+00 	 0.000000E+00 	 0.000000E+00
2.643081E-04 	 -6.781556E+00 	 -1.612550E+00 	 0.000000E+00 	 0.000000E+00
