NNPDF30_nlo_as_0118	1.00 GeV^2
x  xs-  delta_xs-
1.000000E-04  -1.893828E-03  4.124316E-03
1.009253E-04  -1.900201E-03  4.129856E-03
1.018591E-04  -1.906589E-03  4.135370E-03
1.028016E-04  -1.912993E-03  4.140865E-03
1.037528E-04  -1.919420E-03  4.146381E-03
1.047129E-04  -1.925870E-03  4.151924E-03
1.056818E-04  -1.932342E-03  4.157492E-03
1.066596E-04  -1.938837E-03  4.163083E-03
1.076465E-04  -1.945354E-03  4.168695E-03
1.086426E-04  -1.951891E-03  4.174324E-03
1.096478E-04  -1.958449E-03  4.179969E-03
1.106624E-04  -1.965027E-03  4.185627E-03
1.116863E-04  -1.971623E-03  4.191295E-03
1.127197E-04  -1.978239E-03  4.196972E-03
1.137627E-04  -1.984872E-03  4.202655E-03
1.148154E-04  -1.991523E-03  4.208341E-03
1.158777E-04  -1.998191E-03  4.214027E-03
1.169499E-04  -2.004876E-03  4.219712E-03
1.180321E-04  -2.011576E-03  4.225393E-03
1.191242E-04  -2.018291E-03  4.231068E-03
1.202264E-04  -2.025020E-03  4.236733E-03
1.213389E-04  -2.031764E-03  4.242386E-03
1.224616E-04  -2.038521E-03  4.248025E-03
1.235947E-04  -2.045291E-03  4.253647E-03
1.247384E-04  -2.052074E-03  4.259250E-03
1.258925E-04  -2.058868E-03  4.264830E-03
1.270574E-04  -2.065673E-03  4.270386E-03
1.282331E-04  -2.072488E-03  4.275914E-03
1.294196E-04  -2.079314E-03  4.281413E-03
1.306171E-04  -2.086149E-03  4.286879E-03
1.318257E-04  -2.092993E-03  4.292310E-03
1.330454E-04  -2.099845E-03  4.297703E-03
1.342765E-04  -2.106704E-03  4.303056E-03
1.355189E-04  -2.113571E-03  4.308366E-03
1.367729E-04  -2.120444E-03  4.313631E-03
1.380384E-04  -2.127323E-03  4.318847E-03
1.393157E-04  -2.134208E-03  4.324013E-03
1.406048E-04  -2.141097E-03  4.329126E-03
1.419058E-04  -2.147990E-03  4.334183E-03
1.432188E-04  -2.154887E-03  4.339182E-03
1.445440E-04  -2.161787E-03  4.344120E-03
1.458814E-04  -2.168689E-03  4.348995E-03
1.472313E-04  -2.175593E-03  4.353804E-03
1.485936E-04  -2.182498E-03  4.358546E-03
1.499685E-04  -2.189415E-03  4.363270E-03
1.513561E-04  -2.196352E-03  4.368014E-03
1.527566E-04  -2.203307E-03  4.372775E-03
1.541700E-04  -2.210279E-03  4.377549E-03
1.555966E-04  -2.217268E-03  4.382333E-03
1.570363E-04  -2.224273E-03  4.387125E-03
1.584893E-04  -2.231293E-03  4.391920E-03
1.599558E-04  -2.238327E-03  4.396715E-03
1.614359E-04  -2.245374E-03  4.401507E-03
1.629296E-04  -2.252434E-03  4.406294E-03
1.644372E-04  -2.259505E-03  4.411070E-03
1.659587E-04  -2.266586E-03  4.415835E-03
1.674943E-04  -2.273677E-03  4.420583E-03
1.690441E-04  -2.280778E-03  4.425313E-03
1.706082E-04  -2.287886E-03  4.430020E-03
1.721869E-04  -2.295001E-03  4.434702E-03
1.737801E-04  -2.302123E-03  4.439355E-03
1.753881E-04  -2.309250E-03  4.443976E-03
1.770109E-04  -2.316381E-03  4.448563E-03
1.786488E-04  -2.323517E-03  4.453112E-03
1.803018E-04  -2.330655E-03  4.457619E-03
1.819701E-04  -2.337795E-03  4.462082E-03
1.836538E-04  -2.344935E-03  4.466498E-03
1.853532E-04  -2.352077E-03  4.470865E-03
1.870682E-04  -2.359217E-03  4.475178E-03
1.887991E-04  -2.366356E-03  4.479435E-03
1.905461E-04  -2.373492E-03  4.483633E-03
1.923092E-04  -2.380626E-03  4.487770E-03
1.940886E-04  -2.387755E-03  4.491843E-03
1.958845E-04  -2.394879E-03  4.495849E-03
1.976970E-04  -2.401997E-03  4.499785E-03
1.995262E-04  -2.409108E-03  4.503650E-03
2.013724E-04  -2.416212E-03  4.507440E-03
2.032357E-04  -2.423307E-03  4.511154E-03
2.051162E-04  -2.430393E-03  4.514789E-03
2.070141E-04  -2.437469E-03  4.518343E-03
2.089296E-04  -2.444533E-03  4.521814E-03
2.108628E-04  -2.451586E-03  4.525199E-03
2.128139E-04  -2.458625E-03  4.528498E-03
2.147830E-04  -2.465651E-03  4.531709E-03
2.167704E-04  -2.472662E-03  4.534838E-03
2.187762E-04  -2.479658E-03  4.537911E-03
2.208005E-04  -2.486638E-03  4.540934E-03
2.228435E-04  -2.493604E-03  4.543912E-03
2.249055E-04  -2.500557E-03  4.546848E-03
2.269865E-04  -2.507499E-03  4.549746E-03
2.290868E-04  -2.514429E-03  4.552610E-03
2.312065E-04  -2.521350E-03  4.555444E-03
2.333458E-04  -2.528261E-03  4.558251E-03
2.355049E-04  -2.535165E-03  4.561036E-03
2.376840E-04  -2.542061E-03  4.563802E-03
2.398833E-04  -2.548952E-03  4.566553E-03
2.421029E-04  -2.555837E-03  4.569292E-03
2.443431E-04  -2.562719E-03  4.572023E-03
2.466039E-04  -2.569598E-03  4.574749E-03
2.488857E-04  -2.576474E-03  4.577474E-03
2.511886E-04  -2.583350E-03  4.580202E-03
2.535129E-04  -2.590226E-03  4.582934E-03
2.558586E-04  -2.597103E-03  4.585676E-03
2.582260E-04  -2.603981E-03  4.588429E-03
2.606154E-04  -2.610863E-03  4.591196E-03
2.630268E-04  -2.617749E-03  4.593981E-03
2.654606E-04  -2.624640E-03  4.596786E-03
2.679168E-04  -2.631536E-03  4.599614E-03
2.703958E-04  -2.638440E-03  4.602468E-03
2.728978E-04  -2.645352E-03  4.605349E-03
2.754229E-04  -2.652273E-03  4.608260E-03
2.779713E-04  -2.659204E-03  4.611204E-03
2.805434E-04  -2.666146E-03  4.614181E-03
2.831392E-04  -2.673100E-03  4.617195E-03
2.857591E-04  -2.680067E-03  4.620247E-03
2.884032E-04  -2.687047E-03  4.623339E-03
2.910717E-04  -2.694043E-03  4.626472E-03
2.937650E-04  -2.701055E-03  4.629648E-03
2.964831E-04  -2.708084E-03  4.632869E-03
2.992265E-04  -2.715131E-03  4.636134E-03
3.019952E-04  -2.722197E-03  4.639446E-03
3.047895E-04  -2.729283E-03  4.642805E-03
3.076097E-04  -2.736390E-03  4.646212E-03
3.104560E-04  -2.743519E-03  4.649668E-03
3.133286E-04  -2.750670E-03  4.653175E-03
3.162278E-04  -2.757826E-03  4.656754E-03
