Q2	Fs	dFs
0.0000E+00	-6.9443E-18	2.5491E-18
1.0000E-02	8.3939E-05	2.8743E-05
2.0000E-02	1.6426E-04	5.2945E-05
3.0000E-02	2.4111E-04	7.3120E-05
4.0000E-02	3.1466E-04	8.9730E-05
5.0000E-02	3.8504E-04	1.0320E-04
6.0000E-02	4.5239E-04	1.1390E-04
7.0000E-02	5.1683E-04	1.2219E-04
8.0000E-02	5.7850E-04	1.2840E-04
9.0000E-02	6.3750E-04	1.3283E-04
1.0000E-01	6.9395E-04	1.3576E-04
1.1000E-01	7.4796E-04	1.3748E-04
1.2000E-01	7.9962E-04	1.3825E-04
1.3000E-01	8.4904E-04	1.3833E-04
1.4000E-01	8.9630E-04	1.3798E-04
1.5000E-01	9.4149E-04	1.3745E-04
1.6000E-01	9.8469E-04	1.3699E-04
1.7000E-01	1.0260E-03	1.3683E-04
1.8000E-01	1.0655E-03	1.3718E-04
1.9000E-01	1.1032E-03	1.3825E-04
2.0000E-01	1.1392E-03	1.4019E-04
2.1000E-01	1.1736E-03	1.4311E-04
2.2000E-01	1.2065E-03	1.4708E-04
2.3000E-01	1.2378E-03	1.5212E-04
2.4000E-01	1.2677E-03	1.5822E-04
2.5000E-01	1.2963E-03	1.6532E-04
2.6000E-01	1.3235E-03	1.7336E-04
2.7000E-01	1.3494E-03	1.8223E-04
2.8000E-01	1.3741E-03	1.9185E-04
2.9000E-01	1.3976E-03	2.0212E-04
3.0000E-01	1.4200E-03	2.1296E-04
3.1000E-01	1.4413E-03	2.2427E-04
3.2000E-01	1.4615E-03	2.3599E-04
3.3000E-01	1.4807E-03	2.4804E-04
3.4000E-01	1.4990E-03	2.6036E-04
3.5000E-01	1.5163E-03	2.7290E-04
3.6000E-01	1.5327E-03	2.8561E-04
3.7000E-01	1.5482E-03	2.9844E-04
3.8000E-01	1.5629E-03	3.1136E-04
3.9000E-01	1.5768E-03	3.2433E-04
4.0000E-01	1.5899E-03	3.3733E-04
4.1000E-01	1.6022E-03	3.5033E-04
4.2000E-01	1.6139E-03	3.6330E-04
4.3000E-01	1.6248E-03	3.7623E-04
4.4000E-01	1.6351E-03	3.8910E-04
4.5000E-01	1.6447E-03	4.0189E-04
4.6000E-01	1.6537E-03	4.1459E-04
4.7000E-01	1.6622E-03	4.2718E-04
4.8000E-01	1.6700E-03	4.3966E-04
4.9000E-01	1.6773E-03	4.5202E-04
5.0000E-01	1.6840E-03	4.6424E-04
5.1000E-01	1.6903E-03	4.7633E-04
5.2000E-01	1.6960E-03	4.8827E-04
5.3000E-01	1.7012E-03	5.0006E-04
5.4000E-01	1.7060E-03	5.1169E-04
5.5000E-01	1.7104E-03	5.2316E-04
5.6000E-01	1.7143E-03	5.3447E-04
5.7000E-01	1.7178E-03	5.4562E-04
5.8000E-01	1.7209E-03	5.5659E-04
5.9000E-01	1.7236E-03	5.6740E-04
6.0000E-01	1.7260E-03	5.7803E-04
6.1000E-01	1.7280E-03	5.8848E-04
6.2000E-01	1.7297E-03	5.9877E-04
6.3000E-01	1.7310E-03	6.0888E-04
6.4000E-01	1.7320E-03	6.1881E-04
6.5000E-01	1.7327E-03	6.2857E-04
6.6000E-01	1.7331E-03	6.3815E-04
6.7000E-01	1.7332E-03	6.4756E-04
6.8000E-01	1.7331E-03	6.5679E-04
6.9000E-01	1.7327E-03	6.6585E-04
7.0000E-01	1.7320E-03	6.7474E-04
7.1000E-01	1.7311E-03	6.8345E-04
7.2000E-01	1.7299E-03	6.9199E-04
7.3000E-01	1.7285E-03	7.0037E-04
7.4000E-01	1.7269E-03	7.0857E-04
7.5000E-01	1.7251E-03	7.1661E-04
7.6000E-01	1.7231E-03	7.2449E-04
7.7000E-01	1.7209E-03	7.3220E-04
7.8000E-01	1.7185E-03	7.3974E-04
7.9000E-01	1.7160E-03	7.4713E-04
8.0000E-01	1.7132E-03	7.5436E-04
