Q2	Fs
0.0000E+00	-1.4100E-18
1.0000E-02	2.2793E-05
2.0000E-02	4.4272E-05
3.0000E-02	6.4514E-05
4.0000E-02	8.3589E-05
5.0000E-02	1.0157E-04
6.0000E-02	1.1851E-04
7.0000E-02	1.3447E-04
8.0000E-02	1.4950E-04
9.0000E-02	1.6367E-04
1.0000E-01	1.7701E-04
1.1000E-01	1.8957E-04
1.2000E-01	2.0140E-04
1.3000E-01	2.1252E-04
1.4000E-01	2.2299E-04
1.5000E-01	2.3283E-04
1.6000E-01	2.4208E-04
1.7000E-01	2.5076E-04
1.8000E-01	2.5892E-04
1.9000E-01	2.6657E-04
2.0000E-01	2.7374E-04
2.1000E-01	2.8045E-04
2.2000E-01	2.8674E-04
2.3000E-01	2.9262E-04
2.4000E-01	2.9811E-04
2.5000E-01	3.0323E-04
2.6000E-01	3.0799E-04
2.7000E-01	3.1243E-04
2.8000E-01	3.1655E-04
2.9000E-01	3.2037E-04
3.0000E-01	3.2391E-04
3.1000E-01	3.2717E-04
3.2000E-01	3.3017E-04
3.3000E-01	3.3293E-04
3.4000E-01	3.3546E-04
3.5000E-01	3.3776E-04
3.6000E-01	3.3985E-04
3.7000E-01	3.4174E-04
3.8000E-01	3.4344E-04
3.9000E-01	3.4496E-04
4.0000E-01	3.4631E-04
4.1000E-01	3.4749E-04
4.2000E-01	3.4851E-04
4.3000E-01	3.4939E-04
4.4000E-01	3.5012E-04
4.5000E-01	3.5072E-04
4.6000E-01	3.5119E-04
4.7000E-01	3.5154E-04
4.8000E-01	3.5177E-04
4.9000E-01	3.5189E-04
5.0000E-01	3.5191E-04
5.1000E-01	3.5183E-04
5.2000E-01	3.5165E-04
5.3000E-01	3.5139E-04
5.4000E-01	3.5103E-04
5.5000E-01	3.5060E-04
5.6000E-01	3.5009E-04
5.7000E-01	3.4951E-04
5.8000E-01	3.4885E-04
5.9000E-01	3.4813E-04
6.0000E-01	3.4735E-04
6.1000E-01	3.4651E-04
6.2000E-01	3.4561E-04
6.3000E-01	3.4466E-04
6.4000E-01	3.4366E-04
6.5000E-01	3.4261E-04
6.6000E-01	3.4152E-04
6.7000E-01	3.4038E-04
6.8000E-01	3.3920E-04
6.9000E-01	3.3798E-04
7.0000E-01	3.3673E-04
7.1000E-01	3.3545E-04
7.2000E-01	3.3413E-04
7.3000E-01	3.3278E-04
7.4000E-01	3.3141E-04
7.5000E-01	3.3000E-04
7.6000E-01	3.2858E-04
7.7000E-01	3.2712E-04
7.8000E-01	3.2565E-04
7.9000E-01	3.2416E-04
8.0000E-01	3.2265E-04
8.1000E-01	3.2112E-04
8.2000E-01	3.1957E-04
8.3000E-01	3.1801E-04
8.4000E-01	3.1643E-04
8.5000E-01	3.1485E-04
8.6000E-01	3.1324E-04
8.7000E-01	3.1163E-04
8.8000E-01	3.1001E-04
8.9000E-01	3.0838E-04
9.0000E-01	3.0674E-04
9.1000E-01	3.0510E-04
9.2000E-01	3.0345E-04
9.3000E-01	3.0179E-04
9.4000E-01	3.0012E-04
9.5000E-01	2.9846E-04
9.6000E-01	2.9679E-04
9.7000E-01	2.9511E-04
9.8000E-01	2.9344E-04
9.9000E-01	2.9176E-04
1.0000E+00	2.9008E-04
1.0100E+00	2.8840E-04
1.0200E+00	2.8672E-04
1.0300E+00	2.8504E-04
1.0400E+00	2.8336E-04
1.0500E+00	2.8168E-04
1.0600E+00	2.8001E-04
1.0700E+00	2.7833E-04
1.0800E+00	2.7666E-04
1.0900E+00	2.7499E-04
1.1000E+00	2.7332E-04
1.1100E+00	2.7166E-04
1.1200E+00	2.7000E-04
1.1300E+00	2.6835E-04
1.1400E+00	2.6670E-04
1.1500E+00	2.6505E-04
1.1600E+00	2.6341E-04
1.1700E+00	2.6178E-04
1.1800E+00	2.6015E-04
1.1900E+00	2.5852E-04
1.2000E+00	2.5690E-04
1.2100E+00	2.5529E-04
1.2200E+00	2.5368E-04
1.2300E+00	2.5208E-04
1.2400E+00	2.5049E-04
1.2500E+00	2.4890E-04
1.2600E+00	2.4732E-04
1.2700E+00	2.4575E-04
1.2800E+00	2.4419E-04
1.2900E+00	2.4263E-04
1.3000E+00	2.4108E-04
1.3100E+00	2.3953E-04
1.3200E+00	2.3800E-04
1.3300E+00	2.3647E-04
1.3400E+00	2.3495E-04
1.3500E+00	2.3343E-04
1.3600E+00	2.3193E-04
1.3700E+00	2.3043E-04
1.3800E+00	2.2894E-04
1.3900E+00	2.2746E-04
1.4000E+00	2.2599E-04
1.4100E+00	2.2452E-04
1.4200E+00	2.2307E-04
1.4300E+00	2.2162E-04
1.4400E+00	2.2018E-04
1.4500E+00	2.1875E-04
1.4600E+00	2.1733E-04
1.4700E+00	2.1591E-04
1.4800E+00	2.1451E-04
1.4900E+00	2.1311E-04
1.5000E+00	2.1172E-04
1.5100E+00	2.1034E-04
1.5200E+00	2.0897E-04
1.5300E+00	2.0761E-04
1.5400E+00	2.0625E-04
1.5500E+00	2.0490E-04
1.5600E+00	2.0357E-04
1.5700E+00	2.0224E-04
1.5800E+00	2.0092E-04
1.5900E+00	1.9961E-04
1.6000E+00	1.9830E-04
1.6100E+00	1.9701E-04
1.6200E+00	1.9572E-04
1.6300E+00	1.9444E-04
1.6400E+00	1.9317E-04
1.6500E+00	1.9191E-04
1.6600E+00	1.9066E-04
1.6700E+00	1.8941E-04
1.6800E+00	1.8818E-04
1.6900E+00	1.8695E-04
1.7000E+00	1.8573E-04
1.7100E+00	1.8452E-04
1.7200E+00	1.8332E-04
1.7300E+00	1.8212E-04
1.7400E+00	1.8094E-04
1.7500E+00	1.7976E-04
1.7600E+00	1.7859E-04
1.7700E+00	1.7743E-04
1.7800E+00	1.7627E-04
1.7900E+00	1.7513E-04
1.8000E+00	1.7399E-04
1.8100E+00	1.7286E-04
1.8200E+00	1.7174E-04
1.8300E+00	1.7062E-04
1.8400E+00	1.6952E-04
1.8500E+00	1.6842E-04
1.8600E+00	1.6733E-04
1.8700E+00	1.6624E-04
1.8800E+00	1.6517E-04
1.8900E+00	1.6410E-04
1.9000E+00	1.6304E-04
1.9100E+00	1.6199E-04
