Q2	Fs	dFs
0.0000E+00	0.0000E+00	0.0000E+00
1.0000E-02	2.2177E-05	3.8264E-05
2.0000E-02	4.3163E-05	7.3489E-05
3.0000E-02	6.3020E-05	1.0599E-04
4.0000E-02	8.1809E-05	1.3604E-04
5.0000E-02	9.9584E-05	1.6388E-04
6.0000E-02	1.1640E-04	1.8972E-04
7.0000E-02	1.3230E-04	2.1375E-04
8.0000E-02	1.4734E-04	2.3613E-04
9.0000E-02	1.6156E-04	2.5700E-04
1.0000E-01	1.7500E-04	2.7649E-04
1.1000E-01	1.8770E-04	2.9473E-04
1.2000E-01	1.9970E-04	3.1180E-04
1.3000E-01	2.1104E-04	3.2781E-04
1.4000E-01	2.2174E-04	3.4283E-04
1.5000E-01	2.3183E-04	3.5695E-04
1.6000E-01	2.4136E-04	3.7022E-04
1.7000E-01	2.5034E-04	3.8271E-04
1.8000E-01	2.5880E-04	3.9447E-04
1.9000E-01	2.6677E-04	4.0556E-04
2.0000E-01	2.7427E-04	4.1602E-04
2.1000E-01	2.8132E-04	4.2589E-04
2.2000E-01	2.8795E-04	4.3521E-04
2.3000E-01	2.9417E-04	4.4401E-04
2.4000E-01	3.0001E-04	4.5233E-04
2.5000E-01	3.0548E-04	4.6019E-04
2.6000E-01	3.1060E-04	4.6763E-04
2.7000E-01	3.1539E-04	4.7466E-04
2.8000E-01	3.1986E-04	4.8132E-04
2.9000E-01	3.2403E-04	4.8761E-04
3.0000E-01	3.2790E-04	4.9357E-04
3.1000E-01	3.3151E-04	4.9921E-04
3.2000E-01	3.3485E-04	5.0454E-04
3.3000E-01	3.3794E-04	5.0959E-04
3.4000E-01	3.4080E-04	5.1437E-04
3.5000E-01	3.4343E-04	5.1889E-04
3.6000E-01	3.4584E-04	5.2316E-04
3.7000E-01	3.4804E-04	5.2720E-04
3.8000E-01	3.5005E-04	5.3101E-04
3.9000E-01	3.5187E-04	5.3462E-04
4.0000E-01	3.5351E-04	5.3802E-04
4.1000E-01	3.5498E-04	5.4123E-04
4.2000E-01	3.5629E-04	5.4426E-04
4.3000E-01	3.5744E-04	5.4711E-04
4.4000E-01	3.5844E-04	5.4980E-04
4.5000E-01	3.5930E-04	5.5232E-04
4.6000E-01	3.6003E-04	5.5469E-04
4.7000E-01	3.6063E-04	5.5692E-04
4.8000E-01	3.6110E-04	5.5900E-04
4.9000E-01	3.6146E-04	5.6095E-04
5.0000E-01	3.6171E-04	5.6277E-04
5.1000E-01	3.6185E-04	5.6447E-04
5.2000E-01	3.6189E-04	5.6604E-04
5.3000E-01	3.6183E-04	5.6750E-04
5.4000E-01	3.6168E-04	5.6886E-04
5.5000E-01	3.6145E-04	5.7011E-04
5.6000E-01	3.6113E-04	5.7126E-04
5.7000E-01	3.6073E-04	5.7231E-04
5.8000E-01	3.6026E-04	5.7326E-04
5.9000E-01	3.5971E-04	5.7413E-04
6.0000E-01	3.5910E-04	5.7491E-04
6.1000E-01	3.5842E-04	5.7561E-04
6.2000E-01	3.5768E-04	5.7622E-04
6.3000E-01	3.5688E-04	5.7676E-04
6.4000E-01	3.5602E-04	5.7722E-04
6.5000E-01	3.5511E-04	5.7762E-04
6.6000E-01	3.5415E-04	5.7794E-04
6.7000E-01	3.5314E-04	5.7819E-04
6.8000E-01	3.5209E-04	5.7839E-04
6.9000E-01	3.5099E-04	5.7852E-04
7.0000E-01	3.4986E-04	5.7858E-04
7.1000E-01	3.4868E-04	5.7860E-04
7.2000E-01	3.4747E-04	5.7855E-04
7.3000E-01	3.4622E-04	5.7845E-04
7.4000E-01	3.4494E-04	5.7830E-04
7.5000E-01	3.4363E-04	5.7810E-04
7.6000E-01	3.4229E-04	5.7785E-04
7.7000E-01	3.4093E-04	5.7755E-04
7.8000E-01	3.3953E-04	5.7721E-04
7.9000E-01	3.3812E-04	5.7682E-04
8.0000E-01	3.3668E-04	5.7639E-04
