Q2	Fs	dFs
0.0000E+00	0.0000E+00	0.0000E+00
1.0000E-02	8.4316E-05	2.1068E-16
2.0000E-02	1.6571E-04	4.1416E-16
3.0000E-02	2.4426E-04	6.1038E-16
4.0000E-02	3.2007E-04	7.9996E-16
5.0000E-02	3.9323E-04	9.8235E-16
6.0000E-02	4.6381E-04	1.1584E-15
7.0000E-02	5.3191E-04	1.3283E-15
8.0000E-02	5.9759E-04	1.4921E-15
9.0000E-02	6.6093E-04	1.6505E-15
1.0000E-01	7.2201E-04	1.8028E-15
1.1000E-01	7.8090E-04	1.9498E-15
1.2000E-01	8.3766E-04	2.0912E-15
1.3000E-01	8.9237E-04	2.2276E-15
1.4000E-01	9.4508E-04	2.3589E-15
1.5000E-01	9.9586E-04	2.4855E-15
1.6000E-01	1.0448E-03	2.6072E-15
1.7000E-01	1.0919E-03	2.7248E-15
1.8000E-01	1.1372E-03	2.8375E-15
1.9000E-01	1.1808E-03	2.9463E-15
2.0000E-01	1.2228E-03	3.0507E-15
2.1000E-01	1.2632E-03	3.1514E-15
2.2000E-01	1.3020E-03	3.2481E-15
2.3000E-01	1.3393E-03	3.3411E-15
2.4000E-01	1.3752E-03	3.4301E-15
2.5000E-01	1.4097E-03	3.5159E-15
2.6000E-01	1.4427E-03	3.5980E-15
2.7000E-01	1.4745E-03	3.6772E-15
2.8000E-01	1.5050E-03	3.7530E-15
2.9000E-01	1.5342E-03	3.8255E-15
3.0000E-01	1.5622E-03	3.8953E-15
3.1000E-01	1.5890E-03	3.9619E-15
3.2000E-01	1.6147E-03	4.0258E-15
3.3000E-01	1.6393E-03	4.0869E-15
3.4000E-01	1.6628E-03	4.1454E-15
3.5000E-01	1.6853E-03	4.2013E-15
3.6000E-01	1.7068E-03	4.2548E-15
3.7000E-01	1.7273E-03	4.3054E-15
3.8000E-01	1.7469E-03	4.3541E-15
3.9000E-01	1.7655E-03	4.4003E-15
4.0000E-01	1.7833E-03	4.4444E-15
4.1000E-01	1.8002E-03	4.4863E-15
4.2000E-01	1.8162E-03	4.5262E-15
4.3000E-01	1.8314E-03	4.5641E-15
4.4000E-01	1.8459E-03	4.5999E-15
4.5000E-01	1.8596E-03	4.6338E-15
4.6000E-01	1.8726E-03	4.6660E-15
4.7000E-01	1.8848E-03	4.6963E-15
4.8000E-01	1.8963E-03	4.7249E-15
4.9000E-01	1.9072E-03	4.7520E-15
5.0000E-01	1.9174E-03	4.7771E-15
5.1000E-01	1.9270E-03	4.8009E-15
5.2000E-01	1.9360E-03	4.8230E-15
5.3000E-01	1.9444E-03	4.8437E-15
5.4000E-01	1.9522E-03	4.8631E-15
5.5000E-01	1.9594E-03	4.8809E-15
5.6000E-01	1.9661E-03	4.8977E-15
5.7000E-01	1.9723E-03	4.9128E-15
5.8000E-01	1.9779E-03	4.9268E-15
5.9000E-01	1.9831E-03	4.9394E-15
6.0000E-01	1.9878E-03	4.9513E-15
6.1000E-01	1.9920E-03	4.9616E-15
6.2000E-01	1.9958E-03	4.9710E-15
6.3000E-01	1.9992E-03	4.9791E-15
6.4000E-01	2.0021E-03	4.9864E-15
6.5000E-01	2.0046E-03	4.9924E-15
6.6000E-01	2.0067E-03	4.9977E-15
6.7000E-01	2.0085E-03	5.0018E-15
6.8000E-01	2.0098E-03	5.0053E-15
6.9000E-01	2.0108E-03	5.0077E-15
7.0000E-01	2.0115E-03	5.0091E-15
7.1000E-01	2.0118E-03	5.0099E-15
7.2000E-01	2.0118E-03	5.0101E-15
7.3000E-01	2.0115E-03	5.0092E-15
7.4000E-01	2.0109E-03	5.0074E-15
7.5000E-01	2.0100E-03	5.0051E-15
7.6000E-01	2.0088E-03	5.0020E-15
7.7000E-01	2.0073E-03	4.9983E-15
7.8000E-01	2.0055E-03	4.9939E-15
7.9000E-01	2.0035E-03	4.9889E-15
8.0000E-01	2.0013E-03	4.9834E-15
8.1000E-01	1.9988E-03	4.9771E-15
8.2000E-01	1.9961E-03	4.9703E-15
8.3000E-01	1.9931E-03	4.9627E-15
8.4000E-01	1.9899E-03	4.9549E-15
8.5000E-01	1.9865E-03	4.9464E-15
8.6000E-01	1.9830E-03	4.9375E-15
8.7000E-01	1.9792E-03	4.9279E-15
8.8000E-01	1.9752E-03	4.9182E-15
8.9000E-01	1.9710E-03	4.9078E-15
9.0000E-01	1.9667E-03	4.8971E-15
9.1000E-01	1.9622E-03	4.8856E-15
9.2000E-01	1.9575E-03	4.8741E-15
9.3000E-01	1.9527E-03	4.8622E-15
9.4000E-01	1.9477E-03	4.8496E-15
9.5000E-01	1.9426E-03	4.8370E-15
9.6000E-01	1.9373E-03	4.8240E-15
9.7000E-01	1.9319E-03	4.8104E-15
9.8000E-01	1.9264E-03	4.7967E-15
9.9000E-01	1.9207E-03	4.7825E-15
1.0000E+00	1.9149E-03	4.7682E-15
1.0100E+00	1.9090E-03	4.7536E-15
