Q2	Fs	dFs
0.0000E+00	0.0000E+00	0.0000E+00
1.0000E-02	8.2006E-05	2.5643E-05
2.0000E-02	1.6075E-04	4.7491E-05
3.0000E-02	2.3636E-04	6.5894E-05
4.0000E-02	3.0894E-04	8.1183E-05
5.0000E-02	3.7861E-04	9.3670E-05
6.0000E-02	4.4548E-04	1.0365E-04
7.0000E-02	5.0965E-04	1.1143E-04
8.0000E-02	5.7121E-04	1.1727E-04
9.0000E-02	6.3027E-04	1.2145E-04
1.0000E-01	6.8691E-04	1.2426E-04
1.1000E-01	7.4122E-04	1.2596E-04
1.2000E-01	7.9328E-04	1.2685E-04
1.3000E-01	8.4319E-04	1.2721E-04
1.4000E-01	8.9100E-04	1.2733E-04
1.5000E-01	9.3681E-04	1.2751E-04
1.6000E-01	9.8068E-04	1.2804E-04
1.7000E-01	1.0227E-03	1.2919E-04
1.8000E-01	1.0629E-03	1.3121E-04
1.9000E-01	1.1013E-03	1.3429E-04
2.0000E-01	1.1381E-03	1.3858E-04
2.1000E-01	1.1733E-03	1.4413E-04
2.2000E-01	1.2068E-03	1.5096E-04
2.3000E-01	1.2389E-03	1.5904E-04
2.4000E-01	1.2696E-03	1.6827E-04
2.5000E-01	1.2988E-03	1.7855E-04
2.6000E-01	1.3267E-03	1.8978E-04
2.7000E-01	1.3533E-03	2.0183E-04
2.8000E-01	1.3786E-03	2.1458E-04
2.9000E-01	1.4027E-03	2.2794E-04
3.0000E-01	1.4256E-03	2.4181E-04
3.1000E-01	1.4474E-03	2.5610E-04
3.2000E-01	1.4681E-03	2.7073E-04
3.3000E-01	1.4878E-03	2.8564E-04
3.4000E-01	1.5064E-03	3.0076E-04
3.5000E-01	1.5240E-03	3.1604E-04
3.6000E-01	1.5407E-03	3.3144E-04
3.7000E-01	1.5565E-03	3.4690E-04
3.8000E-01	1.5714E-03	3.6240E-04
3.9000E-01	1.5855E-03	3.7790E-04
4.0000E-01	1.5987E-03	3.9338E-04
4.1000E-01	1.6111E-03	4.0880E-04
4.2000E-01	1.6228E-03	4.2414E-04
4.3000E-01	1.6337E-03	4.3938E-04
4.4000E-01	1.6439E-03	4.5451E-04
4.5000E-01	1.6534E-03	4.6951E-04
4.6000E-01	1.6623E-03	4.8436E-04
4.7000E-01	1.6705E-03	4.9905E-04
4.8000E-01	1.6781E-03	5.1357E-04
4.9000E-01	1.6850E-03	5.2791E-04
5.0000E-01	1.6915E-03	5.4207E-04
5.1000E-01	1.6973E-03	5.5603E-04
5.2000E-01	1.7026E-03	5.6978E-04
5.3000E-01	1.7074E-03	5.8333E-04
5.4000E-01	1.7117E-03	5.9667E-04
5.5000E-01	1.7155E-03	6.0979E-04
5.6000E-01	1.7189E-03	6.2268E-04
5.7000E-01	1.7218E-03	6.3536E-04
5.8000E-01	1.7242E-03	6.4781E-04
5.9000E-01	1.7263E-03	6.6003E-04
6.0000E-01	1.7279E-03	6.7203E-04
6.1000E-01	1.7292E-03	6.8380E-04
6.2000E-01	1.7301E-03	6.9533E-04
6.3000E-01	1.7306E-03	7.0664E-04
6.4000E-01	1.7308E-03	7.1772E-04
6.5000E-01	1.7306E-03	7.2857E-04
6.6000E-01	1.7301E-03	7.3919E-04
6.7000E-01	1.7293E-03	7.4958E-04
6.8000E-01	1.7282E-03	7.5975E-04
6.9000E-01	1.7268E-03	7.6970E-04
7.0000E-01	1.7251E-03	7.7942E-04
7.1000E-01	1.7232E-03	7.8892E-04
7.2000E-01	1.7210E-03	7.9820E-04
7.3000E-01	1.7186E-03	8.0726E-04
7.4000E-01	1.7159E-03	8.1611E-04
7.5000E-01	1.7130E-03	8.2475E-04
7.6000E-01	1.7098E-03	8.3317E-04
7.7000E-01	1.7065E-03	8.4139E-04
7.8000E-01	1.7029E-03	8.4940E-04
7.9000E-01	1.6992E-03	8.5721E-04
8.0000E-01	1.6953E-03	8.6482E-04
8.1000E-01	1.6911E-03	8.7224E-04
8.2000E-01	1.6869E-03	8.7945E-04
8.3000E-01	1.6824E-03	8.8648E-04
8.4000E-01	1.6778E-03	8.9331E-04
8.5000E-01	1.6730E-03	8.9996E-04
8.6000E-01	1.6681E-03	9.0643E-04
8.7000E-01	1.6630E-03	9.1271E-04
8.8000E-01	1.6578E-03	9.1882E-04
8.9000E-01	1.6525E-03	9.2475E-04
9.0000E-01	1.6471E-03	9.3050E-04
9.1000E-01	1.6415E-03	9.3609E-04
9.2000E-01	1.6358E-03	9.4151E-04
9.3000E-01	1.6300E-03	9.4677E-04
9.4000E-01	1.6241E-03	9.5186E-04
9.5000E-01	1.6181E-03	9.5680E-04
9.6000E-01	1.6121E-03	9.6158E-04
9.7000E-01	1.6059E-03	9.6621E-04
9.8000E-01	1.5996E-03	9.7068E-04
9.9000E-01	1.5933E-03	9.7501E-04
