NNPDF3.0 NLO Q2 = 4.0 GeV^2
id	chi2	alpha	As	Asbar	Bs	Bsbar
0	4.49	8.50E-01	1.14E+02	1.27E+02	0.00E+00	0.00E+00
1	18.52	9.50E-01	6.98E+02	7.77E+02	0.00E+00	0.00E+00
2	5.19	8.50E-01	1.57E+02	1.72E+02	0.00E+00	0.00E+00
3	9.38	8.53E-01	4.93E+02	5.42E+02	0.00E+00	0.00E+00
4	9.64	9.50E-01	2.11E+02	2.36E+02	0.00E+00	0.00E+00
5	34.30	9.50E-01	5.96E+01	7.02E+01	0.00E+00	0.00E+00
6	4.91	9.50E-01	1.55E+01	1.89E+01	0.00E+00	0.00E+00
7	29.81	8.50E-01	2.75E+03	2.76E+03	0.00E+00	0.00E+00
8	12.82	9.00E-01	2.46E+01	2.25E+01	0.00E+00	0.00E+00
9	55.95	9.50E-01	7.63E+00	5.14E-07	0.00E+00	0.00E+00
10	169.70	9.50E-01	5.99E+01	6.97E+01	0.00E+00	0.00E+00
11	49.48	9.50E-01	3.26E+01	2.78E+01	0.00E+00	0.00E+00
12	31.36	9.50E-01	2.07E+01	1.78E+01	0.00E+00	0.00E+00
13	8.61	8.50E-01	1.89E+02	2.18E+02	0.00E+00	0.00E+00
14	9.27	9.50E-01	2.05E+02	2.16E+02	0.00E+00	0.00E+00
15	2.09	9.50E-01	9.78E+00	6.68E+00	0.00E+00	0.00E+00
16	10.40	9.50E-01	1.16E+02	1.21E+02	0.00E+00	0.00E+00
17	3501.24	9.50E-01	1.92E+02	2.53E+02	0.00E+00	0.00E+00
18	7.97	9.50E-01	1.09E+02	1.25E+02	0.00E+00	0.00E+00
19	19.52	9.50E-01	2.40E+02	2.72E+02	0.00E+00	0.00E+00
20	12.15	9.50E-01	5.43E+02	5.90E+02	0.00E+00	0.00E+00
21	35.09	8.50E-01	8.99E+05	9.16E+05	0.00E+00	0.00E+00
22	35.51	9.50E-01	1.29E+01	6.38E-01	0.00E+00	0.00E+00
23	3.78	8.50E-01	8.78E+01	9.91E+01	0.00E+00	0.00E+00
24	12.71	9.50E-01	2.64E+02	2.92E+02	0.00E+00	0.00E+00
25	18.82	9.50E-01	2.89E+02	3.08E+02	0.00E+00	0.00E+00
26	589.93	9.50E-01	2.02E+02	2.86E+02	0.00E+00	0.00E+00
27	13.61	8.50E-01	3.65E+00	3.52E-01	0.00E+00	0.00E+00
28	10.17	9.50E-01	2.97E+02	3.09E+02	0.00E+00	0.00E+00
29	4.94	8.50E-01	3.56E+01	4.08E+01	0.00E+00	0.00E+00
30	57.56	9.50E-01	5.45E+00	1.98E-06	0.00E+00	0.00E+00
31	6.48	8.59E-01	2.03E+02	2.43E+02	0.00E+00	0.00E+00
32	986.46	9.50E-01	7.61E+01	9.70E+01	0.00E+00	0.00E+00
33	9.87	9.50E-01	2.36E+02	2.63E+02	0.00E+00	0.00E+00
