x	s-sbar	delta
1.0000E-04	-6.5624E-01	2.4089E-01
1.0093E-04	-6.5322E-01	2.3978E-01
1.0186E-04	-6.5023E-01	2.3868E-01
1.0280E-04	-6.4724E-01	2.3758E-01
1.0375E-04	-6.4427E-01	2.3649E-01
1.0471E-04	-6.4132E-01	2.3541E-01
1.0568E-04	-6.3837E-01	2.3433E-01
1.0666E-04	-6.3544E-01	2.3325E-01
1.0765E-04	-6.3253E-01	2.3218E-01
1.0864E-04	-6.2962E-01	2.3112E-01
1.0965E-04	-6.2674E-01	2.3006E-01
1.1066E-04	-6.2386E-01	2.2900E-01
1.1169E-04	-6.2100E-01	2.2795E-01
1.1272E-04	-6.1815E-01	2.2690E-01
1.1376E-04	-6.1531E-01	2.2586E-01
1.1482E-04	-6.1249E-01	2.2483E-01
1.1588E-04	-6.0968E-01	2.2379E-01
1.1695E-04	-6.0688E-01	2.2277E-01
1.1803E-04	-6.0409E-01	2.2175E-01
1.1912E-04	-6.0132E-01	2.2073E-01
1.2023E-04	-5.9856E-01	2.1972E-01
1.2134E-04	-5.9582E-01	2.1871E-01
1.2246E-04	-5.9308E-01	2.1770E-01
1.2359E-04	-5.9036E-01	2.1670E-01
1.2474E-04	-5.8765E-01	2.1571E-01
1.2589E-04	-5.8496E-01	2.1472E-01
1.2706E-04	-5.8227E-01	2.1374E-01
1.2823E-04	-5.7960E-01	2.1275E-01
1.2942E-04	-5.7694E-01	2.1178E-01
1.3062E-04	-5.7429E-01	2.1081E-01
1.3183E-04	-5.7166E-01	2.0984E-01
1.3305E-04	-5.6904E-01	2.0888E-01
1.3428E-04	-5.6643E-01	2.0792E-01
1.3552E-04	-5.6383E-01	2.0696E-01
1.3677E-04	-5.6124E-01	2.0602E-01
1.3804E-04	-5.5867E-01	2.0507E-01
1.3932E-04	-5.5610E-01	2.0413E-01
1.4060E-04	-5.5355E-01	2.0319E-01
1.4191E-04	-5.5101E-01	2.0226E-01
1.4322E-04	-5.4848E-01	2.0133E-01
1.4454E-04	-5.4597E-01	2.0041E-01
1.4588E-04	-5.4346E-01	1.9949E-01
1.4723E-04	-5.4097E-01	1.9857E-01
1.4859E-04	-5.3849E-01	1.9766E-01
1.4997E-04	-5.3602E-01	1.9676E-01
1.5136E-04	-5.3356E-01	1.9585E-01
1.5276E-04	-5.3111E-01	1.9496E-01
1.5417E-04	-5.2868E-01	1.9406E-01
