x	s-sbar	delta
1.0000E-04	-1.0435E-01	1.9477E-01
1.0093E-04	-1.0393E-01	1.9396E-01
1.0186E-04	-1.0350E-01	1.9315E-01
1.0280E-04	-1.0308E-01	1.9234E-01
1.0375E-04	-1.0266E-01	1.9154E-01
1.0471E-04	-1.0224E-01	1.9074E-01
1.0568E-04	-1.0182E-01	1.8994E-01
1.0666E-04	-1.0140E-01	1.8915E-01
1.0765E-04	-1.0099E-01	1.8836E-01
1.0864E-04	-1.0058E-01	1.8757E-01
1.0965E-04	-1.0016E-01	1.8679E-01
1.1066E-04	-9.9755E-02	1.8601E-01
1.1169E-04	-9.9347E-02	1.8523E-01
1.1272E-04	-9.8941E-02	1.8446E-01
1.1376E-04	-9.8536E-02	1.8369E-01
1.1482E-04	-9.8133E-02	1.8292E-01
1.1588E-04	-9.7732E-02	1.8216E-01
1.1695E-04	-9.7332E-02	1.8140E-01
1.1803E-04	-9.6934E-02	1.8064E-01
1.1912E-04	-9.6538E-02	1.7988E-01
1.2023E-04	-9.6143E-02	1.7913E-01
1.2134E-04	-9.5750E-02	1.7838E-01
1.2246E-04	-9.5359E-02	1.7764E-01
1.2359E-04	-9.4969E-02	1.7690E-01
1.2474E-04	-9.4581E-02	1.7616E-01
1.2589E-04	-9.4194E-02	1.7542E-01
1.2706E-04	-9.3809E-02	1.7469E-01
1.2823E-04	-9.3425E-02	1.7396E-01
1.2942E-04	-9.3043E-02	1.7324E-01
1.3062E-04	-9.2663E-02	1.7251E-01
1.3183E-04	-9.2284E-02	1.7179E-01
1.3305E-04	-9.1907E-02	1.7108E-01
1.3428E-04	-9.1531E-02	1.7036E-01
1.3552E-04	-9.1157E-02	1.6965E-01
1.3677E-04	-9.0784E-02	1.6894E-01
1.3804E-04	-9.0413E-02	1.6824E-01
1.3932E-04	-9.0044E-02	1.6754E-01
1.4060E-04	-8.9675E-02	1.6684E-01
1.4191E-04	-8.9309E-02	1.6614E-01
1.4322E-04	-8.8944E-02	1.6545E-01
1.4454E-04	-8.8580E-02	1.6476E-01
1.4588E-04	-8.8218E-02	1.6407E-01
1.4723E-04	-8.7858E-02	1.6339E-01
1.4859E-04	-8.7498E-02	1.6270E-01
1.4997E-04	-8.7141E-02	1.6203E-01
1.5136E-04	-8.6785E-02	1.6135E-01
1.5276E-04	-8.6430E-02	1.6068E-01
1.5417E-04	-8.6077E-02	1.6001E-01
1.5560E-04	-8.5725E-02	1.5934E-01
1.5704E-04	-8.5374E-02	1.5867E-01
1.5849E-04	-8.5025E-02	1.5801E-01
1.5996E-04	-8.4678E-02	1.5735E-01
1.6144E-04	-8.4332E-02	1.5670E-01
1.6293E-04	-8.3987E-02	1.5604E-01
1.6444E-04	-8.3644E-02	1.5539E-01
1.6596E-04	-8.3302E-02	1.5475E-01
1.6749E-04	-8.2962E-02	1.5410E-01
1.6904E-04	-8.2622E-02	1.5346E-01
1.7061E-04	-8.2285E-02	1.5282E-01
1.7219E-04	-8.1948E-02	1.5218E-01
1.7378E-04	-8.1614E-02	1.5155E-01
1.7539E-04	-8.1280E-02	1.5092E-01
1.7701E-04	-8.0948E-02	1.5029E-01
1.7865E-04	-8.0617E-02	1.4966E-01
1.8030E-04	-8.0288E-02	1.4904E-01
1.8197E-04	-7.9960E-02	1.4841E-01
1.8365E-04	-7.9633E-02	1.4780E-01
1.8535E-04	-7.9307E-02	1.4718E-01
1.8707E-04	-7.8983E-02	1.4657E-01
1.8880E-04	-7.8661E-02	1.4596E-01
