x	s-sbar	delta
1.0000E-04	-7.4155E-53	5.4565E-29
1.0093E-04	-1.1453E-52	6.8694E-29
1.0186E-04	-1.7621E-52	8.6357E-29
1.0280E-04	-2.7011E-52	1.0842E-28
1.0375E-04	-4.1255E-52	1.3596E-28
1.0471E-04	-6.2788E-52	1.7033E-28
1.0568E-04	-9.5233E-52	2.1321E-28
1.0666E-04	-1.4397E-51	2.6674E-28
1.0765E-04	-2.1699E-51	3.3360E-28
1.0864E-04	-3.2612E-51	4.1720E-28
1.0965E-04	-4.8894E-51	5.2189E-28
1.1066E-04	-7.3158E-51	6.5324E-28
1.1169E-04	-1.0932E-50	8.1847E-28
1.1272E-04	-1.6326E-50	1.0269E-27
1.1376E-04	-2.4397E-50	1.2908E-27
1.1482E-04	-3.6531E-50	1.6261E-27
1.1588E-04	-5.4914E-50	2.0541E-27
1.1695E-04	-8.3052E-50	2.6028E-27
1.1803E-04	-1.2672E-49	3.3097E-27
1.1912E-04	-1.9562E-49	4.2251E-27
1.2023E-04	-3.0649E-49	5.4165E-27
1.2134E-04	-4.8872E-49	6.9747E-27
1.2246E-04	-7.9485E-49	9.0225E-27
1.2359E-04	-1.3201E-48	1.1726E-26
1.2474E-04	-2.2384E-48	1.5309E-26
1.2589E-04	-3.8700E-48	2.0078E-26
1.2706E-04	-6.8064E-48	2.6443E-26
1.2823E-04	-1.2141E-47	3.4963E-26
1.2942E-04	-2.1892E-47	4.6392E-26
1.3062E-04	-3.9786E-47	6.1752E-26
1.3183E-04	-7.2670E-47	8.2418E-26
1.3305E-04	-1.3309E-46	1.1025E-25
1.3428E-04	-2.4393E-46	1.4773E-25
1.3552E-04	-4.4675E-46	1.9822E-25
1.3677E-04	-8.1667E-46	2.6621E-25
1.3804E-04	-1.4887E-45	3.5770E-25
1.3932E-04	-2.7046E-45	4.8068E-25
1.4060E-04	-4.8944E-45	6.4582E-25
1.4191E-04	-8.8197E-45	8.6725E-25
1.4322E-04	-1.5822E-44	1.1637E-24
1.4454E-04	-2.8250E-44	1.5599E-24
1.4588E-04	-5.0201E-44	2.0884E-24
1.4723E-04	-8.8776E-44	2.7922E-24
1.4859E-04	-1.5623E-43	3.7273E-24
1.4997E-04	-2.7357E-43	4.9673E-24
1.5136E-04	-4.7671E-43	6.6080E-24
1.5276E-04	-8.2661E-43	8.7741E-24
1.5417E-04	-1.4263E-42	1.1627E-23
1.5560E-04	-2.4492E-42	1.5378E-23
1.5704E-04	-4.1852E-42	2.0295E-23
1.5849E-04	-7.1173E-42	2.6729E-23
1.5996E-04	-1.2046E-41	3.5127E-23
1.6144E-04	-2.0292E-41	4.6063E-23
1.6293E-04	-3.4021E-41	6.0271E-23
1.6444E-04	-5.6775E-41	7.8687E-23
1.6596E-04	-9.4311E-41	1.0250E-22
1.6749E-04	-1.5594E-40	1.3323E-22
1.6904E-04	-2.5669E-40	1.7279E-22
1.7061E-04	-4.2063E-40	2.2360E-22
1.7219E-04	-6.8619E-40	2.8870E-22
1.7378E-04	-1.1145E-39	3.7194E-22
1.7539E-04	-1.8022E-39	4.7812E-22
1.7701E-04	-2.9017E-39	6.1326E-22
1.7865E-04	-4.6519E-39	7.8490E-22
1.8030E-04	-7.4261E-39	1.0024E-21
1.8197E-04	-1.1805E-38	1.2774E-21
1.8365E-04	-1.8687E-38	1.6244E-21
1.8535E-04	-2.9460E-38	2.0612E-21
1.8707E-04	-4.6253E-38	2.6100E-21
1.8880E-04	-7.2323E-38	3.2980E-21
1.9055E-04	-1.1263E-37	4.1587E-21
1.9231E-04	-1.7471E-37	5.2333E-21
1.9409E-04	-2.6994E-37	6.5721E-21
1.9588E-04	-4.1545E-37	8.2367E-21
1.9770E-04	-6.3691E-37	1.0302E-20
1.9953E-04	-9.7268E-37	1.2860E-20
2.0137E-04	-1.4798E-36	1.6021E-20
2.0324E-04	-2.2429E-36	1.9920E-20
2.0512E-04	-3.3868E-36	2.4721E-20
2.0701E-04	-5.0952E-36	3.0619E-20
2.0893E-04	-7.6374E-36	3.7853E-20
2.1086E-04	-1.1406E-35	4.6708E-20
2.1281E-04	-1.6974E-35	5.7527E-20
2.1478E-04	-2.5170E-35	7.0722E-20
2.1677E-04	-3.7192E-35	8.6785E-20
2.1878E-04	-5.4764E-35	1.0630E-19
2.2080E-04	-8.0359E-35	1.2998E-19
2.2284E-04	-1.1751E-34	1.5865E-19
2.2491E-04	-1.7126E-34	1.9331E-19
2.2699E-04	-2.4875E-34	2.3513E-19
2.2909E-04	-3.6011E-34	2.8551E-19
2.3121E-04	-5.1959E-34	3.4610E-19
2.3335E-04	-7.4726E-34	4.1886E-19
2.3550E-04	-1.0712E-33	5.0607E-19
2.3768E-04	-1.5307E-33	6.1046E-19
2.3988E-04	-2.1802E-33	7.3519E-19
2.4210E-04	-3.0957E-33	8.8401E-19
2.4434E-04	-4.3820E-33	1.0613E-18
2.4660E-04	-6.1835E-33	1.2722E-18
2.4889E-04	-8.6990E-33	1.5227E-18
2.5119E-04	-1.2201E-32	1.8198E-18
2.5351E-04	-1.7061E-32	2.1718E-18
2.5586E-04	-2.3787E-32	2.5880E-18
2.5823E-04	-3.3067E-32	3.0797E-18
2.6062E-04	-4.5834E-32	3.6597E-18
2.6303E-04	-6.3348E-32	4.3430E-18
2.6546E-04	-8.7305E-32	5.1470E-18
2.6792E-04	-1.1999E-31	6.0919E-18
2.7040E-04	-1.6444E-31	7.2011E-18
2.7290E-04	-2.2475E-31	8.5017E-18
2.7542E-04	-3.0634E-31	1.0025E-17
2.7797E-04	-4.1643E-31	1.1807E-17
2.8054E-04	-5.6459E-31	1.3890E-17
2.8314E-04	-7.6347E-31	1.6322E-17
2.8576E-04	-1.0298E-30	1.9159E-17
2.8840E-04	-1.3854E-30	2.2466E-17
2.9107E-04	-1.8593E-30	2.6316E-17
2.9376E-04	-2.4891E-30	3.0797E-17
2.9648E-04	-3.3243E-30	3.6006E-17
2.9923E-04	-4.4294E-30	4.2058E-17
3.0200E-04	-5.8884E-30	4.9085E-17
3.0479E-04	-7.8105E-30	5.7238E-17
3.0761E-04	-1.0338E-29	6.6693E-17
3.1046E-04	-1.3654E-29	7.7652E-17
3.1333E-04	-1.7997E-29	9.0347E-17
3.1623E-04	-2.3676E-29	1.0505E-16
3.1915E-04	-3.1090E-29	1.2206E-16
3.2211E-04	-4.0754E-29	1.4175E-16
3.2509E-04	-5.3334E-29	1.6452E-16
3.2810E-04	-6.9691E-29	1.9085E-16
3.3113E-04	-9.0936E-29	2.2129E-16
3.3420E-04	-1.1851E-28	2.5648E-16
3.3729E-04	-1.5427E-28	2.9714E-16
3.4041E-04	-2.0062E-28	3.4412E-16
3.4356E-04	-2.6070E-28	3.9839E-16
3.4674E-04	-3.3855E-28	4.6109E-16
3.4995E-04	-4.3948E-28	5.3350E-16
3.5318E-04	-5.7035E-28	6.1715E-16
3.5645E-04	-7.4018E-28	7.1375E-16
3.5975E-04	-9.6075E-28	8.2530E-16
3.6308E-04	-1.2475E-27	9.5413E-16
3.6644E-04	-1.6209E-27	1.1029E-15
3.6983E-04	-2.1076E-27	1.2747E-15
3.7325E-04	-2.7431E-27	1.4730E-15
3.7670E-04	-3.5744E-27	1.7020E-15
3.8019E-04	-4.6637E-27	1.9664E-15
3.8371E-04	-6.0937E-27	2.2716E-15
3.8726E-04	-7.9745E-27	2.6239E-15
3.9084E-04	-1.0453E-26	3.0305E-15
3.9446E-04	-1.3723E-26	3.4997E-15
3.9811E-04	-1.8048E-26	4.0410E-15
4.0179E-04	-2.3774E-26	4.6655E-15
4.0551E-04	-3.1366E-26	5.3856E-15
4.0926E-04	-4.1444E-26	6.2159E-15
4.1305E-04	-5.4835E-26	7.1730E-15
4.1687E-04	-7.2642E-26	8.2759E-15
4.2073E-04	-9.6335E-26	9.5463E-15
4.2462E-04	-1.2787E-25	1.1009E-14
4.2855E-04	-1.6984E-25	1.2693E-14
4.3251E-04	-2.2570E-25	1.4630E-14
4.3652E-04	-3.0003E-25	1.6859E-14
4.4055E-04	-3.9887E-25	1.9420E-14
4.4463E-04	-5.3022E-25	2.2362E-14
4.4875E-04	-7.0464E-25	2.5741E-14
4.5290E-04	-9.3599E-25	2.9620E-14
4.5709E-04	-1.2425E-24	3.4068E-14
4.6132E-04	-1.6481E-24	3.9167E-14
4.6559E-04	-2.1840E-24	4.5009E-14
4.6989E-04	-2.8912E-24	5.1698E-14
4.7424E-04	-3.8226E-24	5.9351E-14
4.7863E-04	-5.0476E-24	6.8101E-14
4.8306E-04	-6.6557E-24	7.8099E-14
4.8753E-04	-8.7629E-24	8.9516E-14
4.9204E-04	-1.1519E-23	1.0254E-13
4.9659E-04	-1.5117E-23	1.1740E-13
5.0119E-04	-1.9806E-23	1.3432E-13
5.0582E-04	-2.5902E-23	1.5359E-13
5.1050E-04	-3.3814E-23	1.7551E-13
5.1523E-04	-4.4061E-23	2.0044E-13
5.2000E-04	-5.7306E-23	2.2875E-13
5.2481E-04	-7.4390E-23	2.6089E-13
5.2966E-04	-9.6382E-23	2.9735E-13
5.3456E-04	-1.2463E-22	3.3868E-13
5.3951E-04	-1.6085E-22	3.8549E-13
5.4450E-04	-2.0719E-22	4.3846E-13
5.4954E-04	-2.6635E-22	4.9837E-13
5.5463E-04	-3.4172E-22	5.6608E-13
5.5976E-04	-4.3758E-22	6.4253E-13
5.6494E-04	-5.5921E-22	7.2881E-13
5.7016E-04	-7.1327E-22	8.2609E-13
5.7544E-04	-9.0799E-22	9.3570E-13
5.8076E-04	-1.1536E-21	1.0591E-12
5.8614E-04	-1.4629E-21	1.1980E-12
5.9156E-04	-1.8516E-21	1.3541E-12
5.9704E-04	-2.3391E-21	1.5295E-12
6.0256E-04	-2.9495E-21	1.7265E-12
6.0814E-04	-3.7122E-21	1.9475E-12
6.1376E-04	-4.6635E-21	2.1952E-12
6.1944E-04	-5.8480E-21	2.4729E-12
6.2517E-04	-7.3202E-21	2.7838E-12
6.3096E-04	-9.1469E-21	3.1316E-12
6.3680E-04	-1.1409E-20	3.5207E-12
6.4269E-04	-1.4207E-20	3.9059E-12
6.4863E-04	-1.7661E-20	4.3839E-12
6.5464E-04	-2.1918E-20	4.9140E-12
6.6069E-04	-2.7157E-20	5.5053E-12
6.6681E-04	-3.3594E-20	6.1646E-12
6.7298E-04	-4.1491E-20	6.8994E-12
6.7920E-04	-5.1166E-20	7.7178E-12
