x 	 NNPDF3 	 MMHT14 	 CJ15 	 CT14
2.035000E-07 	 -3.610026E+03 	 4.626812E+01 	 0.000000E+00 	 0.000000E+00
2.050746E-07 	 -3.596023E+03 	 4.554631E+01 	 0.000000E+00 	 0.000000E+00
2.066613E-07 	 -3.582195E+03 	 4.483401E+01 	 0.000000E+00 	 0.000000E+00
2.082603E-07 	 -3.568526E+03 	 4.413111E+01 	 0.000000E+00 	 0.000000E+00
2.098717E-07 	 -3.554998E+03 	 4.343748E+01 	 0.000000E+00 	 0.000000E+00
2.114956E-07 	 -3.541598E+03 	 4.275301E+01 	 0.000000E+00 	 0.000000E+00
2.131321E-07 	 -3.528308E+03 	 4.207760E+01 	 0.000000E+00 	 0.000000E+00
2.147811E-07 	 -3.515113E+03 	 4.141114E+01 	 0.000000E+00 	 0.000000E+00
2.164430E-07 	 -3.502000E+03 	 4.075350E+01 	 0.000000E+00 	 0.000000E+00
2.181177E-07 	 -3.488955E+03 	 4.010460E+01 	 0.000000E+00 	 0.000000E+00
2.198054E-07 	 -3.475962E+03 	 3.946432E+01 	 0.000000E+00 	 0.000000E+00
2.215061E-07 	 -3.463010E+03 	 3.883255E+01 	 0.000000E+00 	 0.000000E+00
2.232200E-07 	 -3.450084E+03 	 3.820920E+01 	 0.000000E+00 	 0.000000E+00
2.249472E-07 	 -3.437174E+03 	 3.759416E+01 	 0.000000E+00 	 0.000000E+00
2.266877E-07 	 -3.424265E+03 	 3.698733E+01 	 0.000000E+00 	 0.000000E+00
2.284416E-07 	 -3.411348E+03 	 3.638860E+01 	 0.000000E+00 	 0.000000E+00
2.302092E-07 	 -3.398410E+03 	 3.579789E+01 	 0.000000E+00 	 0.000000E+00
2.319904E-07 	 -3.385440E+03 	 3.521509E+01 	 0.000000E+00 	 0.000000E+00
2.337854E-07 	 -3.372427E+03 	 3.464010E+01 	 0.000000E+00 	 0.000000E+00
2.355943E-07 	 -3.359362E+03 	 3.407283E+01 	 0.000000E+00 	 0.000000E+00
2.374172E-07 	 -3.346235E+03 	 3.351319E+01 	 0.000000E+00 	 0.000000E+00
2.392542E-07 	 -3.333035E+03 	 3.296107E+01 	 0.000000E+00 	 0.000000E+00
2.411054E-07 	 -3.319754E+03 	 3.241640E+01 	 0.000000E+00 	 0.000000E+00
2.429710E-07 	 -3.306381E+03 	 3.187908E+01 	 0.000000E+00 	 0.000000E+00
2.448510E-07 	 -3.292910E+03 	 3.134901E+01 	 0.000000E+00 	 0.000000E+00
2.467455E-07 	 -3.279331E+03 	 3.082611E+01 	 0.000000E+00 	 0.000000E+00
2.486547E-07 	 -3.265637E+03 	 3.031029E+01 	 0.000000E+00 	 0.000000E+00
2.505786E-07 	 -3.251819E+03 	 2.980147E+01 	 0.000000E+00 	 0.000000E+00
