x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  
5.000000E-08  2.389701E+08  2.438243E+08  2.337735E+08  2.421074E+08  2.367639E+08  1.919491E+08  2.844669E+08  2.684265E+08  2.027304E+08  2.514248E+08  2.238719E+08  2.391639E+08  2.385231E+08  2.388273E+08  2.392398E+08  2.480129E+08  2.327840E+08  2.589334E+08  2.173760E+08  2.489128E+08  2.345074E+08  2.569251E+08  2.206571E+08  3.056611E+08  1.845220E+08  5.949194E+08  7.166154E+07  2.437826E+08  2.397975E+08  2.428560E+08  2.315130E+08  2.193880E+08  2.502005E+08  2.381664E+08  2.399948E+08  2.328259E+08  2.577675E+08  2.333255E+08  2.453730E+08  2.460922E+08  2.322062E+08  2.157017E+08  2.777229E+08  1.971969E+08  2.905109E+08  2.407136E+08  2.358166E+08  2.292985E+08  2.520631E+08  2.294895E+08  2.437233E+08  
5.780698E-08  1.920977E+08  1.960214E+08  1.878966E+08  1.946329E+08  1.903130E+08  1.546077E+08  2.283518E+08  2.154601E+08  1.633296E+08  2.019732E+08  1.801282E+08  1.922180E+08  1.918149E+08  1.919393E+08  1.923714E+08  1.991802E+08  1.872492E+08  2.076977E+08  1.751862E+08  1.987682E+08  1.893024E+08  2.063365E+08  1.775672E+08  2.446803E+08  1.490402E+08  4.705933E+08  5.920693E+07  1.958582E+08  1.928704E+08  1.950819E+08  1.862689E+08  1.767251E+08  2.008538E+08  1.915325E+08  1.928113E+08  1.873358E+08  2.067812E+08  1.877665E+08  1.970843E+08  1.976296E+08  1.868381E+08  1.749957E+08  2.211389E+08  1.583246E+08  2.335482E+08  1.937180E+08  1.889755E+08  1.844215E+08  2.029030E+08  1.845449E+08  1.958982E+08  
6.683295E-08  1.544191E+08  1.575905E+08  1.510228E+08  1.564675E+08  1.529754E+08  1.245306E+08  1.833062E+08  1.729451E+08  1.315863E+08  1.622480E+08  1.449318E+08  1.544872E+08  1.542532E+08  1.542567E+08  1.546848E+08  1.599625E+08  1.506214E+08  1.666001E+08  1.411849E+08  1.587255E+08  1.528114E+08  1.657088E+08  1.428919E+08  1.958655E+08  1.203811E+08  3.722488E+08  4.891691E+07  1.573551E+08  1.551266E+08  1.567058E+08  1.498667E+08  1.423585E+08  1.612397E+08  1.540296E+08  1.549042E+08  1.507337E+08  1.658800E+08  1.511034E+08  1.582987E+08  1.587107E+08  1.503340E+08  1.419716E+08  1.760834E+08  1.271150E+08  1.877545E+08  1.558975E+08  1.514386E+08  1.483275E+08  1.633306E+08  1.484025E+08  1.574577E+08  
7.726822E-08  1.241308E+08  1.266941E+08  1.213853E+08  1.257860E+08  1.229630E+08  1.003046E+08  1.471464E+08  1.388192E+08  1.060124E+08  1.303362E+08  1.166127E+08  1.241627E+08  1.240469E+08  1.239721E+08  1.243811E+08  1.284666E+08  1.211583E+08  1.336346E+08  1.137827E+08  1.267496E+08  1.233546E+08  1.330807E+08  1.149880E+08  1.567894E+08  9.723297E+07  2.944563E+08  4.041527E+07  1.264212E+08  1.247691E+08  1.258790E+08  1.205786E+08  1.146750E+08  1.294387E+08  1.238700E+08  1.244498E+08  1.212830E+08  1.330690E+08  1.215990E+08  1.271460E+08  1.274561E+08  1.209620E+08  1.151795E+08  1.402077E+08  1.020576E+08  1.509400E+08  1.254609E+08  1.213579E+08  1.192977E+08  1.314761E+08  1.193384E+08  1.265603E+08  
8.933285E-08  9.978343E+07  1.018552E+08  9.756405E+07  1.011208E+08  9.883881E+07  8.079152E+07  1.181197E+08  1.114271E+08  8.540881E+07  1.047010E+08  9.382702E+07  9.979058E+07  9.975575E+07  9.963315E+07  1.000142E+08  1.031721E+08  9.745858E+07  1.071920E+08  9.169901E+07  1.012153E+08  9.957609E+07  1.068771E+08  9.253318E+07  1.255092E+08  7.853598E+07  2.329209E+08  3.339119E+07  1.015685E+08  1.003524E+08  1.011164E+08  9.701413E+07  9.237492E+07  1.039097E+08  9.961577E+07  9.998270E+07  9.758644E+07  1.067480E+08  9.785566E+07  1.021240E+08  1.023563E+08  9.732861E+07  9.344354E+07  1.116414E+08  8.193955E+07  1.213440E+08  1.009666E+08  9.725212E+07  9.594942E+07  1.058342E+08  9.596648E+07  1.017257E+08  
1.032813E-07  8.021159E+07  8.188598E+07  7.841758E+07  8.129215E+07  7.944754E+07  6.507448E+07  9.481894E+07  8.944012E+07  6.880953E+07  8.410780E+07  7.549359E+07  8.020252E+07  8.022132E+07  8.007258E+07  8.042083E+07  8.285793E+07  7.839472E+07  8.598168E+07  7.390144E+07  8.082505E+07  8.038124E+07  8.583296E+07  7.446331E+07  1.004695E+08  6.343425E+07  1.842451E+08  2.758788E+07  8.160150E+07  8.071394E+07  8.122500E+07  7.805485E+07  7.441138E+07  8.341573E+07  8.011060E+07  8.032591E+07  7.851977E+07  8.563333E+07  7.874843E+07  8.202631E+07  8.219945E+07  7.831270E+07  7.580943E+07  8.889527E+07  6.578728E+07  9.755116E+07  8.125443E+07  7.793460E+07  7.717073E+07  8.519321E+07  7.717183E+07  8.176440E+07  
1.194076E-07  6.447864E+07  6.583185E+07  6.302851E+07  6.535167E+07  6.386067E+07  5.241500E+07  7.611457E+07  7.179162E+07  5.543634E+07  6.756502E+07  6.074243E+07  6.445943E+07  6.451217E+07  6.435226E+07  6.466594E+07  6.654356E+07  6.305993E+07  6.896830E+07  5.955814E+07  6.454250E+07  6.488650E+07  6.893243E+07  5.992213E+07  8.042540E+07  5.123643E+07  1.457416E+08  2.279317E+07  6.555975E+07  6.491863E+07  6.524660E+07  6.280074E+07  5.994110E+07  6.696377E+07  6.442463E+07  6.453368E+07  6.317840E+07  6.869510E+07  6.337206E+07  6.588377E+07  6.601204E+07  6.301208E+07  6.150312E+07  7.078350E+07  5.281902E+07  7.842354E+07  6.539075E+07  6.245418E+07  6.206731E+07  6.857790E+07  6.205803E+07  6.572002E+07  
1.380518E-07  5.183160E+07  5.292521E+07  5.065947E+07  5.253695E+07  5.133179E+07  4.221828E+07  6.109990E+07  5.762556E+07  4.466224E+07  5.427596E+07  4.887359E+07  5.180658E+07  5.187923E+07  5.171825E+07  5.199751E+07  5.344142E+07  5.072479E+07  5.532139E+07  4.799869E+07  5.154013E+07  5.237861E+07  5.535962E+07  4.822055E+07  6.438016E+07  4.138415E+07  1.152845E+08  1.883178E+07  5.267158E+07  5.221438E+07  5.241144E+07  5.052772E+07  4.828475E+07  5.375661E+07  5.181003E+07  5.184623E+07  5.083445E+07  5.510724E+07  5.099807E+07  5.291804E+07  5.301239E+07  5.070088E+07  4.989662E+07  5.636187E+07  4.240711E+07  6.304642E+07  5.262421E+07  5.004869E+07  4.991984E+07  5.520308E+07  4.990421E+07  5.282398E+07  
1.596072E-07  4.166518E+07  4.254897E+07  4.071780E+07  4.223504E+07  4.126097E+07  3.400521E+07  4.904708E+07  4.625477E+07  3.598209E+07  4.360067E+07  3.932388E+07  4.163738E+07  4.172011E+07  4.156461E+07  4.181091E+07  4.291904E+07  4.080252E+07  4.437482E+07  3.868278E+07  4.115715E+07  4.228181E+07  4.445930E+07  3.880405E+07  5.153603E+07  3.342636E+07  9.119240E+07  1.555886E+07  4.231706E+07  4.199628E+07  4.210118E+07  4.065318E+07  3.889514E+07  4.315427E+07  4.166542E+07  4.165316E+07  4.090230E+07  4.420706E+07  4.104022E+07  4.250392E+07  4.257274E+07  4.079502E+07  4.048043E+07  4.487855E+07  3.404765E+07  5.068442E+07  4.235014E+07  4.010734E+07  4.014981E+07  4.443677E+07  4.013066E+07  4.245849E+07  
1.845282E-07  3.349284E+07  3.420705E+07  3.272713E+07  3.395323E+07  3.316595E+07  2.738990E+07  3.937185E+07  3.712769E+07  2.898894E+07  3.502505E+07  3.164015E+07  3.346431E+07  3.355037E+07  3.340440E+07  3.361991E+07  3.446846E+07  3.282114E+07  3.559428E+07  3.117496E+07  3.286586E+07  3.413133E+07  3.570526E+07  3.122640E+07  4.125435E+07  2.699878E+07  7.213502E+07  1.285477E+07  3.399809E+07  3.377782E+07  3.381913E+07  3.270841E+07  3.133146E+07  3.464302E+07  3.350716E+07  3.346407E+07  3.291071E+07  3.546292E+07  3.302673E+07  3.413928E+07  3.418896E+07  3.282456E+07  3.284120E+07  3.573487E+07  2.733603E+07  4.074633E+07  3.408193E+07  3.214068E+07  3.229191E+07  3.577022E+07  3.227123E+07  3.412699E+07  
