x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  
1.000000E-07  1.555548E+07  9.024769E+06  1.080414E+07  5.159656E+06  1.167138E+08  6.111786E+07  2.275037E+07  1.741709E+07  2.150547E+07  6.033788E+06  -1.873731E+05  8.636335E+07  9.118693E+07  1.892051E+07  4.129954E+06  7.825092E+06  1.500709E+07  7.879714E+06  1.245460E+07  5.388272E+06  1.350236E+07  3.541764E+06  9.580140E+07  5.859057E+07  9.316858E+06  1.433041E+07  4.002671E+04  1.711703E+07  1.160059E+07  6.486014E+06  7.893106E+06  -2.313244E+06  1.793308E+07  2.367004E+06  1.972343E+07  7.339715E+06  1.337550E+07  1.594475E+07  3.945491E+07  2.644889E+06  1.729126E+07  7.674770E+06  9.216814E+06  4.596277E+07  1.012532E+07  -7.868424E+06  6.454374E+06  6.852215E+06  -2.886943E+06  4.265195E+06  3.455581E+06  4.706670E+06  7.264691E+06  4.421767E+06  8.128110E+06  3.287853E+06  8.707205E+06  1.411969E+07  8.694921E+06  -4.303672E+06  8.942613E+06  3.391442E+07  1.088000E+07  8.567446E+06  9.393532E+06  2.149458E+07  2.154792E+07  2.032914E+07  3.490774E+05  7.522294E+06  7.725931E+06  1.531311E+07  1.818563E+07  9.428384E+06  4.250647E+06  1.344446E+07  1.349864E+08  1.139665E+07  2.166827E+07  1.318107E+07  8.759968E+06  8.276447E+06  -4.874103E+06  1.036841E+07  5.767274E+06  1.131743E+07  5.824594E+06  5.544951E+06  6.589961E+06  2.296140E+07  2.875647E+06  4.885247E+06  1.733484E+07  -1.371202E+07  2.360377E+07  8.883707E+06  7.336365E+06  3.604830E+06  -2.507183E+06  4.038994E+05  2.557541E+04  
1.148154E-07  1.316235E+07  7.700582E+06  9.120700E+06  4.422366E+06  9.954810E+07  5.200387E+07  1.911012E+07  1.478478E+07  1.822442E+07  5.181248E+06  -1.518965E+05  7.329584E+07  7.655380E+07  1.576696E+07  3.564562E+06  6.719740E+06  1.271651E+07  6.768076E+06  1.057806E+07  4.603170E+06  1.139728E+07  3.042148E+06  7.885913E+07  4.891313E+07  7.905016E+06  1.213136E+07  9.989374E+04  1.447019E+07  9.835767E+06  5.545518E+06  6.798862E+06  -1.976502E+06  1.532523E+07  1.919425E+06  1.678151E+07  6.278031E+06  1.131773E+07  1.346549E+07  3.337845E+07  2.312245E+06  1.463571E+07  6.552940E+06  7.800580E+06  3.812643E+07  8.613144E+06  -6.548150E+06  5.522071E+06  5.870353E+06  -2.396694E+06  3.635224E+06  2.983803E+06  4.030899E+06  6.237066E+06  3.809266E+06  6.936178E+06  2.846042E+06  7.420986E+06  1.191915E+07  7.409046E+06  -3.658073E+06  7.621291E+06  2.873066E+07  9.216885E+06  7.384855E+06  8.018519E+06  1.841884E+07  1.817547E+07  1.722503E+07  3.086502E+05  6.470458E+06  6.597214E+06  1.296170E+07  1.552472E+07  8.079505E+06  3.654364E+06  1.140173E+07  1.137934E+08  9.747663E+06  1.828650E+07  1.120958E+07  7.453316E+06  7.065210E+06  -4.053769E+06  8.845930E+06  4.943443E+06  9.574391E+06  4.952604E+06  4.830116E+06  5.728919E+06  1.952687E+07  2.446756E+06  4.200375E+06  1.465281E+07  -1.149446E+07  1.959495E+07  7.473720E+06  6.281748E+06  3.069594E+06  -2.090102E+06  3.532908E+05  -4.449831E+03  
1.318257E-07  1.113161E+07  6.570517E+06  7.698607E+06  3.789819E+06  8.490606E+07  4.424871E+07  1.602306E+07  1.254918E+07  1.543622E+07  4.449071E+06  -1.225916E+05  6.220457E+07  6.425781E+07  1.313377E+07  3.076581E+06  5.770271E+06  1.077528E+07  5.812101E+06  8.984067E+06  3.932317E+06  9.619094E+06  2.612711E+06  6.459208E+07  4.075590E+07  6.706362E+06  1.026922E+07  1.415113E+05  1.223217E+07  8.338166E+06  4.741464E+06  5.855719E+06  -1.688757E+06  1.309777E+07  1.550910E+06  1.426906E+07  5.369650E+06  9.575931E+06  1.137137E+07  2.823690E+07  2.020832E+06  1.238731E+07  5.594599E+06  6.601414E+06  3.161236E+07  7.326684E+06  -5.446834E+06  4.723720E+06  5.029076E+06  -1.987621E+06  3.097605E+06  2.576223E+06  3.451965E+06  5.354566E+06  3.281555E+06  5.918829E+06  2.463195E+06  6.324631E+06  1.006060E+07  6.313147E+06  -3.108859E+06  6.494929E+06  2.430573E+07  7.807583E+06  6.365449E+06  6.844704E+06  1.578308E+07  1.532711E+07  1.459466E+07  2.726511E+05  5.564992E+06  5.633295E+06  1.097096E+07  1.325312E+07  6.923776E+06  3.141644E+06  9.668764E+06  9.591975E+07  8.337301E+06  1.543137E+07  9.532867E+06  6.341259E+06  6.031041E+06  -3.369658E+06  7.546474E+06  4.237021E+06  8.099455E+06  4.210949E+06  4.204545E+06  4.976580E+06  1.659198E+07  2.081779E+06  3.611289E+06  1.238533E+07  -9.598630E+06  1.608315E+07  6.285979E+06  5.378471E+06  2.613007E+06  -1.742790E+06  3.088085E+05  -2.623929E+04  
1.513561E-07  9.408430E+06  5.606226E+06  6.497702E+06  3.247218E+06  7.241798E+07  3.765075E+07  1.340715E+07  1.065091E+07  1.306798E+07  3.820295E+06  -9.843942E+04  5.279250E+07  5.392764E+07  1.093694E+07  2.655413E+06  4.954758E+06  9.130510E+06  4.990109E+06  7.630328E+06  3.359150E+06  8.117584E+06  2.243635E+06  5.258514E+07  3.388877E+07  5.688949E+06  8.692798E+06  1.688164E+05  1.034038E+07  7.067650E+06  4.054100E+06  5.042914E+06  -1.442901E+06  1.119528E+07  1.248158E+06  1.212443E+07  4.592515E+06  8.102002E+06  9.603109E+06  2.388762E+07  1.765628E+06  1.048415E+07  4.776028E+06  5.586337E+06  2.620214E+07  6.232416E+06  -4.528990E+06  4.040177E+06  4.308302E+06  -1.646639E+06  2.638884E+06  2.224133E+06  2.956034E+06  4.596750E+06  2.826912E+06  5.050590E+06  2.131480E+06  5.390229E+06  8.491434E+06  5.379281E+06  -2.641746E+06  5.534891E+06  2.053410E+07  6.613646E+06  5.486731E+06  5.842741E+06  1.352447E+07  1.292232E+07  1.236624E+07  2.406298E+05  4.785605E+06  4.810195E+06  9.286015E+06  1.131405E+07  5.933569E+06  2.700797E+06  8.198931E+06  8.085183E+07  7.131114E+06  1.302169E+07  8.107080E+06  5.394968E+06  5.148154E+06  -2.799678E+06  6.437508E+06  3.631329E+06  6.851733E+06  3.580246E+06  3.657392E+06  4.319640E+06  1.408555E+07  1.771240E+06  3.104629E+06  1.046889E+07  -7.980131E+06  1.296645E+07  5.285924E+06  4.604880E+06  2.223623E+06  -1.453816E+06  2.697333E+05  -4.151270E+04  
1.737801E-07  7.948562E+06  4.783365E+06  5.483563E+06  2.781828E+06  6.176659E+07  3.203691E+07  1.119500E+07  9.039073E+06  1.105692E+07  3.280315E+06  -7.858165E+04  4.480476E+07  4.525429E+07  9.104259E+06  2.291910E+06  4.254309E+06  7.736796E+06  4.283480E+06  6.480553E+06  2.869431E+06  6.849678E+06  1.926466E+06  4.255114E+07  2.811427E+07  4.825378E+06  7.358150E+06  1.851433E+05  8.741081E+06  5.989853E+06  3.466462E+06  4.342444E+06  -1.232829E+06  9.570123E+06  9.999374E+05  1.029466E+07  3.927664E+06  6.854666E+06  8.109834E+06  2.020814E+07  1.542196E+06  8.873092E+06  4.076875E+06  4.727037E+06  2.171042E+07  5.301573E+06  -3.764141E+06  3.455001E+06  3.690764E+06  -1.362580E+06  2.247580E+06  1.919996E+06  2.531217E+06  3.946007E+06  2.435218E+06  4.309594E+06  1.844133E+06  4.593825E+06  7.166516E+06  4.583463E+06  -2.244482E+06  4.716601E+06  1.731866E+07  5.602108E+06  4.729278E+06  4.987446E+06  1.158902E+07  1.089228E+07  1.047816E+07  2.121915E+05  4.114833E+06  4.107318E+06  7.859765E+06  9.658740E+06  5.085145E+06  2.321749E+06  6.952220E+06  6.814711E+07  6.099505E+06  1.098780E+07  6.894584E+06  4.589717E+06  4.394399E+06  -2.324873E+06  5.491146E+06  3.112020E+06  5.796130E+06  3.043901E+06  3.179317E+06  3.746587E+06  1.194652E+07  1.507000E+06  2.668877E+06  8.848974E+06  -6.603820E+06  1.036701E+07  4.443948E+06  3.942372E+06  1.891624E+06  -1.213234E+06  2.354488E+05  -5.173492E+04  
1.995262E-07  6.713482E+06  4.081163E+06  4.627098E+06  2.382713E+06  5.268125E+07  2.725998E+07  9.327746E+06  7.670436E+06  9.349506E+06  2.816590E+06  -6.229770E+04  3.802508E+07  3.797748E+07  7.575310E+06  1.978172E+06  3.652692E+06  6.555673E+06  3.676164E+06  5.503922E+06  2.450995E+06  5.778975E+06  1.653930E+06  3.421643E+07  2.326211E+07  4.092379E+06  6.228069E+06  1.931626E+05  7.388860E+06  5.075587E+06  2.964050E+06  3.738795E+06  -1.053328E+06  8.181645E+06  7.968700E+05  8.734258E+06  3.358870E+06  5.798987E+06  6.848566E+06  1.709485E+07  1.346634E+06  7.509171E+06  3.479739E+06  3.999546E+06  1.798273E+07  4.509687E+06  -3.126798E+06  2.954099E+06  3.161670E+06  -1.126076E+06  1.913870E+06  1.657298E+06  2.167327E+06  3.387212E+06  2.097757E+06  3.677176E+06  1.595277E+06  3.915000E+06  6.047712E+06  3.905253E+06  -1.906638E+06  4.019105E+06  1.457586E+07  4.745034E+06  4.076350E+06  4.257321E+06  9.930455E+06  9.178743E+06  8.878241E+06  1.869730E+05  3.537623E+06  3.507080E+06  6.652353E+06  8.245590E+06  4.358170E+06  1.995839E+06  5.894692E+06  5.743272E+07  5.217163E+06  9.270872E+06  5.863379E+06  3.904460E+06  3.750868E+06  -1.929389E+06  4.683577E+06  2.666789E+06  4.902948E+06  2.587794E+06  2.762026E+06  3.247197E+06  1.012208E+07  1.282136E+06  2.294123E+06  7.479480E+06  -5.438021E+06  8.324920E+06  3.735084E+06  3.375007E+06  1.608614E+06  -1.012776E+06  2.054032E+05  -5.808318E+04  
2.290868E-07  5.668397E+06  3.481999E+06  3.904066E+06  2.040490E+06  4.493262E+07  2.319581E+07  7.752810E+06  6.508573E+06  7.900723E+06  2.418373E+06  -4.898501E+04  3.227195E+07  3.187301E+07  6.300961E+06  1.707388E+06  3.136004E+06  5.554966E+06  3.154278E+06  4.674524E+06  2.093513E+06  4.875156E+06  1.419772E+06  2.729360E+07  1.919084E+07  3.470373E+06  5.271479E+06  1.948750E+05  6.245910E+06  4.300256E+06  2.534533E+06  3.218663E+06  -8.999629E+05  6.995429E+06  6.312175E+05  7.404304E+06  2.872310E+06  4.905783E+06  5.783627E+06  1.446143E+07  1.175525E+06  6.354811E+06  2.969807E+06  3.383838E+06  1.489199E+07  3.836125E+06  -2.596245E+06  2.525402E+06  2.708383E+06  -9.294092E+05  1.629330E+06  1.430412E+06  1.855653E+06  2.907410E+06  1.807029E+06  3.137493E+06  1.379778E+06  3.336475E+06  5.103316E+06  3.327354E+06  -1.619399E+06  3.424659E+06  1.224048E+07  4.019026E+06  3.513539E+06  3.634108E+06  8.509243E+06  7.732984E+06  7.522840E+06  1.646273E+05  3.040972E+06  2.994547E+06  5.630485E+06  7.039293E+06  3.735276E+06  1.715631E+06  4.997860E+06  4.840107E+07  4.462545E+06  7.822059E+06  4.986504E+06  3.321417E+06  3.201509E+06  -1.600322E+06  3.994533E+06  2.285106E+06  4.147424E+06  2.199983E+06  2.397952E+06  2.812238E+06  8.566957E+06  1.090814E+06  1.971854E+06  6.322070E+06  -4.451926E+06  6.687627E+06  3.138594E+06  2.889163E+06  1.367442E+06  -8.458958E+05  1.790828E+05  -6.144027E+04  
2.630268E-07  4.785288E+06  2.970717E+06  3.293589E+06  1.747087E+06  3.832342E+07  1.973755E+07  6.429238E+06  5.522186E+06  6.671765E+06  2.076402E+06  -3.813688E+04  2.738908E+07  2.675382E+07  5.238599E+06  1.473676E+06  2.692247E+06  4.706945E+06  2.705909E+06  3.970052E+06  1.788076E+06  4.112100E+06  1.218613E+06  2.162931E+07  1.578610E+07  2.942520E+06  4.461587E+06  1.920074E+05  5.279604E+06  3.642753E+06  2.167301E+06  2.770485E+06  -7.689191E+05  5.981799E+06  4.964419E+05  6.271529E+06  2.456083E+06  4.149916E+06  4.884204E+06  1.223338E+07  1.025851E+06  5.377633E+06  2.534354E+06  2.862640E+06  1.232935E+07  3.263132E+06  -2.154520E+06  2.158546E+06  2.320030E+06  -7.659520E+05  1.386764E+06  1.234469E+06  1.588706E+06  2.495433E+06  1.556562E+06  2.676917E+06  1.193210E+06  2.843381E+06  4.305980E+06  2.834884E+06  -1.375182E+06  2.918003E+06  1.025474E+07  3.403946E+06  3.028395E+06  3.102112E+06  7.291367E+06  6.513205E+06  6.374347E+06  1.448551E+05  2.613706E+06  2.556870E+06  4.765471E+06  6.009469E+06  3.201527E+06  1.474713E+06  4.237207E+06  4.078479E+07  3.817107E+06  6.599230E+06  4.240759E+06  2.825299E+06  2.732510E+06  -1.326507E+06  3.406628E+06  1.957905E+06  3.508202E+06  1.870226E+06  2.080639E+06  2.433835E+06  7.243173E+06  9.280219E+05  1.694728E+06  5.343652E+06  -3.622823E+06  5.411787E+06  2.636635E+06  2.473132E+06  1.161970E+06  -7.067969E+05  1.560524E+05  -6.257380E+04  
3.019952E-07  4.039625E+06  2.534440E+06  2.778218E+06  1.495579E+06  3.268621E+07  1.679492E+07  5.318718E+06  4.684855E+06  5.629715E+06  1.782741E+06  -2.933000E+04  2.324495E+07  2.246245E+07  4.353330E+06  1.271959E+06  2.311145E+06  3.988341E+06  2.320777E+06  3.371710E+06  1.527119E+06  3.467978E+06  1.045821E+06  1.702277E+07  1.294269E+07  2.494622E+06  3.775942E+06  1.858530E+05  4.462685E+06  3.085260E+06  1.853321E+06  2.384344E+06  -6.569504E+05  5.115578E+06  3.871396E+05  5.307240E+06  2.100041E+06  3.510317E+06  4.124608E+06  1.034838E+07  8.949672E+05  4.550498E+06  2.162533E+06  2.421488E+06  1.020581E+07  2.775704E+06  -1.786929E+06  1.844655E+06  1.987317E+06  -6.302309E+05  1.180024E+06  1.065262E+06  1.360080E+06  2.141711E+06  1.340782E+06  2.283869E+06  1.031718E+06  2.423116E+06  3.632878E+06  2.415231E+06  -1.167575E+06  2.486193E+06  8.567319E+06  2.882882E+06  2.610204E+06  2.647992E+06  6.247749E+06  5.484345E+06  5.401208E+06  1.273770E+05  2.246178E+06  2.183126E+06  4.033273E+06  5.130311E+06  2.744158E+06  1.267583E+06  3.592104E+06  3.436271E+07  3.265054E+06  5.567237E+06  3.606548E+06  2.403172E+06  2.332130E+06  -1.098796E+06  2.905056E+06  1.677429E+06  2.967409E+06  1.589849E+06  1.804271E+06  2.104877E+06  6.117087E+06  7.895136E+05  1.456436E+06  4.516585E+06  -2.927943E+06  4.452269E+06  2.214332E+06  2.116902E+06  9.869645E+05  -5.908316E+05  1.359148E+05  -6.206000E+04  
3.467369E-07  3.409941E+06  2.162193E+06  2.343248E+06  1.280019E+06  2.787834E+07  1.429124E+07  4.388474E+06  3.974173E+06  4.746686E+06  1.530575E+06  -2.221098E+04  1.972819E+07  1.886519E+07  3.616157E+06  1.097858E+06  1.983871E+06  3.379489E+06  1.990019E+06  2.863565E+06  1.304181E+06  2.924401E+06  8.974131E+05  1.328866E+07  1.057387E+07  2.114640E+06  3.195583E+06  1.774057E+05  3.772187E+06  2.612670E+06  1.584877E+06  2.051696E+06  -5.612853E+05  4.375311E+06  2.988283E+05  4.486941E+06  1.795506E+06  2.969202E+06  3.483226E+06  8.753892E+06  7.805501E+05  3.850490E+06  1.845084E+06  2.048163E+06  8.447333E+06  2.361102E+06  -1.481273E+06  1.576127E+06  1.702286E+06  -5.176799E+05  1.003858E+06  9.191566E+05  1.164288E+06  1.838024E+06  1.154892E+06  1.948474E+06  8.919476E+05  2.064950E+06  3.064792E+06  2.057659E+06  -9.911262E+05  2.118206E+06  7.136901E+06  2.441533E+06  2.249733E+06  2.260367E+06  5.353486E+06  4.616823E+06  4.576759E+06  1.119386E+05  1.930071E+06  1.863996E+06  3.413596E+06  4.379815E+06  2.352238E+06  1.089508E+06  3.045084E+06  2.894901E+07  2.792890E+06  4.696495E+06  3.067237E+06  2.044041E+06  1.990356E+06  -9.095879E+05  2.477181E+06  1.437024E+06  2.509971E+06  1.351483E+06  1.563691E+06  1.819085E+06  5.160067E+06  6.716753E+05  1.251552E+06  3.817582E+06  -2.347326E+06  3.713380E+06  1.859187E+06  1.811897E+06  8.379575E+05  -4.941852E+05  1.183154E+05  -6.034800E+04  
