x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  
5.000000E-08  2.388349E+08  2.436897E+08  2.336377E+08  2.419725E+08  2.366285E+08  1.918243E+08  2.843240E+08  2.682868E+08  2.026029E+08  2.512666E+08  2.237641E+08  2.390554E+08  2.383360E+08  2.387059E+08  2.390859E+08  2.478986E+08  2.326355E+08  2.587721E+08  2.172671E+08  2.486979E+08  2.344132E+08  2.568026E+08  2.205102E+08  3.055191E+08  1.843987E+08  5.946586E+08  7.162429E+07  2.436379E+08  2.396706E+08  2.427309E+08  2.313676E+08  2.192638E+08  2.500578E+08  2.380420E+08  2.398447E+08  2.326970E+08  2.576176E+08  2.331951E+08  2.452342E+08  2.459283E+08  2.320970E+08  2.155690E+08  2.776263E+08  1.970794E+08  2.903565E+08  2.406101E+08  2.355868E+08  2.291652E+08  2.519366E+08  2.293597E+08  2.435857E+08  
5.780698E-08  1.919972E+08  1.959213E+08  1.877956E+08  1.945326E+08  1.902123E+08  1.545147E+08  2.282456E+08  2.153563E+08  1.632347E+08  2.018556E+08  1.800480E+08  1.921373E+08  1.916757E+08  1.918490E+08  1.922569E+08  1.990952E+08  1.871387E+08  2.075779E+08  1.751051E+08  1.986090E+08  1.892323E+08  2.062455E+08  1.774579E+08  2.445750E+08  1.489483E+08  4.704011E+08  5.917922E+07  1.957507E+08  1.927759E+08  1.949889E+08  1.861607E+08  1.766326E+08  2.007478E+08  1.914399E+08  1.926997E+08  1.872399E+08  2.066699E+08  1.876695E+08  1.969812E+08  1.975078E+08  1.867569E+08  1.748967E+08  2.210674E+08  1.582373E+08  2.334333E+08  1.936409E+08  1.888049E+08  1.843223E+08  2.028088E+08  1.844484E+08  1.957959E+08  
6.683295E-08  1.543448E+08  1.575165E+08  1.509482E+08  1.563934E+08  1.529010E+08  1.244619E+08  1.832278E+08  1.728684E+08  1.315162E+08  1.621611E+08  1.448726E+08  1.544276E+08  1.541504E+08  1.541900E+08  1.546002E+08  1.598997E+08  1.505397E+08  1.665116E+08  1.411249E+08  1.586082E+08  1.527595E+08  1.656416E+08  1.428112E+08  1.957878E+08  1.203131E+08  3.721080E+08  4.889654E+07  1.572757E+08  1.550568E+08  1.566372E+08  1.497868E+08  1.422902E+08  1.611614E+08  1.539613E+08  1.548218E+08  1.506628E+08  1.657978E+08  1.510317E+08  1.582225E+08  1.586208E+08  1.502740E+08  1.418983E+08  1.760308E+08  1.270505E+08  1.876697E+08  1.558406E+08  1.513128E+08  1.482543E+08  1.632610E+08  1.483312E+08  1.573821E+08  
7.726822E-08  1.240764E+08  1.266399E+08  1.213306E+08  1.257317E+08  1.229085E+08  1.002542E+08  1.470890E+08  1.387631E+08  1.059609E+08  1.302725E+08  1.165693E+08  1.241190E+08  1.239716E+08  1.239232E+08  1.243191E+08  1.284206E+08  1.210985E+08  1.335698E+08  1.137388E+08  1.266638E+08  1.233165E+08  1.330314E+08  1.149288E+08  1.567325E+08  9.718309E+07  2.943538E+08  4.040053E+07  1.263630E+08  1.247179E+08  1.258287E+08  1.205200E+08  1.146249E+08  1.293813E+08  1.238199E+08  1.243894E+08  1.212310E+08  1.330088E+08  1.215464E+08  1.270901E+08  1.273901E+08  1.209180E+08  1.151258E+08  1.401693E+08  1.020103E+08  1.508778E+08  1.254192E+08  1.212657E+08  1.192440E+08  1.314250E+08  1.192862E+08  1.265049E+08  
8.933285E-08  9.974389E+07  1.018158E+08  9.752432E+07  1.010814E+08  9.879919E+07  8.075493E+07  1.180780E+08  1.113864E+08  8.537143E+07  1.046547E+08  9.379549E+07  9.975885E+07  9.970101E+07  9.959765E+07  9.996914E+07  1.031387E+08  9.741511E+07  1.071450E+08  9.166708E+07  1.011531E+08  9.954844E+07  1.068413E+08  9.249017E+07  1.254679E+08  7.849976E+07  2.328468E+08  3.338074E+07  1.015262E+08  1.003152E+08  1.010798E+08  9.697157E+07  9.233851E+07  1.038680E+08  9.957937E+07  9.993884E+07  9.754870E+07  1.067043E+08  9.781748E+07  1.020835E+08  1.023085E+08  9.729664E+07  9.340452E+07  1.116136E+08  8.190524E+07  1.212989E+08  1.009363E+08  9.718523E+07  9.591041E+07  1.057971E+08  9.592851E+07  1.016855E+08  
1.032813E-07  8.018321E+07  8.185772E+07  7.838906E+07  8.126383E+07  7.941911E+07  6.504822E+07  9.478900E+07  8.941085E+07  6.878271E+07  8.407460E+07  7.547095E+07  8.017974E+07  8.018203E+07  8.004710E+07  8.038850E+07  8.283395E+07  7.836352E+07  8.594791E+07  7.387853E+07  8.078038E+07  8.036141E+07  8.580728E+07  7.443245E+07  1.004399E+08  6.340827E+07  1.841920E+08  2.758067E+07  8.157116E+07  8.068727E+07  8.119877E+07  7.802430E+07  7.438526E+07  8.338581E+07  8.008447E+07  8.029442E+07  7.849269E+07  8.560194E+07  7.872102E+07  8.199721E+07  8.216509E+07  7.828975E+07  7.578152E+07  8.887529E+07  6.576265E+07  9.751875E+07  8.123266E+07  7.788657E+07  7.714273E+07  8.516661E+07  7.714457E+07  8.173552E+07  
1.194076E-07  6.445856E+07  6.581185E+07  6.300833E+07  6.533164E+07  6.384055E+07  5.239645E+07  7.609337E+07  7.177090E+07  5.541738E+07  6.754152E+07  6.072642E+07  6.444332E+07  6.448437E+07  6.433423E+07  6.464306E+07  6.652659E+07  6.303787E+07  6.894438E+07  5.954195E+07  6.451083E+07  6.487250E+07  6.891426E+07  5.990030E+07  8.040440E+07  5.121811E+07  1.457040E+08  2.278839E+07  6.553827E+07  6.489976E+07  6.522804E+07  6.277913E+07  5.992263E+07  6.694259E+07  6.440614E+07  6.451139E+07  6.315924E+07  6.867287E+07  6.335268E+07  6.586318E+07  6.598772E+07  6.299586E+07  6.148351E+07  7.076934E+07  5.280158E+07  7.840061E+07  6.537536E+07  6.242016E+07  6.204750E+07  6.855908E+07  6.203874E+07  6.569959E+07  
1.380518E-07  5.181765E+07  5.291132E+07  5.064546E+07  5.252303E+07  5.131782E+07  4.220542E+07  6.108516E+07  5.761115E+07  4.464910E+07  5.425963E+07  4.886249E+07  5.179539E+07  5.185993E+07  5.170572E+07  5.198163E+07  5.342962E+07  5.070947E+07  5.530475E+07  4.798748E+07  5.151805E+07  5.236893E+07  5.534699E+07  4.820540E+07  6.436554E+07  4.137149E+07  1.152583E+08  1.882880E+07  5.265666E+07  5.220128E+07  5.239854E+07  5.051272E+07  4.827195E+07  5.374188E+07  5.179720E+07  5.183075E+07  5.082116E+07  5.509178E+07  5.098462E+07  5.290373E+07  5.299549E+07  5.068962E+07  4.988317E+07  5.635199E+07  4.239499E+07  6.303050E+07  5.261353E+07  5.002501E+07  4.990610E+07  5.519003E+07  4.989082E+07  5.280979E+07  
1.596072E-07  4.165574E+07  4.253957E+07  4.070831E+07  4.222562E+07  4.125150E+07  3.399653E+07  4.903708E+07  4.624499E+07  3.597323E+07  4.358960E+07  3.931637E+07  4.162980E+07  4.170705E+07  4.155613E+07  4.180016E+07  4.291104E+07  4.079216E+07  4.436352E+07  3.867522E+07  4.114207E+07  4.227531E+07  4.445074E+07  3.879381E+07  5.152606E+07  3.341787E+07  9.117436E+07  1.555720E+07  4.230695E+07  4.198742E+07  4.209243E+07  4.064305E+07  3.888650E+07  4.314428E+07  4.165673E+07  4.164267E+07  4.089331E+07  4.419655E+07  4.103113E+07  4.249422E+07  4.256128E+07  4.078741E+07  4.047152E+07  4.487178E+07  3.403942E+07  5.067363E+07  4.234292E+07  4.009125E+07  4.014051E+07  4.442795E+07  4.012160E+07  4.244888E+07  
1.845282E-07  3.348667E+07  3.420091E+07  3.272092E+07  3.394707E+07  3.315976E+07  2.738426E+07  3.936529E+07  3.712128E+07  2.898319E+07  3.501780E+07  3.163525E+07  3.345935E+07  3.354184E+07  3.339885E+07  3.361289E+07  3.446322E+07  3.281438E+07  3.558685E+07  3.117006E+07  3.285586E+07  3.412714E+07  3.569964E+07  3.121973E+07  4.124778E+07  2.699332E+07  7.212293E+07  1.285406E+07  3.399148E+07  3.377204E+07  3.381340E+07  3.270180E+07  3.132585E+07  3.463647E+07  3.350149E+07  3.345720E+07  3.290485E+07  3.545602E+07  3.302081E+07  3.413292E+07  3.418145E+07  3.281959E+07  3.283559E+07  3.573036E+07  2.733064E+07  4.073928E+07  3.407722E+07  3.213008E+07  3.228584E+07  3.576448E+07  3.226532E+07  3.412071E+07  
