x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  
1.000000E-07  2.586485E+07  1.173680E+07  1.089654E+07  9.520085E+06  1.241247E+08  5.699404E+07  2.090886E+07  1.560577E+07  2.327470E+07  5.753854E+06  3.702893E+06  2.273949E+08  9.548563E+07  1.923156E+07  1.036993E+08  1.016482E+07  1.332948E+07  6.976116E+06  1.278694E+07  7.824377E+06  1.293740E+07  7.714024E+06  2.016438E+08  5.839537E+07  1.662919E+07  3.175398E+07  1.904220E+06  1.496114E+07  1.735696E+07  9.372812E+06  7.025007E+06  -1.083710E+06  1.644746E+07  1.366339E+06  2.322018E+07  1.019360E+07  4.680124E+07  7.867305E+07  4.726681E+07  4.336994E+06  2.004497E+07  7.018572E+06  1.164849E+07  4.484936E+07  1.311558E+07  -2.262804E+06  9.675429E+06  9.770320E+06  -3.323789E+06  5.539966E+06  7.547776E+06  1.254357E+07  8.689395E+06  4.447898E+07  1.602500E+07  4.064032E+06  1.103165E+07  1.671266E+07  1.241042E+07  -8.045464E+05  1.110831E+07  3.065972E+07  1.241472E+07  1.160591E+08  1.071056E+07  2.562241E+07  2.112740E+07  3.025803E+07  2.617119E+06  1.120481E+07  9.474089E+06  2.032753E+07  1.790405E+07  8.751033E+06  8.433439E+06  1.301754E+07  1.278616E+08  1.165388E+07  1.959937E+07  1.181918E+07  7.799402E+06  9.533031E+06  -1.814484E+05  9.112239E+06  5.181202E+06  1.281726E+07  8.864270E+07  4.721409E+07  7.513686E+06  1.343823E+08  5.860197E+06  7.109030E+06  1.526712E+07  1.093709E+06  2.163171E+07  7.609343E+06  7.181454E+06  5.827963E+06  3.598784E+07  6.205239E+05  5.553156E+05  
1.148154E-07  2.168099E+07  1.002183E+07  9.233009E+06  7.974276E+06  1.056324E+08  4.860290E+07  1.763458E+07  1.326745E+07  1.972268E+07  5.008928E+06  3.171137E+06  1.871496E+08  8.011537E+07  1.606045E+07  8.361607E+07  8.718997E+06  1.134547E+07  6.077530E+06  1.089789E+07  6.694789E+06  1.096433E+07  6.612211E+06  1.665467E+08  4.866054E+07  1.405597E+07  2.665959E+07  1.730536E+06  1.274341E+07  1.469178E+07  8.015991E+06  6.098730E+06  -8.770654E+05  1.416480E+07  1.168226E+06  1.973859E+07  8.720533E+06  3.940615E+07  6.557581E+07  3.983739E+07  3.795165E+06  1.697690E+07  6.103400E+06  9.879807E+06  3.723085E+07  1.116847E+07  -1.801000E+06  8.272342E+06  8.362380E+06  -2.632642E+06  4.760575E+06  6.464724E+06  1.061952E+07  7.464791E+06  3.693278E+07  1.281247E+07  3.582136E+06  9.424041E+06  1.412944E+07  1.058283E+07  -6.678387E+05  9.488918E+06  2.605792E+07  1.055546E+07  9.563738E+07  9.172652E+06  2.191176E+07  1.784471E+07  2.557180E+07  2.277071E+06  9.604474E+06  8.124113E+06  1.722119E+07  1.533475E+07  7.539104E+06  7.231600E+06  1.108661E+07  1.078670E+08  9.998253E+06  1.656143E+07  1.016117E+07  6.703226E+06  8.179783E+06  -7.793684E+04  7.911546E+06  4.559743E+06  1.087253E+07  7.429926E+07  3.865818E+07  6.544003E+06  1.114872E+08  4.995524E+06  6.146852E+06  1.300303E+07  6.718503E+05  1.773118E+07  6.490751E+06  6.183812E+06  4.979352E+06  2.952758E+07  5.867013E+05  4.764199E+05  
1.318257E-07  1.817062E+07  8.557240E+06  7.823213E+06  6.685086E+06  8.989219E+07  4.144354E+07  1.484838E+07  1.127961E+07  1.670546E+07  4.358659E+06  2.715887E+06  1.538777E+08  6.720999E+07  1.340836E+07  6.736621E+07  7.478635E+06  9.657228E+06  5.291363E+06  9.288074E+06  5.728101E+06  9.291781E+06  5.667414E+06  1.372699E+08  4.047548E+07  1.187979E+07  2.237846E+07  1.566438E+06  1.085449E+07  1.243520E+07  6.855599E+06  5.293355E+06  -7.077902E+05  1.219775E+07  9.961430E+05  1.677001E+07  7.460021E+06  3.316730E+07  5.463703E+07  3.357591E+07  3.319153E+06  1.437781E+07  5.303440E+06  8.379303E+06  3.089566E+07  9.510371E+06  -1.426112E+06  7.072032E+06  7.157429E+06  -2.075163E+06  4.089852E+06  5.536991E+06  8.990625E+06  6.412730E+06  3.065763E+07  1.026310E+07  3.153354E+06  8.050643E+06  1.194475E+07  9.024094E+06  -5.535352E+05  8.105329E+06  2.211036E+07  8.974490E+06  7.878632E+07  7.855436E+06  1.873818E+07  1.506938E+07  2.160854E+07  1.980509E+06  8.232028E+06  6.966069E+06  1.458807E+07  1.313394E+07  6.495336E+06  6.200750E+06  9.442123E+06  9.098820E+07  8.577946E+06  1.399438E+07  8.733444E+06  5.760234E+06  7.017963E+06  -1.208042E+03  6.863631E+06  4.006783E+06  9.223199E+06  6.224267E+07  3.162677E+07  5.695254E+06  9.244325E+07  4.258574E+06  5.313254E+06  1.107367E+07  3.951904E+05  1.451354E+07  5.535272E+06  5.324717E+06  4.253553E+06  2.421358E+07  5.495468E+05  4.087378E+05  
1.513561E-07  1.522702E+07  7.306589E+06  6.628693E+06  5.610720E+06  7.649635E+07  3.533577E+07  1.247973E+07  9.589935E+06  1.414360E+07  3.791199E+06  2.326150E+06  1.264058E+08  5.637668E+07  1.119181E+07  5.426297E+07  6.414600E+06  8.220783E+06  4.603920E+06  7.916329E+06  4.900878E+06  7.874270E+06  4.857325E+06  1.128826E+08  3.360319E+07  1.003991E+07  1.878258E+07  1.412721E+06  9.245845E+06  1.052510E+07  5.863261E+06  4.593251E+06  -5.694531E+05  1.050272E+07  8.468191E+05  1.423997E+07  6.381487E+06  2.790620E+07  4.550830E+07  2.830063E+07  2.901193E+06  1.217648E+07  4.604535E+06  7.106571E+06  2.563159E+07  8.098543E+06  -1.122753E+06  6.045318E+06  6.126257E+06  -1.627341E+06  3.512731E+06  4.742354E+06  7.611928E+06  5.508937E+06  2.544473E+07  8.254123E+06  2.772351E+06  6.877422E+06  1.009760E+07  7.694814E+06  -4.580685E+05  6.923315E+06  1.872913E+07  7.630332E+06  6.490303E+07  6.727300E+06  1.602412E+07  1.272371E+07  1.825769E+07  1.721947E+06  7.055124E+06  5.972733E+06  1.235661E+07  1.124886E+07  5.596374E+06  5.316622E+06  8.041730E+06  7.674449E+07  7.359541E+06  1.182576E+07  7.504139E+06  4.949082E+06  6.020567E+06  5.428006E+04  5.949457E+06  3.515487E+06  7.824635E+06  5.211432E+07  2.585851E+07  4.952868E+06  7.662004E+07  3.630538E+06  4.591190E+06  9.429717E+06  2.281315E+05  1.185283E+07  4.719225E+06  4.584951E+06  3.632903E+06  1.985039E+07  5.106721E+05  3.506786E+05  
1.737801E-07  1.275845E+07  6.238643E+06  5.616624E+06  4.713979E+06  6.509597E+07  3.012597E+07  1.046812E+07  8.153693E+06  1.196896E+07  3.296308E+06  1.992461E+06  1.037422E+08  4.728742E+07  9.339786E+06  4.369226E+07  5.501836E+06  6.998574E+06  4.003338E+06  6.747455E+06  4.193019E+06  6.672987E+06  4.162768E+06  9.258174E+07  2.783598E+07  8.484423E+06  1.576235E+07  1.269960E+06  7.875851E+06  8.908187E+06  5.014625E+06  3.984813E+06  -4.565822E+05  9.042443E+06  7.178041E+05  1.208441E+07  5.458684E+06  2.347094E+07  3.789120E+07  2.385578E+07  2.534497E+06  1.031212E+07  3.994744E+06  6.027061E+06  2.126021E+07  6.896407E+06  -8.780961E+05  5.167154E+06  5.243765E+06  -1.268355E+06  3.016302E+06  4.061709E+06  6.444872E+06  4.732509E+06  2.111382E+07  6.664230E+06  2.434543E+06  5.875207E+06  8.535908E+06  6.561231E+06  -3.784244E+05  5.913544E+06  1.583458E+07  6.487558E+06  5.346054E+07  5.761137E+06  1.370306E+07  1.074154E+07  1.542491E+07  1.496618E+06  6.045971E+06  5.120756E+06  1.046570E+07  9.634291E+06  4.822101E+06  4.558357E+06  6.849222E+06  6.472612E+07  6.314340E+06  9.993789E+06  6.446216E+06  4.251531E+06  5.164448E+06  9.310383E+04  5.153103E+06  3.080197E+06  6.638664E+06  4.360930E+07  2.112780E+07  4.304052E+06  6.347319E+07  3.095284E+06  3.966021E+06  8.029293E+06  1.380323E+05  9.662123E+06  4.022579E+06  3.947936E+06  3.102241E+06  1.626704E+07  4.713948E+05  3.008804E+05  
1.995262E-07  1.068782E+07  5.326717E+06  4.759146E+06  3.964028E+06  5.539385E+07  2.568282E+07  8.760977E+06  6.932826E+06  1.012339E+07  2.864971E+06  1.706726E+06  8.505939E+07  3.966666E+07  7.792585E+06  3.515399E+07  4.718842E+06  5.958604E+06  3.479094E+06  5.751424E+06  3.587310E+06  5.654975E+06  3.567295E+06  7.568335E+07  2.299508E+07  7.169398E+06  1.322557E+07  1.138355E+06  6.709015E+06  7.539356E+06  4.288862E+06  3.456177E+06  -3.646404E+05  7.784717E+06  6.068331E+05  1.024849E+07  4.669141E+06  1.973294E+07  3.153580E+07  2.010997E+07  2.213028E+06  8.733155E+06  3.463428E+06  5.111438E+06  1.763244E+07  5.872795E+06  -6.814826E+05  4.416096E+06  4.488479E+06  -9.811274E+05  2.589422E+06  3.478695E+06  5.456823E+06  4.065487E+06  1.751471E+07  5.395567E+06  2.135660E+06  5.019064E+06  7.215575E+06  5.594539E+06  -3.120564E+05  5.050939E+06  1.335600E+07  5.516010E+06  4.402308E+07  4.933716E+06  1.171810E+07  9.066771E+06  1.303028E+07  1.300340E+06  5.180716E+06  4.390086E+06  8.863483E+06  8.251453E+06  4.155194E+06  3.908057E+06  5.833728E+06  5.458646E+07  5.417716E+06  8.446178E+06  5.536260E+06  3.651839E+06  4.429702E+06  1.189833E+05  4.460407E+06  2.695571E+06  5.632889E+06  3.647033E+07  1.724814E+07  3.737463E+06  5.254845E+07  2.639064E+06  3.424999E+06  6.836600E+06  1.001775E+05  7.877994E+06  3.428136E+06  3.399395E+06  2.648582E+06  1.332246E+07  4.326901E+05  2.581688E+05  
2.290868E-07  8.951992E+06  4.548090E+06  4.032798E+06  3.337343E+06  4.713814E+07  2.189387E+07  7.313498E+06  5.895176E+06  8.557869E+06  2.489123E+06  1.462063E+06  6.968003E+07  3.327829E+07  6.500996E+06  2.828482E+07  4.047211E+06  5.073780E+06  3.021695E+06  4.902755E+06  3.069044E+06  4.792455E+06  3.056816E+06  6.163512E+07  1.893777E+07  6.057988E+06  1.109600E+07  1.017619E+06  5.715368E+06  6.380869E+06  3.668223E+06  2.996979E+06  -2.899706E+05  6.701451E+06  5.114382E+05  8.685561E+06  3.993677E+06  1.658407E+07  2.623782E+07  1.695448E+07  1.931338E+06  7.396196E+06  3.000642E+06  4.334991E+06  1.462423E+07  5.001300E+06  -5.241839E+05  3.773831E+06  3.842100E+06  -7.525734E+05  2.222396E+06  2.979342E+06  4.620536E+06  3.492481E+06  1.452712E+07  4.391033E+06  1.871470E+06  4.287763E+06  6.099610E+06  4.770261E+06  -2.568259E+05  4.314118E+06  1.123704E+07  4.690145E+06  3.625278E+07  4.225149E+06  1.002069E+07  7.652204E+06  1.100664E+07  1.129412E+06  4.438910E+06  3.763491E+06  7.506207E+06  7.067145E+06  3.580750E+06  3.350389E+06  4.969068E+06  4.603505E+07  4.648564E+06  7.139115E+06  4.753618E+06  3.136309E+06  3.799166E+06  1.348272E+05  3.858032E+06  2.356024E+06  4.780076E+06  3.048191E+07  1.407287E+07  3.242984E+06  4.348142E+07  2.250245E+06  2.956872E+06  5.820911E+06  1.000607E+05  6.420323E+06  2.920957E+06  2.927057E+06  2.260828E+06  1.090778E+07  3.951753E+05  2.215380E+05  
2.630268E-07  7.497640E+06  3.883192E+06  3.417268E+06  2.812341E+06  4.011200E+07  1.866250E+07  6.093892E+06  5.012961E+06  7.230295E+06  2.161814E+06  1.252538E+06  5.702891E+07  2.792237E+07  5.421995E+06  2.274566E+07  3.471062E+06  4.320624E+06  2.622947E+06  4.179427E+06  2.625603E+06  4.061370E+06  2.619186E+06  5.007910E+07  1.555790E+07  5.118485E+06  9.307763E+06  9.075851E+05  4.868752E+06  5.400133E+06  3.137408E+06  2.598110E+06  -2.294208E+05  5.768506E+06  4.297951E+05  7.356047E+06  3.415763E+06  1.393197E+07  2.182059E+07  1.429464E+07  1.684686E+06  6.263774E+06  2.598074E+06  3.676306E+06  1.212778E+07  4.259150E+06  -3.985271E+05  3.224624E+06  3.288853E+06  -5.709820E+05  1.906944E+06  2.551624E+06  3.912518E+06  3.000192E+06  1.204585E+07  3.586034E+06  1.638433E+06  3.662994E+06  5.156003E+06  4.067316E+06  -2.108775E+05  3.684662E+06  9.433563E+06  3.987916E+06  2.984761E+07  3.618301E+06  8.569055E+06  6.457183E+06  9.296199E+06  9.806392E+05  3.802998E+06  3.226132E+06  6.356172E+06  6.052736E+06  3.085891E+06  2.872155E+06  4.232600E+06  3.881724E+07  3.988676E+06  6.034580E+06  4.080698E+06  2.693175E+06  3.258073E+06  1.432817E+05  3.334944E+06  2.057034E+06  4.056619E+06  2.546060E+07  1.147344E+07  2.812078E+06  3.595616E+07  1.918798E+06  2.552007E+06  4.955765E+06  1.173638E+05  5.244683E+06  2.488234E+06  2.520302E+06  1.929431E+06  8.925730E+06  3.593758E+05  1.900930E+05  
3.019952E-07  6.279712E+06  3.315405E+06  2.895593E+06  2.372123E+06  3.413224E+07  1.590669E+07  5.069720E+06  4.262827E+06  6.104980E+06  1.876885E+06  1.073097E+06  4.663191E+07  2.343232E+07  4.520584E+06  1.828244E+07  2.976822E+06  3.679431E+06  2.275540E+06  3.562865E+06  2.246197E+06  3.441627E+06  2.244023E+06  4.062726E+07  1.275269E+07  4.324355E+06  7.806349E+06  8.077581E+05  4.147276E+06  4.569885E+06  2.683407E+06  2.251696E+06  -1.804498E+05  4.965045E+06  3.600865E+05  6.225805E+06  2.921319E+06  1.169902E+07  1.813916E+07  1.205234E+07  1.468836E+06  5.304547E+06  2.248151E+06  3.117480E+06  1.005604E+07  3.627119E+06  -2.984948E+05  2.755038E+06  2.815306E+06  -4.273036E+05  1.635883E+06  2.185271E+06  3.313103E+06  2.577243E+06  9.985751E+06  2.938267E+06  1.433151E+06  3.129219E+06  4.358090E+06  3.467838E+06  -1.726866E+05  3.146921E+06  7.902886E+06  3.390772E+06  2.456916E+07  3.098557E+06  7.327604E+06  5.447712E+06  7.850580E+06  8.511993E+05  3.257913E+06  2.765310E+06  5.381747E+06  5.183821E+06  2.659561E+06  2.462058E+06  3.605255E+06  3.272382E+07  3.422501E+06  5.101042E+06  3.502220E+06  2.312299E+06  2.793759E+06  1.462627E+05  2.881055E+06  1.794153E+06  3.442806E+06  2.125256E+07  9.347333E+06  2.436924E+06  2.971463E+07  1.636243E+06  2.201960E+06  4.218799E+06  1.425653E+05  4.301365E+06  2.119058E+06  2.170018E+06  1.646243E+06  7.299728E+06  3.255896E+05  1.630884E+05  
3.467369E-07  5.259978E+06  2.830594E+06  2.453580E+06  2.002991E+06  2.904370E+07  1.355685E+07  4.209439E+06  3.625099E+06  5.151549E+06  1.628933E+06  9.194203E+05  3.810068E+07  1.966943E+07  3.768158E+06  1.469593E+07  2.552876E+06  3.133641E+06  1.973026E+06  3.037377E+06  1.921597E+06  2.916416E+06  1.922444E+06  3.289224E+07  1.042463E+07  3.653265E+06  6.546307E+06  7.174743E+05  3.532602E+06  3.867188E+06  2.295127E+06  1.950934E+06  -1.409822E+05  4.273180E+06  3.006709E+05  5.265349E+06  2.498331E+06  9.819885E+06  1.507314E+07  1.016263E+07  1.280035E+06  4.492222E+06  1.944148E+06  2.643497E+06  8.338488E+06  3.088934E+06  -2.194006E+05  2.353577E+06  2.409994E+06  -3.143630E+05  1.403008E+06  1.871494E+06  2.805698E+06  2.213886E+06  8.276640E+06  2.418846E+06  1.252488E+06  2.673229E+06  3.683579E+06  2.956658E+06  -1.410039E+05  2.687583E+06  6.604092E+06  2.883076E+06  2.022402E+07  2.653450E+06  6.265975E+06  4.595299E+06  6.629146E+06  7.386103E+05  2.790721E+06  2.370167E+06  4.556342E+06  4.439598E+06  2.292265E+06  2.110413E+06  3.070950E+06  2.758252E+07  2.936753E+06  4.312262E+06  3.005049E+06  1.984995E+06  2.395381E+06  1.451264E+05  2.487406E+06  1.563265E+06  2.922118E+06  1.772832E+07  7.611184E+06  2.110442E+06  2.454226E+07  1.395381E+06  1.899379E+06  3.591182E+06  1.725972E+05  3.544687E+06  1.804209E+06  1.868380E+06  1.404301E+06  5.967700E+06  2.939726E+05  1.399073E+05  
