x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  
5.000000E-08  5.084898E+03  5.088214E+03  5.077900E+03  5.085391E+03  5.082914E+03  5.060234E+03  5.107185E+03  4.780083E+03  5.476443E+03  5.176567E+03  4.776864E+03  3.934129E+03  7.573393E+03  4.582423E+03  5.754659E+03  4.071316E+03  5.801734E+03  5.648795E+03  4.464529E+03  6.228104E+03  4.202280E+03  4.469086E+03  5.721749E+03  4.334861E+03  5.863989E+03  5.754751E+03  4.322200E+03  5.315485E+03  4.887129E+03  4.926446E+03  5.175971E+03  5.475763E+03  4.804170E+03  4.851322E+03  5.377671E+03  5.113337E+03  5.011888E+03  5.282237E+03  4.927108E+03  5.834326E+03  4.330128E+03  7.920539E+03  2.262234E+03  6.638050E+03  3.351989E+03  3.923052E+03  8.392490E+03  4.681005E+03  5.738905E+03  5.017229E+03  5.116417E+03  
5.780698E-08  3.175462E+03  3.178068E+03  3.170003E+03  3.175644E+03  3.174109E+03  3.156786E+03  3.192377E+03  2.958148E+03  3.455551E+03  3.138804E+03  3.069394E+03  2.439134E+03  4.792905E+03  2.870107E+03  3.577890E+03  2.531248E+03  3.633386E+03  3.538123E+03  2.777748E+03  3.883977E+03  2.626627E+03  2.795573E+03  3.566627E+03  2.676602E+03  3.699080E+03  3.653437E+03  2.634956E+03  3.318330E+03  3.052630E+03  3.129558E+03  3.158347E+03  3.479706E+03  2.956834E+03  3.043685E+03  3.336735E+03  3.205283E+03  3.101326E+03  3.322680E+03  3.057786E+03  3.628634E+03  2.714210E+03  5.046135E+03  1.372713E+03  4.507136E+03  1.717320E+03  2.428182E+03  5.347716E+03  2.856745E+03  3.690949E+03  3.142896E+03  3.189526E+03  
6.683295E-08  1.729345E+03  1.731388E+03  1.725100E+03  1.729292E+03  1.728474E+03  1.715343E+03  1.742057E+03  1.579473E+03  1.923479E+03  1.599606E+03  1.772521E+03  1.307662E+03  2.684356E+03  1.572913E+03  1.930000E+03  1.365361E+03  1.990736E+03  1.939145E+03  1.500707E+03  2.108886E+03  1.433197E+03  1.527925E+03  1.934719E+03  1.422040E+03  2.057870E+03  2.059419E+03  1.359923E+03  1.805827E+03  1.663235E+03  1.766386E+03  1.633529E+03  1.965386E+03  1.559640E+03  1.674052E+03  1.791963E+03  1.759687E+03  1.655598E+03  1.837564E+03  1.642880E+03  1.958791E+03  1.489946E+03  2.864908E+03  7.007842E+02  2.878192E+03  4.961598E+02  1.296979E+03  3.037150E+03  1.478046E+03  2.135317E+03  1.722945E+03  1.730436E+03  
7.726822E-08  6.497631E+02  6.513612E+02  6.464730E+02  6.495359E+02  6.492575E+02  6.393920E+02  6.592039E+02  5.514264E+02  7.781644E+02  4.546899E+02  8.005833E+02  4.637520E+02  1.107465E+03  6.041364E+02  7.004878E+02  4.954750E+02  7.639820E+02  7.449864E+02  5.477998E+02  7.839562E+02  5.421501E+02  5.813670E+02  7.167219E+02  4.868033E+02  8.310113E+02  8.668073E+02  4.108988E+02  6.767338E+02  6.259670E+02  7.464002E+02  4.984655E+02  8.322502E+02  5.184931E+02  6.509461E+02  6.396810E+02  6.799617E+02  5.775632E+02  7.278144E+02  5.874421E+02  7.128422E+02  5.755391E+02  1.232182E+03  2.009351E+02  1.646669E+03  -3.985459E+02  4.534467E+02  1.307557E+03  4.517351E+02  9.692992E+02  6.624701E+02  6.414177E+02  
8.933285E-08  -1.413425E+02  -1.400953E+02  -1.438825E+02  -1.416943E+02  -1.415752E+02  -1.489084E+02  -1.344350E+02  -2.007076E+02  -6.269888E+01  -3.800763E+02  8.451800E+01  -1.538659E+02  -5.088947E+01  -1.061495E+02  -1.997739E+02  -1.414656E+02  -1.354281E+02  -1.305474E+02  -1.500187E+02  -1.866914E+02  -1.109057E+02  -1.124722E+02  -1.755220E+02  -1.971636E+02  -6.967506E+01  -9.787031E+00  -2.816547E+02  -1.506027E+02  -1.341625E+02  -3.400317E+00  -3.299759E+02  -7.825773E-01  -2.425049E+02  -9.940580E+01  -2.037337E+02  -1.117891E+02  -2.111307E+02  -8.646902E+01  -1.851149E+02  -1.995119E+02  -9.498201E+01  3.130324E+01  -1.635509E+02  7.283866E+02  -1.037070E+03  -1.637143E+02  3.538053E+01  -2.973485E+02  1.100913E+02  -1.150663E+02  -1.563497E+02  
1.032813E-07  -7.067619E+02  -7.057910E+02  -7.087152E+02  -7.071994E+02  -7.067943E+02  -7.121745E+02  -7.018041E+02  -7.370362E+02  -6.653120E+02  -9.723827E+02  -4.312126E+02  -5.944801E+02  -8.816901E+02  -6.141924E+02  -8.424809E+02  -5.961852E+02  -7.787258E+02  -7.567899E+02  -6.482915E+02  -8.801819E+02  -5.777672E+02  -6.085905E+02  -8.129290E+02  -6.846109E+02  -7.151151E+02  -6.390386E+02  -7.736859E+02  -7.418657E+02  -6.774747E+02  -5.417266E+02  -9.186781E+02  -5.989222E+02  -7.844155E+02  -6.363451E+02  -8.055505E+02  -6.782236E+02  -7.735168E+02  -6.695531E+02  -7.363994E+02  -8.509098E+02  -5.746823E+02  -8.315464E+02  -4.222152E+02  5.573221E+01  -1.475978E+03  -6.038172E+02  -8.787470E+02  -8.296757E+02  -5.088945E+02  -6.712317E+02  -7.262717E+02  
1.194076E-07  -1.096857E+03  -1.096103E+03  -1.098353E+03  -1.097350E+03  -1.096746E+03  -1.100629E+03  -1.093389E+03  -1.105771E+03  -1.082768E+03  -1.376529E+03  -7.911424E+02  -8.976244E+02  -1.457904E+03  -9.651055E+02  -1.285139E+03  -9.093689E+02  -1.223041E+03  -1.189349E+03  -9.915679E+02  -1.358375E+03  -8.999783E+02  -9.510989E+02  -1.252378E+03  -1.019454E+03  -1.162191E+03  -1.076022E+03  -1.110074E+03  -1.149737E+03  -1.052350E+03  -9.156626E+02  -1.321292E+03  -1.014464E+03  -1.156217E+03  -1.007466E+03  -1.219726E+03  -1.069596E+03  -1.160154E+03  -1.072981E+03  -1.115827E+03  -1.299614E+03  -9.061221E+02  -1.431601E+03  -5.987551E+02  -4.254584E+02  -1.760651E+03  -9.064162E+02  -1.514513E+03  -1.193754E+03  -9.410521E+02  -1.055405E+03  -1.119203E+03  
1.380518E-07  -1.351889E+03  -1.351304E+03  -1.353029E+03  -1.352413E+03  -1.351678E+03  -1.354421E+03  -1.349549E+03  -1.345457E+03  -1.357511E+03  -1.635928E+03  -1.030868E+03  -1.094905E+03  -1.837859E+03  -1.194954E+03  -1.573722E+03  -1.113543E+03  -1.514047E+03  -1.472681E+03  -1.215463E+03  -1.670722E+03  -1.110751E+03  -1.175262E+03  -1.539342E+03  -1.236802E+03  -1.456377E+03  -1.364763E+03  -1.326699E+03  -1.416333E+03  -1.297467E+03  -1.162847E+03  -1.580712E+03  -1.289213E+03  -1.397067E+03  -1.250816E+03  -1.489395E+03  -1.326082E+03  -1.411462E+03  -1.337959E+03  -1.362904E+03  -1.592202E+03  -1.123326E+03  -1.829002E+03  -7.121167E+02  -7.584471E+02  -1.927371E+03  -1.103134E+03  -1.935615E+03  -1.428364E+03  -1.229061E+03  -1.307062E+03  -1.375801E+03  
1.596072E-07  -1.503926E+03  -1.503474E+03  -1.504791E+03  -1.504463E+03  -1.503649E+03  -1.505532E+03  -1.502433E+03  -1.486793E+03  -1.523347E+03  -1.785158E+03  -1.178743E+03  -1.211496E+03  -2.068016E+03  -1.332464E+03  -1.744848E+03  -1.234614E+03  -1.688121E+03  -1.642193E+03  -1.348345E+03  -1.856615E+03  -1.236539E+03  -1.309167E+03  -1.710041E+03  -1.364620E+03  -1.633891E+03  -1.540329E+03  -1.452142E+03  -1.575199E+03  -1.443633E+03  -1.313257E+03  -1.731101E+03  -1.456466E+03  -1.538154E+03  -1.396701E+03  -1.648918E+03  -1.479681E+03  -1.559636E+03  -1.497305E+03  -1.509097E+03  -1.765775E+03  -1.253394E+03  -2.071647E+03  -7.773903E+02  -9.776736E+02  -2.005019E+03  -1.219158E+03  -2.192789E+03  -1.564395E+03  -1.406913E+03  -1.457645E+03  -1.528448E+03  
1.845282E-07  -1.578405E+03  -1.578057E+03  -1.579058E+03  -1.578941E+03  -1.578088E+03  -1.579328E+03  -1.577539E+03  -1.554131E+03  -1.607092E+03  -1.851643E+03  -1.257257E+03  -1.267367E+03  -2.185228E+03  -1.400421E+03  -1.827562E+03  -1.293133E+03  -1.774119E+03  -1.725972E+03  -1.412716E+03  -1.947296E+03  -1.298327E+03  -1.375096E+03  -1.793202E+03  -1.425088E+03  -1.723464E+03  -1.630535E+03  -1.509067E+03  -1.652944E+03  -1.515285E+03  -1.390675E+03  -1.799558E+03  -1.542635E+03  -1.604216E+03  -1.469160E+03  -1.725545E+03  -1.555776E+03  -1.630212E+03  -1.577054E+03  -1.579365E+03  -1.849759E+03  -1.317824E+03  -2.197536E+03  -8.065443E+02  -1.110453E+03  -2.016483E+03  -1.274466E+03  -2.326282E+03  -1.626345E+03  -1.501573E+03  -1.532095E+03  -1.602829E+03  
