x  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  
1.000000E-07  -8.569757E+02  -6.920263E+03  -2.256635E+03  -1.521356E+04  -1.046264E+04  3.665806E+03  -3.784409E+02  3.782394E+03  -1.606003E+03  3.152823E+03  6.534981E+03  -3.470000E+03  1.048262E+04  -6.799338E+03  -7.496356E+03  3.026837E+02  -6.444393E+03  4.476025E+04  -4.894547E+03  5.387397E+04  -6.942694E+03  -7.773158E+04  4.219185E+03  -4.250523E+03  -1.512966E+04  -2.104188E+04  4.665503E+04  1.717842E+03  -1.451479E+04  2.358147E+03  2.632095E+03  -7.277626E+02  9.873062E+03  -6.128369E+03  5.326519E+03  -1.328157E+03  -1.030151E+04  -2.039858E+03  -3.355890E+03  3.959038E+03  1.113705E+04  -1.142515E+04  -5.801222E+03  3.574918E+03  7.833904E+03  -1.018274E+04  3.406852E+04  -6.552077E+03  2.276409E+03  1.610981E+03  1.360143E+03  -1.070723E+04  3.727513E+02  2.588291E+03  -1.199729E+03  -1.892862E+03  -4.012716E+03  -6.182062E+03  -4.416837E+03  -5.292553E+03  -1.197149E+04  3.728297E+02  -1.268715E+04  -1.730170E+03  -2.169324E+04  -1.781010E+04  8.272826E+03  1.144300E+04  -4.743347E+02  -3.203805E+03  4.376849E+03  8.854757E+03  -4.319658E+03  -1.479738E+04  -1.317999E+03  -3.032807E+03  -8.128799E+02  1.262064E+03  4.158927E+03  6.335324E+02  2.880001E+04  8.363164E+01  1.569366E+03  -3.692100E+03  -5.282262E+02  -2.141289E+04  -1.083490E+04  -5.142166E+03  -2.205991E+03  -1.159525E+04  -4.397585E+03  -3.610766E+03  -6.391673E+03  -1.858256E+03  -1.453422E+04  -6.869337E+03  5.091191E+03  -3.573792E+03  -7.800046E+03  -9.328629E+02  6.757705E+04  
1.148154E-07  -8.429695E+02  -6.319188E+03  -2.108448E+03  -1.363063E+04  -9.431414E+03  3.287296E+03  -2.672584E+02  3.424618E+03  -1.467207E+03  2.809028E+03  5.874001E+03  -3.185521E+03  9.541571E+03  -6.171369E+03  -6.719013E+03  2.774920E+02  -5.862356E+03  3.550423E+04  -4.391015E+03  4.829841E+04  -6.425874E+03  -7.005009E+04  3.722884E+03  -3.876970E+03  -1.357914E+04  -1.913237E+04  4.253942E+04  1.540467E+03  -1.333127E+04  2.266628E+03  2.367031E+03  -6.835522E+02  8.894213E+03  -5.153769E+03  4.739954E+03  -1.145242E+03  -9.374694E+03  -1.849651E+03  -3.087875E+03  3.581577E+03  9.558262E+03  -1.048932E+04  -5.324333E+03  3.237615E+03  7.052955E+03  -9.144057E+03  3.009038E+04  -5.891532E+03  2.034548E+03  1.506309E+03  1.227046E+03  -9.618981E+03  2.858715E+02  2.466323E+03  -1.103146E+03  -1.740834E+03  -3.652911E+03  -5.581940E+03  -4.012225E+03  -4.801674E+03  -1.085454E+04  3.985743E+02  -1.139969E+04  -1.596719E+03  -1.963835E+04  -1.606917E+04  7.474484E+03  1.038219E+04  -3.915097E+02  -2.803913E+03  3.882744E+03  7.931969E+03  -3.881707E+03  -1.341071E+04  -1.214652E+03  -2.843961E+03  -7.532728E+02  1.107151E+03  3.819433E+03  5.800683E+02  2.601641E+04  2.703760E+00  1.379988E+03  -3.391231E+03  -4.980950E+02  -1.939621E+04  -9.923047E+03  -4.704281E+03  -2.000598E+03  -1.042211E+04  -4.004069E+03  -3.306018E+03  -5.743367E+03  -1.686550E+03  -1.335616E+04  -6.097804E+03  4.655807E+03  -3.255687E+03  -7.027988E+03  -9.074118E+02  6.107844E+04  
1.318257E-07  -8.238525E+02  -5.771371E+03  -1.971101E+03  -1.221018E+04  -8.498030E+03  2.950503E+03  -1.727862E+02  3.099800E+03  -1.338351E+03  2.501593E+03  5.277227E+03  -2.927226E+03  8.683901E+03  -5.599723E+03  -6.021040E+03  2.544627E+02  -5.333282E+03  2.785095E+04  -3.938967E+03  4.316764E+04  -5.955394E+03  -6.306305E+04  3.277627E+03  -3.535903E+03  -1.218377E+04  -1.738062E+04  3.878302E+04  1.380664E+03  -1.224417E+04  2.167820E+03  2.128058E+03  -6.420511E+02  8.011066E+03  -4.332881E+03  4.216753E+03  -9.840712E+02  -8.523560E+03  -1.678887E+03  -2.840754E+03  3.239054E+03  8.114286E+03  -9.629697E+03  -4.886980E+03  2.933605E+03  6.346529E+03  -8.209801E+03  2.653901E+04  -5.296422E+03  1.818041E+03  1.407994E+03  1.105893E+03  -8.639605E+03  2.117960E+02  2.343937E+03  -1.015555E+03  -1.602283E+03  -3.325418E+03  -5.038053E+03  -3.643379E+03  -4.357256E+03  -9.839057E+03  4.165742E+02  -1.024042E+04  -1.474561E+03  -1.776568E+04  -1.449897E+04  6.751682E+03  9.420028E+03  -3.206930E+02  -2.450346E+03  3.440941E+03  7.102265E+03  -3.487376E+03  -1.215217E+04  -1.120276E+03  -2.670526E+03  -6.981552E+02  9.689379E+02  3.508723E+03  5.304397E+02  2.347479E+04  -6.538666E+01  1.211567E+03  -3.115101E+03  -4.705762E+02  -1.755344E+04  -9.084362E+03  -4.303348E+03  -1.814165E+03  -9.365583E+03  -3.644795E+03  -3.026757E+03  -5.160774E+03  -1.529844E+03  -1.227740E+04  -5.408610E+03  4.258890E+03  -2.966381E+03  -6.333441E+03  -8.815417E+02  5.518167E+04  
1.513561E-07  -8.005856E+02  -5.271089E+03  -1.842986E+03  -1.093575E+04  -7.653557E+03  2.651510E+03  -9.354930E+01  2.804892E+03  -1.218545E+03  2.227013E+03  4.738803E+03  -2.692650E+03  7.903267E+03  -5.078948E+03  -5.394013E+03  2.332356E+02  -4.851477E+03  2.152635E+04  -3.533149E+03  3.847897E+04  -5.523726E+03  -5.672283E+04  2.877252E+03  -3.224074E+03  -1.092823E+04  -1.577713E+04  3.535148E+04  1.236955E+03  -1.124383E+04  2.063647E+03  1.912957E+03  -6.027840E+02  7.214592E+03  -3.641151E+03  3.750662E+03  -8.426287E+02  -7.741264E+03  -1.525780E+03  -2.612595E+03  2.928241E+03  6.810271E+03  -8.838366E+03  -4.485010E+03  2.659867E+03  5.707867E+03  -7.369891E+03  2.337606E+04  -4.760358E+03  1.624444E+03  1.315436E+03  9.955705E+02  -7.757952E+03  1.493699E+02  2.220068E+03  -9.357806E+02  -1.475528E+03  -3.026930E+03  -4.544936E+03  -3.306836E+03  -3.954499E+03  -8.915941E+03  4.276422E+02  -9.196839E+03  -1.361821E+03  -1.606213E+04  -1.308230E+04  6.097097E+03  8.546522E+03  -2.605562E+02  -2.138595E+03  3.046756E+03  6.356840E+03  -3.132547E+03  -1.100962E+04  -1.033752E+03  -2.508544E+03  -6.469909E+02  8.461620E+02  3.223645E+03  4.845005E+02  2.116006E+04  -1.215006E+02  1.062372E+03  -2.861250E+03  -4.451913E+02  -1.587317E+04  -8.312123E+03  -3.934741E+03  -1.644944E+03  -8.413111E+03  -3.316502E+03  -2.770400E+03  -4.637273E+03  -1.387023E+03  -1.128653E+04  -4.793955E+03  3.896388E+03  -2.702667E+03  -5.708323E+03  -8.543314E+02  4.983513E+04  
1.737801E-07  -7.738128E+02  -4.813939E+03  -1.722361E+03  -9.792274E+03  -6.891106E+03  2.381944E+03  -2.735759E+01  2.537187E+03  -1.109134E+03  1.981453E+03  4.253340E+03  -2.476267E+03  7.188886E+03  -4.605698E+03  -4.831273E+03  2.139095E+02  -4.413226E+03  1.633282E+04  -3.168658E+03  3.420782E+04  -5.126119E+03  -5.097113E+04  2.523394E+03  -2.939327E+03  -9.799665E+03  -1.430850E+04  3.221547E+04  1.107386E+03  -1.032224E+04  1.957176E+03  1.718645E+03  -5.655862E+02  6.495355E+03  -3.059066E+03  3.334566E+03  -7.186712E+02  -7.028889E+03  -1.386154E+03  -2.401942E+03  2.646359E+03  5.643240E+03  -8.110260E+03  -4.115333E+03  2.410965E+03  5.131305E+03  -6.613979E+03  2.056237E+04  -4.277499E+03  1.450884E+03  1.227690E+03  8.958646E+02  -6.965255E+03  9.658437E+01  2.100302E+03  -8.624674E+02  -1.358890E+03  -2.754944E+03  -4.099188E+03  -3.000646E+03  -3.588757E+03  -8.076463E+03  4.328364E+02  -8.257417E+03  -1.258431E+03  -1.451255E+04  -1.180270E+04  5.504694E+03  7.753159E+03  -2.091173E+02  -1.863253E+03  2.695018E+03  5.687177E+03  -2.812768E+03  -9.971945E+03  -9.538768E+02  -2.357622E+03  -5.997383E+02  7.370741E+02  2.961268E+03  4.420490E+02  1.905341E+04  -1.672728E+02  9.297827E+02  -2.627317E+03  -4.208186E+02  -1.434077E+04  -7.603590E+03  -3.598494E+03  -1.491068E+03  -7.557792E+03  -3.017111E+03  -2.535229E+03  -4.166286E+03  -1.256760E+03  -1.037499E+04  -4.245669E+03  3.564334E+03  -2.462621E+03  -5.144402E+03  -8.260954E+02  4.498531E+04  
1.995262E-07  -7.440179E+02  -4.396121E+03  -1.608021E+03  -8.766308E+03  -6.202845E+03  2.136226E+03  2.760072E+01  2.294268E+03  -1.010312E+03  1.761734E+03  3.815938E+03  -2.273521E+03  6.531578E+03  -4.176354E+03  -4.327395E+03  1.965750E+02  -4.014959E+03  1.211467E+04  -2.841209E+03  3.033201E+04  -4.759701E+03  -4.576012E+04  2.216766E+03  -2.679519E+03  -8.785906E+03  -1.296360E+04  2.934929E+04  9.903645E+02  -9.472708E+03  1.850736E+03  1.542587E+03  -5.302742E+02  5.845226E+03  -2.570239E+03  2.962415E+03  -6.102888E+02  -6.383797E+03  -1.256908E+03  -2.206989E+03  2.390884E+03  4.604941E+03  -7.440536E+03  -3.775174E+03  2.182928E+03  4.611358E+03  -5.933020E+03  1.806235E+04  -3.842549E+03  1.294957E+03  1.144084E+03  8.064065E+02  -6.253459E+03  5.191749E+01  1.987754E+03  -7.947188E+02  -1.251147E+03  -2.507228E+03  -3.697208E+03  -2.722761E+03  -3.256112E+03  -7.312976E+03  4.328525E+02  -7.411826E+03  -1.164650E+03  -1.310190E+04  -1.064621E+04  4.969125E+03  7.032444E+03  -1.648537E+02  -1.620106E+03  2.381137E+03  5.085659E+03  -2.524420E+03  -9.029417E+03  -8.798172E+02  -2.216904E+03  -5.559391E+02  6.401598E+02  2.719288E+03  4.028443E+02  1.713835E+04  -2.040863E+02  8.116641E+02  -2.411313E+03  -3.967782E+02  -1.294398E+04  -6.954644E+03  -3.293694E+03  -1.350948E+03  -6.792974E+03  -2.744357E+03  -2.319646E+03  -3.742115E+03  -1.137747E+03  -9.535461E+03  -3.756591E+03  3.259630E+03  -2.244317E+03  -4.635319E+03  -7.971536E+02  4.058697E+04  
2.290868E-07  -7.120481E+02  -4.013682E+03  -1.499477E+03  -7.846009E+03  -5.581485E+03  1.913569E+03  7.234368E+01  2.073857E+03  -9.204846E+02  1.565472E+03  3.422110E+03  -2.084288E+03  5.928473E+03  -3.786364E+03  -3.875984E+03  1.808663E+02  -3.652341E+03  8.691105E+03  -2.547100E+03  2.683798E+04  -4.420367E+03  -4.105207E+04  1.949860E+03  -2.442145E+03  -7.875252E+03  -1.173536E+04  2.672855E+04  8.849425E+02  -8.688910E+03  1.744974E+03  1.383475E+03  -4.965918E+02  5.258049E+03  -2.159367E+03  2.630165E+03  -5.159687E+02  -5.797768E+03  -1.137864E+03  -2.026382E+03  2.159353E+03  3.691221E+03  -6.823411E+03  -3.461703E+03  1.974736E+03  4.142618E+03  -5.320074E+03  1.584624E+04  -3.450850E+03  1.155119E+03  1.064547E+03  7.260026E+02  -5.614021E+03  1.474551E+01  1.879695E+03  -7.320479E+02  -1.151461E+03  -2.281364E+03  -3.334351E+03  -2.470207E+03  -2.953452E+03  -6.618901E+03  4.283144E+02  -6.650959E+03  -1.078935E+03  -1.182024E+04  -9.601042E+03  4.484839E+03  6.377282E+03  -1.271070E+02  -1.406178E+03  2.101700E+03  4.545819E+03  -2.264729E+03  -8.173335E+03  -8.110659E+02  -2.083708E+03  -5.151595E+02  5.544835E+02  2.495874E+03  3.667290E+02  1.540208E+04  -2.326384E+02  7.069612E+02  -2.211763E+03  -3.732285E+02  -1.167397E+04  -6.359316E+03  -3.015824E+03  -1.223435E+03  -6.108093E+03  -2.495577E+03  -2.121724E+03  -3.360272E+03  -1.029188E+03  -8.760648E+03  -3.321093E+03  2.979864E+03  -2.045313E+03  -4.175854E+03  -7.670431E+02  3.660281E+04  
2.630268E-07  -6.786854E+02  -3.664537E+03  -1.398343E+03  -7.020885E+03  -5.022232E+03  1.713057E+03  1.090413E+02  1.874048E+03  -8.389032E+02  1.389895E+03  3.067253E+03  -1.913249E+03  5.380197E+03  -3.432444E+03  -3.470237E+03  1.663417E+02  -3.322919E+03  5.994363E+03  -2.283009E+03  2.363887E+04  -4.101927E+03  -3.676137E+04  1.710500E+03  -2.225504E+03  -7.057553E+03  -1.060863E+04  2.433545E+04  7.900906E+02  -7.967643E+03  1.640526E+03  1.240041E+03  -4.650246E+02  4.728401E+03  -1.815706E+03  2.333955E+03  -4.333567E+02  -5.265615E+03  -1.031484E+03  -1.861143E+03  1.949564E+03  2.885103E+03  -6.256974E+03  -3.174109E+03  1.786027E+03  3.719806E+03  -4.769270E+03  1.387801E+04  -3.098430E+03  1.029930E+03  9.900626E+02  6.529323E+02  -5.038769E+03  -1.633888E+01  1.776445E+03  -6.743165E+02  -1.059941E+03  -2.075565E+03  -3.006289E+03  -2.240613E+03  -2.679320E+03  -5.988211E+03  4.217782E+02  -5.966433E+03  -9.976712E+02  -1.065497E+04  -8.657067E+03  4.046118E+03  5.783078E+03  -9.529624E+01  -1.216816E+03  1.852626E+03  4.061283E+03  -2.030463E+03  -7.396426E+03  -7.477565E+02  -1.961222E+03  -4.776120E+02  4.784531E+02  2.290846E+03  3.334661E+02  1.382086E+04  -2.548696E+02  6.140436E+02  -2.028510E+03  -3.512096E+02  -1.051429E+04  -5.813013E+03  -2.761846E+03  -1.107702E+03  -5.488244E+03  -2.269206E+03  -1.940328E+03  -3.016985E+03  -9.306548E+02  -8.049677E+03  -2.933398E+03  2.723791E+03  -1.864369E+03  -3.761018E+03  -7.371830E+02  3.298213E+04  
3.019952E-07  -6.445455E+02  -3.345874E+03  -1.304524E+03  -6.281487E+03  -4.519705E+03  1.532917E+03  1.388069E+02  1.693117E+03  -7.648989E+02  1.232852E+03  2.747603E+03  -1.761212E+03  4.884377E+03  -3.111295E+03  -3.105165E+03  1.527959E+02  -3.023818E+03  3.913293E+03  -2.045860E+03  2.070666E+04  -3.802044E+03  -3.284852E+04  1.492763E+03  -2.027527E+03  -6.323573E+03  -9.575518E+03  2.215121E+04  7.049928E+02  -7.304429E+03  1.537949E+03  1.110921E+03  -4.354358E+02  4.251079E+03  -1.528827E+03  2.070390E+03  -3.610328E+02  -4.782287E+03  -9.382944E+02  -1.710407E+03  1.759599E+03  2.176928E+03  -5.737534E+03  -2.910507E+03  1.615571E+03  3.338596E+03  -4.274897E+03  1.213107E+04  -2.781546E+03  9.180266E+02  9.206097E+02  5.862488E+02  -4.520981E+03  -4.214385E+01  1.677549E+03  -6.211388E+02  -9.760705E+02  -1.887961E+03  -2.709409E+03  -2.031920E+03  -2.431261E+03  -5.415308E+03  4.142464E+02  -5.350815E+03  -9.185388E+02  -9.596212E+03  -7.804596E+03  3.648452E+03  5.244517E+03  -6.882422E+01  -1.048979E+03  1.630819E+03  3.626667E+03  -1.819004E+03  -6.691644E+03  -6.895247E+02  -1.848644E+03  -4.432932E+02  4.110567E+02  2.102951E+03  3.029497E+02  1.238131E+04  -2.716497E+02  5.316447E+02  -1.860513E+03  -3.308849E+02  -9.455625E+03  -5.311366E+03  -2.529354E+03  -1.002855E+03  -4.924180E+03  -2.063342E+03  -1.774021E+03  -2.708492E+03  -8.414589E+02  -7.397771E+03  -2.588633E+03  2.489450E+03  -1.699785E+03  -3.386540E+03  -7.075946E+02  2.969204E+04  
3.467369E-07  -6.100086E+02  -3.054515E+03  -1.216582E+03  -5.618772E+03  -4.067254E+03  1.371042E+03  1.622276E+02  1.529138E+03  -6.974791E+02  1.092650E+03  2.459967E+03  -1.622622E+03  4.433426E+03  -2.819707E+03  -2.777276E+03  1.402550E+02  -2.751619E+03  2.313643E+03  -1.832990E+03  1.805138E+04  -3.520331E+03  -2.929974E+04  1.298564E+03  -1.846773E+03  -5.664736E+03  -8.631632E+03  2.015627E+04  6.285695E+02  -6.693632E+03  1.438193E+03  9.947275E+02  -4.075447E+02  3.820771E+03  -1.289018E+03  1.835679E+03  -2.981618E+02  -4.342912E+03  -8.544639E+02  -1.572057E+03  1.587553E+03  1.563116E+03  -5.259942E+03  -2.668232E+03  1.461091E+03  2.995078E+03  -3.830844E+03  1.058515E+04  -2.496528E+03  8.179531E+02  8.554564E+02  5.258128E+02  -4.055322E+03  -6.310706E+01  1.582389E+03  -5.720175E+02  -8.987861E+02  -1.716930E+03  -2.441105E+03  -1.842142E+03  -2.206312E+03  -4.895133E+03  4.049293E+02  -4.797278E+03  -8.443242E+02  -8.635822E+03  -7.034682E+03  3.288458E+03  4.755667E+03  -4.680370E+01  -9.012012E+02  1.433702E+03  3.237031E+03  -1.628578E+03  -6.052182E+03  -6.357333E+02  -1.743174E+03  -4.114173E+02  3.516371E+02  1.930147E+03  2.749209E+02  1.107587E+04  -2.833836E+02  4.589303E+02  -1.706002E+03  -3.116484E+02  -8.492660E+03  -4.850929E+03  -2.316203E+03  -9.076849E+02  -4.414651E+03  -1.875872E+03  -1.621486E+03  -2.431193E+03  -7.605552E+02  -6.797955E+03  -2.282385E+03  2.274746E+03  -1.549829E+03  -3.048500E+03  -6.779542E+02  2.670807E+04  
3.981072E-07  -5.753698E+02  -2.788144E+03  -1.133945E+03  -5.024414E+03  -3.659035E+03  1.225850E+03  1.803838E+02  1.380232E+03  -6.356853E+02  9.675522E+02  2.201205E+03  -1.492656E+03  4.020432E+03  -2.555020E+03  -2.482963E+03  1.286956E+02  -2.503543E+03  1.113399E+03  -1.642115E+03  1.565182E+04  -3.255042E+03  -2.608024E+04  1.128787E+03  -1.682548E+03  -5.073357E+03  -7.768907E+03  1.833417E+04  5.595859E+02  -6.130883E+03  1.342251E+03  8.902543E+02  -3.815144E+02  3.432613E+03  -1.088913E+03  1.626027E+03  -2.435766E+02  -3.943559E+03  -7.761453E+02  -1.445099E+03  1.431585E+03  1.035623E+03  -4.820539E+03  -2.445472E+03  1.320662E+03  2.685361E+03  -3.431503E+03  9.218316E+03  -2.240077E+03  7.283331E+02  7.943629E+02  4.713214E+02  -3.636814E+03  -7.992013E+01  1.491265E+03  -5.266581E+02  -8.273966E+02  -1.561257E+03  -2.199100E+03  -1.669425E+03  -2.002386E+03  -4.423139E+03  3.935246E+02  -4.299504E+03  -7.787287E+02  -7.764946E+03  -6.339564E+03  2.962843E+03  4.311730E+03  -2.834171E+01  -7.716643E+02  1.258515E+03  2.887556E+03  -1.457513E+03  -5.472063E+03  -5.860749E+02  -1.644655E+03  -3.811491E+02  2.993154E+02  1.771125E+03  2.489877E+02  9.892299E+03  -2.910379E+02  3.950352E+02  -1.563769E+03  -2.932619E+02  -7.616910E+03  -4.429068E+03  -2.120453E+03  -8.210501E+02  -3.958083E+03  -1.705157E+03  -1.481884E+03  -2.182036E+03  -6.870391E+02  -6.246240E+03  -2.010333E+03  2.078327E+03  -1.413382E+03  -2.743152E+03  -6.489354E+02  2.399976E+04  
